,which,fort,was,rebuilt,in,1964,?
the,0.6521818041801453,0.2420126497745514,0.48711544275283813,0.30831199884414673,0.6662389636039734,-0.01880853809416294,0.22068053483963013
location,0.23728391528129578,0.22202910482883453,0.1839360147714615,0.23792940378189087,0.3397608697414398,-0.05838967487215996,0.15759775042533875
of,0.5011631846427917,0.18979716300964355,0.4069072902202606,0.19431622326374054,0.5696388483047485,0.008202686905860901,0.1826142966747284
fort,0.16143342852592468,0.9999999403953552,0.30989983677864075,0.3092675507068634,0.24152536690235138,0.05776416137814522,0.15686731040477753
caroline,0.12033338844776154,0.1937018185853958,0.29276764392852783,0.1418742537498474,0.22602996230125427,-0.004244236275553703,0.13168026506900787
is,0.4457404911518097,0.1701865792274475,0.5810302495956421,0.14263637363910675,0.5394441485404968,-0.00933065079152584,0.22961433231830597
subject,0.3130331039428711,0.12151697278022766,0.19509273767471313,0.07601656019687653,0.21163184940814972,-0.05809041112661362,0.33952999114990234
to,0.5345056653022766,0.16577591001987457,0.3636345863342285,0.20804962515830994,0.45010748505592346,-0.040934670716524124,0.29463258385658264
debate,0.24772825837135315,0.10710130631923676,0.18574146926403046,0.07811792194843292,0.1971871554851532,-0.06662354618310928,0.227684885263443
but,0.55336993932724,0.17178797721862793,0.36023372411727905,0.22165024280548096,0.48674455285072327,-0.03914333134889603,0.27921953797340393
a,0.56894451379776,0.16024662554264069,0.4508470594882965,0.16328826546669006,0.539380669593811,-0.04855899140238762,0.23916715383529663
reconstruction,0.3072117865085602,0.26445403695106506,0.24945096671581268,0.40291839838027954,0.2811322808265686,0.07049693912267685,0.13694316148757935
of,0.5011631846427917,0.18979716300964355,0.4069072902202606,0.19431622326374054,0.5696388483047485,0.008202686905860901,0.1826142966747284
the,0.6521818041801453,0.2420126497745514,0.48711544275283813,0.30831199884414673,0.6662389636039734,-0.01880853809416294,0.22068053483963013
fort,0.16143342852592468,0.9999999403953552,0.30989983677864075,0.3092675507068634,0.24152536690235138,0.05776416137814522,0.15686731040477753
was,0.2830964922904968,0.30989983677864075,1.0000001192092896,0.3419616222381592,0.45514053106307983,-0.10244843363761902,0.18412111699581146
established,0.26644110679626465,0.16931501030921936,0.26515325903892517,0.31314584612846375,0.3118882477283478,0.016067229211330414,0.15917523205280304
on,0.4245251417160034,0.2436540275812149,0.3909217119216919,0.16577333211898804,0.46853652596473694,0.04964355379343033,0.2714994251728058
the,0.6521818041801453,0.2420126497745514,0.48711544275283813,0.30831199884414673,0.6662389636039734,-0.01880853809416294,0.22068053483963013
st.,0.16463634371757507,0.13745248317718506,0.17142929136753082,0.11951582133769989,0.15931649506092072,-0.06137420982122421,0.13592876493930817
johns,0.1732621043920517,0.24146535992622375,0.25427502393722534,0.10267972201108932,0.22965338826179504,-0.0756680965423584,0.20295952260494232
river,0.25416892766952515,0.32684624195098877,0.15785206854343414,0.18575617671012878,0.2149806171655655,0.041983649134635925,0.15390869975090027
in,0.4840516746044159,0.24152536690235138,0.45514053106307983,0.23873527348041534,1.0,0.00943821482360363,0.20430970191955566
1964,0.009033050388097763,0.05776416137814522,-0.10244843363761902,0.016961900517344475,0.00943821482360363,1.0,0.041380032896995544
.,0.45942068099975586,0.2578873038291931,0.40146201848983765,0.23174916207790375,0.5591574311256409,-0.07040447741746902,0.4130953550338745
