,who,came,up,with,the,theory,of,relativity,?
when,0.48282691836357117,0.2824265956878662,0.3850642144680023,0.5075214505195618,0.5091903209686279,0.20727984607219696,0.3757161796092987,0.1888890564441681,0.22841128706932068
albert,0.20950829982757568,0.136183500289917,0.15298748016357422,0.16697099804878235,0.17599669098854065,0.22353531420230865,0.19890549778938293,0.35306602716445923,0.15350762009620667
einstein,0.23276357352733612,0.18130038678646088,0.17281904816627502,0.1544882208108902,0.17706423997879028,0.448373407125473,0.2119363248348236,0.6180851459503174,0.2118137627840042
formulated,0.17321036756038666,0.21323902904987335,0.07111350446939468,0.22963778674602509,0.2888638973236084,0.4175911843776703,0.29343387484550476,0.36634862422943115,0.17216148972511292
his,0.44966956973075867,0.3519517481327057,0.2538001239299774,0.33836179971694946,0.4394008219242096,0.2209872305393219,0.38364991545677185,0.29340729117393494,0.18075084686279297
theory,0.19210977852344513,0.20007456839084625,0.16310304403305054,0.21627245843410492,0.2277156263589859,0.9999999403953552,0.23506702482700348,0.5565682053565979,0.1387292891740799
of,0.2827862501144409,0.3201526999473572,0.32945773005485535,0.41827285289764404,0.733189046382904,0.23506702482700348,1.0,0.22042350471019745,0.1826142966747284
general,0.2461782991886139,0.17605435848236084,0.14383499324321747,0.1510423719882965,0.28634732961654663,0.23614253103733063,0.28352999687194824,0.2732059359550476,0.1972234547138214
relativity,0.17238733172416687,0.16555114090442657,0.16920943558216095,0.25700920820236206,0.20282858610153198,0.5565682053565979,0.22042350471019745,1.0000001192092896,0.26250147819519043
(,0.2443375140428543,0.16972680389881134,0.2525939643383026,0.29503780603408813,0.33289089798927307,0.15548324584960938,0.35032153129577637,0.1987164318561554,0.40561532974243164
gr,0.06345831602811813,0.13643743097782135,0.16186508536338806,0.13743212819099426,0.19362017512321472,0.13047735393047333,0.19284147024154663,0.1740093231201172,0.20753049850463867
),0.2457384318113327,0.18714536726474762,0.25800976157188416,0.3069596290588379,0.3456730246543884,0.1646711826324463,0.3680361211299896,0.21074824035167694,0.42300865054130554
he,0.5500732064247131,0.3321067988872528,0.2621474862098694,0.2845253646373749,0.4571082592010498,0.20341786742210388,0.38706058263778687,0.21410156786441803,0.2089974731206894
turned,0.29454195499420166,0.453307181596756,0.27666497230529785,0.26091867685317993,0.3414173722267151,0.13553328812122345,0.27018553018569946,0.13973477482795715,0.130948007106781
his,0.44966956973075867,0.3519517481327057,0.2538001239299774,0.33836179971694946,0.4394008219242096,0.2209872305393219,0.38364991545677185,0.29340729117393494,0.18075084686279297
attention,0.33245593309402466,0.20925068855285645,0.2663220465183258,0.25526687502861023,0.256243497133255,0.21174673736095428,0.21725396811962128,0.2598050832748413,0.19994445145130157
