,the,port,of,long,beach,belongs,to,which,region,of,california,?
southern,0.3282862603664398,0.22080960869789124,0.31933003664016724,0.13604459166526794,0.24236775934696198,0.2137812077999115,0.18284058570861816,0.2648681700229645,0.35965695977211,0.31933003664016724,0.2983402609825134,0.11225555837154388
california,0.2750805914402008,0.16398273408412933,0.24929828941822052,0.19318564236164093,0.3935070335865021,0.1022334024310112,0.20697450637817383,0.17128102481365204,0.1643783003091812,0.24929828941822052,1.0,0.1409905105829239
is,0.5823672413825989,0.26270607113838196,0.4854315221309662,0.28473302721977234,0.19757364690303802,0.42269548773765564,0.42745086550712585,0.4457404911518097,0.3317503035068512,0.4854315221309662,0.20727038383483887,0.22961433231830597
also,0.6021018624305725,0.2318006455898285,0.4924938678741455,0.29311269521713257,0.20488154888153076,0.24712111055850983,0.5348826050758362,0.6566565632820129,0.24685944616794586,0.4924938678741455,0.2569578289985657,0.21848613023757935
home,0.28978195786476135,0.23572973906993866,0.24402645230293274,0.1626075655221939,0.2629190683364868,0.1696213185787201,0.31056779623031616,0.223346546292305,0.12647393345832825,0.24402645230293274,0.22102995216846466,0.0757145956158638
to,0.535392165184021,0.23759682476520538,0.41548454761505127,0.30218687653541565,0.18073761463165283,0.23299308121204376,1.0,0.5345056653022766,0.24118299782276154,0.41548454761505127,0.20697450637817383,0.29463258385658264
the,1.0,0.2648184895515442,0.733189046382904,0.3075225353240967,0.20261730253696442,0.3027134835720062,0.535392165184021,0.6521818041801453,0.35020557045936584,0.733189046382904,0.2750805914402008,0.22068053483963013
port,0.2648184895515442,1.0,0.19644224643707275,0.174833282828331,0.3249894082546234,0.09623604267835617,0.23759682476520538,0.21118135750293732,0.29033759236335754,0.19644224643707275,0.16398273408412933,0.06519711017608643
of,0.733189046382904,0.19644224643707275,1.0,0.2567519545555115,0.20727382600307465,0.2636148929595947,0.41548454761505127,0.5011631846427917,0.2852717339992523,1.0,0.24929828941822052,0.1826142966747284
los,0.2502395510673523,0.19411706924438477,0.17343297600746155,0.15205983817577362,0.30656373500823975,0.12579189240932465,0.19904789328575134,0.15805238485336304,0.17227911949157715,0.17343297600746155,0.641045331954956,0.15495611727237701
angeles,0.24588194489479065,0.18611854314804077,0.16643567383289337,0.14127200841903687,0.3178665041923523,0.10366661101579666,0.20994949340820312,0.15751682221889496,0.14054590463638306,0.16643567383289337,0.6717669367790222,0.16139166057109833
",",0.4933079481124878,0.26668232679367065,0.4946078956127167,0.3431144952774048,0.24992109835147858,0.25071313977241516,0.44245919585227966,0.3658004403114319,0.2119160145521164,0.4946078956127167,0.2704589068889618,0.31091248989105225
the,1.0,0.2648184895515442,0.733189046382904,0.3075225353240967,0.20261730253696442,0.3027134835720062,0.535392165184021,0.6521818041801453,0.35020557045936584,0.733189046382904,0.2750805914402008,0.22068053483963013
united,0.34367692470550537,0.14606931805610657,0.3187655806541443,0.16049887239933014,0.23925600945949554,0.0924743264913559,0.2715383470058441,0.2821946144104004,0.20691965520381927,0.3187655806541443,0.33969607949256897,0.17266890406608582
states,0.3463578522205353,0.16012853384017944,0.30884552001953125,0.16989293694496155,0.25583845376968384,0.08680769801139832,0.2828785181045532,0.27476921677589417,0.22131966054439545,0.30884552001953125,0.3858724534511566,0.16272737085819244
',0.474788099527359,0.1647387146949768,0.39136970043182373,0.24293960630893707,0.16559256613254547,0.3137490153312683,0.34544456005096436,0.32852497696876526,0.1929815709590912,0.39136970043182373,0.1699827015399933,0.330942302942276
busiest,0.30110985040664673,0.3870590329170227,0.28865480422973633,0.23028242588043213,0.31213900446891785,0.14932379126548767,0.19131967425346375,0.2241467535495758,0.307772159576416,0.28865480422973633,0.20019985735416412,0.15537287294864655
commercial,0.23051398992538452,0.28510162234306335,0.21107374131679535,0.12421756982803345,0.1867092251777649,0.11161252856254578,0.2572329044342041,0.28039100766181946,0.149862602353096,0.21107374131679535,0.19564330577850342,0.04216946288943291
port,0.2648184895515442,1.0,0.19644224643707275,0.174833282828331,0.3249894082546234,0.09623604267835617,0.23759682476520538,0.21118135750293732,0.29033759236335754,0.19644224643707275,0.16398273408412933,0.06519711017608643
;,0.09152708947658539,0.03615163639187813,0.054534342139959335,0.08035528659820557,0.06621257960796356,0.07741983979940414,0.0979827418923378,-0.01244901679456234,0.10752061009407043,0.054534342139959335,0.08404627442359924,0.10349778085947037
the,1.0,0.2648184895515442,0.733189046382904,0.3075225353240967,0.20261730253696442,0.3027134835720062,0.535392165184021,0.6521818041801453,0.35020557045936584,0.733189046382904,0.2750805914402008,0.22068053483963013
adjacent,0.3491702079772949,0.1816585510969162,0.3417501151561737,0.1440228968858719,0.184953510761261,0.22060297429561615,0.26758721470832825,0.3638322949409485,0.2666429579257965,0.3417501151561737,0.18124249577522278,0.10849558562040329
port,0.2648184895515442,1.0,0.19644224643707275,0.174833282828331,0.3249894082546234,0.09623604267835617,0.23759682476520538,0.21118135750293732,0.29033759236335754,0.19644224643707275,0.16398273408412933,0.06519711017608643
of,0.733189046382904,0.19644224643707275,1.0,0.2567519545555115,0.20727382600307465,0.2636148929595947,0.41548454761505127,0.5011631846427917,0.2852717339992523,1.0,0.24929828941822052,0.1826142966747284
long,0.3075225353240967,0.174833282828331,0.2567519545555115,1.0,0.2953824996948242,0.13555167615413666,0.30218687653541565,0.34186381101608276,0.19633932411670685,0.2567519545555115,0.19318564236164093,0.19699987769126892
beach,0.20261730253696442,0.3249894082546234,0.20727382600307465,0.2953824996948242,1.0,0.023765599355101585,0.18073761463165283,0.20106564462184906,0.16797661781311035,0.20727382600307465,0.3935070335865021,0.16120761632919312
",",0.4933079481124878,0.26668232679367065,0.4946078956127167,0.3431144952774048,0.24992109835147858,0.25071313977241516,0.44245919585227966,0.3658004403114319,0.2119160145521164,0.4946078956127167,0.2704589068889618,0.31091248989105225
the,1.0,0.2648184895515442,0.733189046382904,0.3075225353240967,0.20261730253696442,0.3027134835720062,0.535392165184021,0.6521818041801453,0.35020557045936584,0.733189046382904,0.2750805914402008,0.22068053483963013
united,0.34367692470550537,0.14606931805610657,0.3187655806541443,0.16049887239933014,0.23925600945949554,0.0924743264913559,0.2715383470058441,0.2821946144104004,0.20691965520381927,0.3187655806541443,0.33969607949256897,0.17266890406608582
states,0.3463578522205353,0.16012853384017944,0.30884552001953125,0.16989293694496155,0.25583845376968384,0.08680769801139832,0.2828785181045532,0.27476921677589417,0.22131966054439545,0.30884552001953125,0.3858724534511566,0.16272737085819244
',0.474788099527359,0.1647387146949768,0.39136970043182373,0.24293960630893707,0.16559256613254547,0.3137490153312683,0.34544456005096436,0.32852497696876526,0.1929815709590912,0.39136970043182373,0.1699827015399933,0.330942302942276
second,0.4620301127433777,0.17665690183639526,0.353416383266449,0.25551390647888184,0.18006375432014465,0.08204365521669388,0.3098561465740204,0.336174339056015,0.18428725004196167,0.353416383266449,0.17182625830173492,0.17239587008953094
busiest,0.30110985040664673,0.3870590329170227,0.28865480422973633,0.23028242588043213,0.31213900446891785,0.14932379126548767,0.19131967425346375,0.2241467535495758,0.307772159576416,0.28865480422973633,0.20019985735416412,0.15537287294864655
container,0.23658598959445953,0.3223116397857666,0.24821609258651733,0.2317456305027008,0.16159671545028687,0.1376759558916092,0.25732019543647766,0.34612733125686646,0.19297412037849426,0.24821609258651733,0.09287088364362717,0.2078605592250824
port,0.2648184895515442,1.0,0.19644224643707275,0.174833282828331,0.3249894082546234,0.09623604267835617,0.23759682476520538,0.21118135750293732,0.29033759236335754,0.19644224643707275,0.16398273408412933,0.06519711017608643
;,0.09152708947658539,0.03615163639187813,0.054534342139959335,0.08035528659820557,0.06621257960796356,0.07741983979940414,0.0979827418923378,-0.01244901679456234,0.10752061009407043,0.054534342139959335,0.08404627442359924,0.10349778085947037
and,0.5171257257461548,0.21930254995822906,0.5116966962814331,0.3395216166973114,0.2650700807571411,0.2178621143102646,0.48971283435821533,0.506277859210968,0.2372262328863144,0.5116966962814331,0.2441616654396057,0.20544172823429108
the,1.0,0.2648184895515442,0.733189046382904,0.3075225353240967,0.20261730253696442,0.3027134835720062,0.535392165184021,0.6521818041801453,0.35020557045936584,0.733189046382904,0.2750805914402008,0.22068053483963013
port,0.2648184895515442,1.0,0.19644224643707275,0.174833282828331,0.3249894082546234,0.09623604267835617,0.23759682476520538,0.21118135750293732,0.29033759236335754,0.19644224643707275,0.16398273408412933,0.06519711017608643
of,0.733189046382904,0.19644224643707275,1.0,0.2567519545555115,0.20727382600307465,0.2636148929595947,0.41548454761505127,0.5011631846427917,0.2852717339992523,1.0,0.24929828941822052,0.1826142966747284
san,0.2858080565929413,0.18962962925434113,0.25237205624580383,0.15585333108901978,0.30628547072410583,0.08906131237745285,0.21651452779769897,0.190042182803154,0.13148866593837738,0.25237205624580383,0.5170050263404846,0.10952327400445938
diego,0.20885010063648224,0.07881017029285431,0.1941702961921692,0.16027119755744934,0.30749496817588806,0.11205996572971344,0.17890489101409912,0.12495049089193344,0.09232752025127411,0.1941702961921692,0.5714370608329773,0.11438121646642685
.,0.5934505462646484,0.22629979252815247,0.5352458953857422,0.3247973620891571,0.24822784960269928,0.2508102357387543,0.4645031690597534,0.45942068099975586,0.2506107687950134,0.5352458953857422,0.2870451807975769,0.4130953550338745
