,who,hired,tesla,when,he,moved,to,new,york,?
in,0.2792111933231354,0.18746300041675568,0.17097744345664978,0.4431333839893341,0.41690486669540405,0.3323737680912018,0.45010748505592346,0.3758552670478821,0.2961827218532562,0.20430970191955566
june,0.23552022874355316,0.15808801352977753,0.10874199122190475,0.2469879388809204,0.3103662133216858,0.3019166886806488,0.22441016137599945,0.25219395756721497,0.23890821635723114,0.31416764855384827
1884,0.05539725348353386,-0.06323860585689545,0.029632732272148132,0.004922932013869286,0.06471044570207596,0.032439619302749634,0.0789077877998352,-0.011487593874335289,-0.012002089060842991,-0.08445221930742264
",",0.3365725874900818,0.19597217440605164,0.20599327981472015,0.36674630641937256,0.40251094102859497,0.30661246180534363,0.44245919585227966,0.36073189973831177,0.2926291227340698,0.31091248989105225
he,0.5500732064247131,0.3111438453197479,0.12373391538858414,0.39115971326828003,1.0000001192092896,0.2954341471195221,0.385390967130661,0.2739552855491638,0.26895642280578613,0.2089974731206894
relocated,0.23301385343074799,0.33106252551078796,0.1250636875629425,0.20651556551456451,0.23730000853538513,0.5149954557418823,0.2634791433811188,0.22982852160930634,0.22583729028701782,0.0634486973285675
to,0.42656609416007996,0.32017654180526733,0.17548894882202148,0.5423505902290344,0.385390967130661,0.2918468713760376,1.0,0.33159172534942627,0.22230617702007294,0.29463258385658264
new,0.2378052920103073,0.2424842119216919,0.15999311208724976,0.257220059633255,0.2739552855491638,0.24805881083011627,0.33159172534942627,0.9999999403953552,0.7252664566040039,0.14782847464084625
york,0.23077517747879028,0.27731218934059143,0.15629629790782928,0.21644815802574158,0.26895642280578613,0.2305680364370346,0.22230617702007294,0.7252664566040039,1.0,0.15262620151042938
city:57–60,0.06928910315036774,0.08469806611537933,0.16204328835010529,0.08957821875810623,0.1472657173871994,0.20754969120025635,0.15648573637008667,0.3212572932243347,0.39336952567100525,0.20498128235340118
where,0.41804537177085876,0.17812278866767883,0.12761090695858002,0.5747735500335693,0.3705328106880188,0.39481642842292786,0.47735077142715454,0.26026442646980286,0.21910661458969116,0.24793872237205505
he,0.5500732064247131,0.3111438453197479,0.12373391538858414,0.39115971326828003,1.0000001192092896,0.2954341471195221,0.385390967130661,0.2739552855491638,0.26895642280578613,0.2089974731206894
was,0.3318818509578705,0.3013991713523865,0.16455206274986267,0.37326499819755554,0.5410010814666748,0.3804442584514618,0.3636345863342285,0.2748313844203949,0.2746913433074951,0.18412111699581146
hired,0.38516125082969666,1.0000001192092896,0.15152283012866974,0.21807418763637543,0.3111438453197479,0.2749890089035034,0.32017654180526733,0.2424842119216919,0.27731218934059143,0.1434362679719925
by,0.39727845788002014,0.2718183696269989,0.16513796150684357,0.4376842677593231,0.2485479861497879,0.16831031441688538,0.33534231781959534,0.25394493341445923,0.2363547831773758,0.17966607213020325
thomas,0.26103657484054565,0.19931663572788239,0.21892967820167542,0.19259870052337646,0.2241380214691162,0.1662147343158722,0.1928519904613495,0.16022062301635742,0.2071814090013504,0.16133050620555878
edison,0.19920577108860016,0.1528095006942749,0.35526686906814575,0.25418660044670105,0.25568121671676636,0.17245467007160187,0.21176284551620483,0.31342771649360657,0.33205801248550415,0.10244420915842056
to,0.42656609416007996,0.32017654180526733,0.17548894882202148,0.5423505902290344,0.385390967130661,0.2918468713760376,1.0,0.33159172534942627,0.22230617702007294,0.29463258385658264
