,what,does,the,ipcc,not,do,?
the,0.42745697498321533,0.35928019881248474,1.0,0.24925659596920013,0.4310511648654938,0.30239659547805786,0.22068053483963013
ipcc,0.33176189661026,0.2859721779823303,0.24925659596920013,1.0000001192092896,0.25688210129737854,0.269673615694046,0.22295254468917847
does,0.38564667105674744,1.0,0.35928019881248474,0.2859721779823303,0.6355478763580322,0.5148232579231262,0.338003009557724
not,0.5449194312095642,0.6355478763580322,0.4310511648654938,0.25688210129737854,0.9999999403953552,0.6619802713394165,0.41942933201789856
carry,0.22239743173122406,0.17188382148742676,0.26752355694770813,0.1078876331448555,0.27368539571762085,0.3395760953426361,0.17171701788902283
out,0.3633197546005249,0.24808503687381744,0.39404502511024475,0.20993299782276154,0.33352673053741455,0.30558764934539795,0.22020699083805084
research,0.237140491604805,0.20314310491085052,0.24391183257102966,0.41978248953819275,0.2425752729177475,0.2000144124031067,0.13481977581977844
nor,0.33353856205940247,0.40384364128112793,0.26533758640289307,0.14282040297985077,0.4992593824863434,0.31752869486808777,0.2602383494377136
does,0.38564667105674744,1.0,0.35928019881248474,0.2859721779823303,0.6355478763580322,0.5148232579231262,0.338003009557724
it,0.45803478360176086,0.34188351035118103,0.6251175999641418,0.21679024398326874,0.4651523232460022,0.337066113948822,0.25732165575027466
monitor,0.2538383901119232,0.16406069695949554,0.21356156468391418,0.22926470637321472,0.2429378777742386,0.27145031094551086,0.167510524392128
climate,0.2854173183441162,0.22213737666606903,0.2693597674369812,0.5031722187995911,0.19016848504543304,0.19140350818634033,0.19998492300510406
related,0.258600115776062,0.1858857423067093,0.26962998509407043,0.14262236654758453,0.2465992122888565,0.21855129301548004,0.17689068615436554
data,0.23453554511070251,0.19665312767028809,0.20546740293502808,0.3115519881248474,0.19857001304626465,0.16594001650810242,0.17909851670265198
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.20098818838596344,0.4824007451534271,0.3613996207714081,0.4130953550338745
