,what,was,the,capital,of,the,mongol,empire,?
he,0.3114890456199646,0.5410010814666748,0.4571082592010498,0.22468039393424988,0.38706058263778687,0.4571082592010498,0.17718079686164856,0.22260785102844238,0.2089974731206894
allowed,0.2693612575531006,0.27499085664749146,0.2985120713710785,0.15924671292304993,0.2699741721153259,0.2985120713710785,0.1115831658244133,0.1526942104101181,0.2309964895248413
them,0.4994642734527588,0.23709723353385925,0.4788833558559418,0.13090938329696655,0.34503093361854553,0.4788833558559418,0.2579866647720337,0.19490370154380798,0.35435691475868225
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.1844596415758133,0.41548454761505127,0.535392165184021,0.2125127911567688,0.21448755264282227,0.29463258385658264
make,0.3792211413383484,0.20205417275428772,0.3146495521068573,0.12622658908367157,0.2912110388278961,0.3146495521068573,0.11574490368366241,0.12355577945709229,0.28314751386642456
decisions,0.3351972997188568,0.18396079540252686,0.30538004636764526,0.2224840521812439,0.2881335914134979,0.30538004636764526,0.18425345420837402,0.20582404732704163,0.29068708419799805
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.15679915249347687,0.3966929316520691,0.5107308030128479,0.13546301424503326,0.1508585810661316,0.2714994251728058
their,0.35142919421195984,0.2396296262741089,0.516537070274353,0.13610072433948517,0.4329940676689148,0.516537070274353,0.2211313098669052,0.2050197720527649,0.1898253709077835
own,0.35062843561172485,0.19632458686828613,0.334675133228302,0.1975037008523941,0.3269667625427246,0.334675133228302,0.11799279600381851,0.20316775143146515,0.1937696635723114
when,0.4700249433517456,0.37326499819755554,0.5091903209686279,0.20230671763420105,0.3757161796092987,0.5091903209686279,0.17596986889839172,0.18422111868858337,0.22841128706932068
they,0.4431931674480438,0.3300964832305908,0.49925389885902405,0.14911054074764252,0.3426007330417633,0.49925389885902405,0.21323534846305847,0.19982218742370605,0.2753053903579712
embarked,0.16874083876609802,0.2882765233516693,0.26044318079948425,0.12401565909385681,0.24539470672607422,0.26044318079948425,0.1520567536354065,0.19888217747211456,0.1276444047689438
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.15679915249347687,0.3966929316520691,0.5107308030128479,0.13546301424503326,0.1508585810661316,0.2714994251728058
campaigns,0.20698273181915283,0.22862818837165833,0.27786964178085327,0.15737728774547577,0.26936405897140503,0.27786964178085327,0.2090030163526535,0.3209163248538971,0.13006390631198883
far,0.34794166684150696,0.24026422202587128,0.38564538955688477,0.18925100564956665,0.3005201518535614,0.38564538955688477,0.19750434160232544,0.195875883102417,0.2170870453119278
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.22938302159309387,0.4249346852302551,0.40150508284568787,0.2123146951198578,0.19878821074962616,0.19969791173934937
the,0.42745697498321533,0.48711544275283813,1.0,0.3049491047859192,0.733189046382904,1.0,0.2924198508262634,0.32532164454460144,0.22068053483963013
mongol,0.15870186686515808,0.17204789817333221,0.2924198508262634,0.2768394947052002,0.22712039947509766,0.2924198508262634,1.0000001192092896,0.45230501890182495,0.12849251925945282
empire,0.21723191440105438,0.30602675676345825,0.32532164454460144,0.30879515409469604,0.30522286891937256,0.32532164454460144,0.45230501890182495,1.0000001192092896,0.14909450709819794
capital,0.17967931926250458,0.21907466650009155,0.3049491047859192,0.9999999403953552,0.30823585391044617,0.3049491047859192,0.2768394947052002,0.30879515409469604,0.0907452180981636
karakorum,0.2500336170196533,0.2074032723903656,0.36812421679496765,0.3103887140750885,0.3111494183540344,0.36812421679496765,0.4358240067958832,0.3172854483127594,0.1823367327451706
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.23657599091529846,0.5352458953857422,0.5934505462646484,0.16751837730407715,0.2811720371246338,0.4130953550338745
