,what,are,incompetent,government,'s,commitment,to,social,justice,limited,to,?
all,0.41981086134910583,0.5343062281608582,0.2995264232158661,0.21567091345787048,0.03181743621826172,0.2333175092935562,0.42520734667778015,0.212313711643219,0.19227614998817444,0.2925136089324951,0.42520734667778015,0.29575422406196594
this,0.5489566326141357,0.35762670636177063,0.33685368299484253,0.28444379568099976,0.02106832154095173,0.32075679302215576,0.5759071707725525,0.18580013513565063,0.15967333316802979,0.34444674849510193,0.5759071707725525,0.3155723512172699
compares,0.2933214008808136,0.2825455963611603,0.16092826426029205,0.12752190232276917,0.019784674048423767,0.25546491146087646,0.277158260345459,0.23281987011432648,0.12441536039113998,0.21564671397209167,0.277158260345459,0.24103082716464996
very,0.37053924798965454,0.41714969277381897,0.29748162627220154,0.20630058646202087,0.024833835661411285,0.21410930156707764,0.3902553617954254,0.17744801938533783,0.1265314519405365,0.2532503306865692,0.3902553617954254,0.20864155888557434
favourably,0.24449387192726135,0.25017064809799194,0.24431966245174408,0.1923528015613556,-0.0016573533648625016,0.2685520648956299,0.3159109055995941,0.2192450314760208,0.19380255043506622,0.30945688486099243,0.3159109055995941,0.20140649378299713
against,0.24561616778373718,0.20829962193965912,0.2364075481891632,0.2628965973854065,-0.0006242102244868875,0.3036467134952545,0.310872346162796,0.21721182763576508,0.2328505516052246,0.10362793505191803,0.310872346162796,0.18095137178897858
incompetent,0.4163341522216797,0.28644102811813354,1.0,0.303946316242218,0.04539022594690323,0.36007142066955566,0.3349969685077667,0.2155451625585556,0.34113943576812744,0.3063231110572815,0.3349969685077667,0.28436338901519775
",",0.3087472915649414,0.4062570035457611,0.24524645507335663,0.27344048023223877,-0.0016132977325469255,0.23957425355911255,0.44245919585227966,0.2674078345298767,0.22630788385868073,0.29710644483566284,0.44245919585227966,0.31091248989105225
inefficient,0.2926245331764221,0.2771850824356079,0.4013992249965668,0.36508455872535706,0.035090479999780655,0.3704029321670532,0.3125566840171814,0.25272998213768005,0.18660005927085876,0.38437679409980774,0.3125566840171814,0.232131689786911
",",0.3087472915649414,0.4062570035457611,0.24524645507335663,0.27344048023223877,-0.0016132977325469255,0.23957425355911255,0.44245919585227966,0.2674078345298767,0.22630788385868073,0.29710644483566284,0.44245919585227966,0.31091248989105225
or,0.33867141604423523,0.5374364256858826,0.30749595165252686,0.2456667572259903,0.06871571391820908,0.1997031718492508,0.38921234011650085,0.22923840582370758,0.15978524088859558,0.26471447944641113,0.38921234011650085,0.32389625906944275
neglectful,0.33066245913505554,0.21801653504371643,0.41462084650993347,0.21145527064800262,0.03946530818939209,0.3619849383831024,0.2909907102584839,0.31020617485046387,0.2205754667520523,0.2035619020462036,0.2909907102584839,0.24559006094932556
governments,0.2814749777317047,0.32274073362350464,0.36397215723991394,0.87839275598526,0.03380228206515312,0.3058089017868042,0.30281347036361694,0.3680153489112854,0.2964295744895935,0.27788400650024414,0.30281347036361694,0.18805137276649475
whose,0.22831642627716064,0.2854825556278229,0.25040462613105774,0.16691625118255615,-0.019954677671194077,0.1444779336452484,0.320825457572937,0.15642163157463074,0.20466841757297516,0.14445902407169342,0.320825457572937,0.16990536451339722
commitment,0.344460129737854,0.11966440081596375,0.36007142066955566,0.2852780222892761,0.08736924082040787,1.0,0.3161403238773346,0.29381003975868225,0.3269847333431244,0.27401643991470337,0.3161403238773346,0.238871768116951
to,0.455847829580307,0.3504326641559601,0.3349969685077667,0.28343796730041504,0.03782717138528824,0.3161403238773346,1.0,0.19684761762619019,0.19197677075862885,0.2564510405063629,1.0,0.29463258385658264
social,0.22217629849910736,0.21125389635562897,0.2155451625585556,0.3182539641857147,0.030711397528648376,0.29381003975868225,0.19684761762619019,1.0,0.38316935300827026,0.1302432417869568,0.19684761762619019,0.1615191102027893
justice,0.21462921798229218,0.13176707923412323,0.34113943576812744,0.3114950656890869,0.013917717151343822,0.3269847333431244,0.19197677075862885,0.38316935300827026,1.0,0.13438518345355988,0.19197677075862885,0.19269752502441406
is,0.28837618231773376,0.5330929756164551,0.1946520060300827,0.20343491435050964,0.02396530658006668,0.19832594692707062,0.42745086550712585,0.15944984555244446,0.18458157777786255,0.17759747803211212,0.42745086550712585,0.22961433231830597
limited,0.23110276460647583,0.22569195926189423,0.3063231110572815,0.2548535466194153,0.009881002828478813,0.27401643991470337,0.2564510405063629,0.1302432417869568,0.13438518345355988,1.0,0.2564510405063629,0.09444807469844818
to,0.455847829580307,0.3504326641559601,0.3349969685077667,0.28343796730041504,0.03782717138528824,0.3161403238773346,1.0,0.19684761762619019,0.19197677075862885,0.2564510405063629,1.0,0.29463258385658264
rhetoric,0.35592612624168396,0.17222906649112701,0.27210280299186707,0.2131950706243515,0.007105655036866665,0.3020212948322296,0.19807186722755432,0.32651156187057495,0.23061782121658325,0.16063332557678223,0.19807186722755432,0.2396131157875061
.,0.3567904531955719,0.3452940285205841,0.21957050263881683,0.2521961033344269,-0.003708066651597619,0.2529534101486206,0.4645031690597534,0.2614770531654358,0.24642124772071838,0.23431839048862457,0.4645031690597534,0.4130953550338745
