,what,type,of,positions,would,these,counties,be,trying,to,recruit,for,?
many,0.36131182312965393,0.19664129614830017,0.37253960967063904,0.29410091042518616,0.33440667390823364,0.7077717185020447,0.17799876630306244,0.3961109519004822,0.29575449228286743,0.40243685245513916,0.2724211812019348,0.40972793102264404,0.2124512493610382
counties,0.18263769149780273,0.04876338690519333,0.2559657096862793,0.24348467588424683,0.16920824348926544,0.26225194334983826,1.0,0.16683633625507355,0.11342794448137283,0.19238705933094025,0.14303871989250183,0.15031608939170837,0.09521792083978653
offer,0.20134106278419495,0.12189275771379471,0.19393298029899597,0.19479776918888092,0.40259283781051636,0.31234872341156006,0.07525444030761719,0.2898631691932678,0.20229612290859222,0.34615713357925415,0.2649793028831482,0.35623615980148315,0.1774262934923172
alternative,0.1948106437921524,0.27551186084747314,0.2218208760023117,0.1959117352962494,0.2580938935279846,0.24502727389335632,0.16382330656051636,0.32405102252960205,0.18365752696990967,0.2616310119628906,0.21651610732078552,0.3680151700973511,0.22607778012752533
licensing,0.2864918112754822,0.1332099437713623,0.1692100167274475,0.14835354685783386,0.2759203612804413,0.2750825881958008,0.17522534728050232,0.25517162680625916,0.23283261060714722,0.26254668831825256,0.2815142869949341,0.2815176546573639,0.23048727214336395
programs,0.23178155720233917,0.17445242404937744,0.18037469685077667,0.24074174463748932,0.2404647022485733,0.3107883930206299,0.17610763013362885,0.24123507738113403,0.18342801928520203,0.23389451205730438,0.2694208025932312,0.3644469678401947,0.16452431678771973
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.23584577441215515,0.5965728163719177,0.46852558851242065,0.19238705933094025,0.4972836375236511,0.5021223425865173,1.0,0.28058016300201416,0.4451248347759247,0.29463258385658264
attract,0.2005894035100937,0.09319034963846207,0.22641630470752716,0.1108563244342804,0.27073225378990173,0.27088463306427,0.05839218571782112,0.2725282907485962,0.23786959052085876,0.3283350169658661,0.323979914188385,0.19986799359321594,0.12982657551765442
people,0.32444337010383606,0.21299324929714203,0.3251037895679474,0.1379346251487732,0.3082716464996338,0.39508289098739624,0.32486841082572937,0.2593584358692169,0.2841684818267822,0.37275731563568115,0.1937381625175476,0.24900002777576447,0.23739641904830933
into,0.2180619090795517,0.14269600808620453,0.32255905866622925,0.1652819812297821,0.2832599878311157,0.3533816933631897,0.20545795559883118,0.3462390601634979,0.24749277532100677,0.38810545206069946,0.1522916853427887,0.231735959649086,0.15662476420402527
teaching,0.27416905760765076,0.11639692634344101,0.2911611497402191,0.2541353702545166,0.22758165001869202,0.2880990207195282,0.15325412154197693,0.2096574753522873,0.24413159489631653,0.2762126624584198,0.33968010544776917,0.31977686285972595,0.20424684882164001
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2113482654094696,0.32586824893951416,0.37613096833229065,0.2766191363334656,0.39254459738731384,0.24321463704109192,0.44245919585227966,0.16720660030841827,0.4464869201183319,0.31091248989105225
especially,0.3590192496776581,0.2649726867675781,0.37220633029937744,0.2387838065624237,0.30507516860961914,0.5294599533081055,0.08828499913215637,0.36800456047058105,0.2846876382827759,0.37744608521461487,0.2384500950574875,0.42758095264434814,0.19751401245594025
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.30627691745758057,0.39877474308013916,0.41566818952560425,0.15031608939170837,0.3801851272583008,0.2689822316169739,0.4451248347759247,0.29705899953842163,0.9999999403953552,0.264628142118454
hard-to-fill,0.3213159441947937,0.22948898375034332,0.3062823712825775,0.2484864592552185,0.31451478600502014,0.34243860840797424,0.2649083435535431,0.3763381540775299,0.28966161608695984,0.3724935054779053,0.31906968355178833,0.2875003218650818,0.31001055240631104
positions,0.19736577570438385,0.11403514444828033,0.27722278237342834,0.9999998807907104,0.25895804166793823,0.3356879651546478,0.24348467588424683,0.24917836487293243,0.21547693014144897,0.23584577441215515,0.20876628160476685,0.30627691745758057,0.126787006855011
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.26846083998680115,0.35067233443260193,0.3840779960155487,0.21356114745140076,0.4383580684661865,0.3029857277870178,0.4645031690597534,0.21029594540596008,0.4726039469242096,0.4130953550338745
