,what,organization,did,general,gaafar,al-nimeiry,invite,members,of,to,serve,in,his,government,?
his,0.26976513862609863,0.16276459395885468,0.3546801507472992,0.21327239274978638,0.3353373408317566,0.3081654906272888,0.21812546253204346,0.2272208034992218,0.38364991545677185,0.3715193271636963,0.19427727162837982,0.3598145842552185,0.9999998807907104,0.23050804436206818,0.18075084686279297
national,0.16882304847240448,0.3064082860946655,0.17743784189224243,0.18858538568019867,0.2723485231399536,0.2673102915287018,0.12446621060371399,0.17010076344013214,0.3314673602581024,0.21067756414413452,0.15531612932682037,0.28915393352508545,0.17216522991657257,0.29917800426483154,0.15643028914928436
islamic,0.2204568088054657,0.3100273013114929,0.17371372878551483,0.1676945835351944,0.46015679836273193,0.3487415313720703,0.1316123604774475,0.16775907576084137,0.25656506419181824,0.1969100832939148,0.16033567488193512,0.19633598625659943,0.17124828696250916,0.3250277638435364,0.1692383587360382
front,0.19401875138282776,0.16278167068958282,0.16284920275211334,0.15161414444446564,0.1670692414045334,0.16312608122825623,0.1260368376970291,0.19715552031993866,0.2804802656173706,0.26463037729263306,0.22423677146434784,0.22647713124752045,0.1742485761642456,0.16119977831840515,0.16351862251758575
first,0.28086137771606445,0.2089657038450241,0.33691170811653137,0.23021191358566284,0.27135080099105835,0.26430317759513855,0.1850806623697281,0.1530320644378662,0.3536086082458496,0.3792489171028137,0.2588934600353241,0.4127444326877594,0.3241460621356964,0.20990468561649323,0.18701928853988647
gained,0.15457381308078766,0.23617714643478394,0.2939504086971283,0.18143099546432495,0.27248379588127136,0.17113520205020905,0.08469751477241516,0.22684529423713684,0.29895761609077454,0.22058042883872986,0.18142037093639374,0.2935055196285248,0.3442349135875702,0.19813764095306396,0.11261032521724701
influence,0.2790174186229706,0.212046816945076,0.2526049315929413,0.1793944537639618,0.2401549518108368,0.20033706724643707,0.19532731175422668,0.20879937708377838,0.3608979284763336,0.23180463910102844,0.15958954393863678,0.26119694113731384,0.36487501859664917,0.28718364238739014,0.14200882613658905
when,0.4700249433517456,0.23174281418323517,0.3228907287120819,0.20438088476657867,0.17233417928218842,0.2513757050037384,0.23382002115249634,0.2236606478691101,0.3757161796092987,0.5423505902290344,0.24939022958278656,0.4431333839893341,0.37120407819747925,0.23078718781471252,0.22841128706932068
strongman,0.14991925656795502,0.19528228044509888,0.13830308616161346,0.20823054015636444,0.3066438138484955,0.24869386851787567,0.12507329881191254,0.13604618608951569,0.24550935626029968,0.19562824070453644,0.12877090275287628,0.19629837572574615,0.25136420130729675,0.251001238822937,0.11252647638320923
general,0.24928055703639984,0.1977924257516861,0.19499315321445465,1.0000001192092896,0.2532210350036621,0.24759677052497864,0.13559003174304962,0.15332673490047455,0.28352999687194824,0.24755197763442993,0.2238321602344513,0.259066641330719,0.21327239274978638,0.3210046589374542,0.1972234547138214
gaafar,0.2706025540828705,0.26662853360176086,0.1890733540058136,0.2532210350036621,0.9999999403953552,0.6129258871078491,0.1515582948923111,0.1554427593946457,0.2751939594745636,0.25145775079727173,0.13327503204345703,0.19680190086364746,0.3353373408317566,0.26751264929771423,0.19450221955776215
al-nimeiry,0.2107468545436859,0.24171462655067444,0.16556331515312195,0.24759677052497864,0.6129258871078491,1.0,0.23590099811553955,0.1111207827925682,0.25062310695648193,0.24172139167785645,0.22323277592658997,0.20516414940357208,0.3081654906272888,0.29579290747642517,0.2566865086555481
invited,0.18042968213558197,0.15066251158714294,0.39036959409713745,0.149668887257576,0.1590879112482071,0.19800449907779694,0.812075138092041,0.3194229304790497,0.18827776610851288,0.3062288761138916,0.17050901055335999,0.20903164148330688,0.29983702301979065,0.18424060940742493,0.15199494361877441
members,0.16873176395893097,0.30817681550979614,0.21391335129737854,0.15332673490047455,0.1554427593946457,0.1111207827925682,0.3033687174320221,0.9999998807907104,0.28120753169059753,0.26617446541786194,0.15402425825595856,0.196792870759964,0.2272208034992218,0.222846120595932,0.10212311148643494
to,0.455847829580307,0.26166829466819763,0.4452643394470215,0.24755197763442993,0.25145775079727173,0.24172139167785645,0.3787904679775238,0.26617446541786194,0.41548454761505127,1.0,0.3411368131637573,0.45010748505592346,0.3715193271636963,0.28343796730041504,0.29463258385658264
serve,0.23061832785606384,0.17475581169128418,0.19442126154899597,0.2238321602344513,0.13327503204345703,0.22323277592658997,0.22617997229099274,0.15402425825595856,0.2656401991844177,0.3411368131637573,0.9999998807907104,0.20702329277992249,0.19427727162837982,0.23231241106987,0.19925682246685028
in,0.30808621644973755,0.2513086795806885,0.2593238651752472,0.259066641330719,0.19680190086364746,0.20516414940357208,0.15497392416000366,0.196792870759964,0.5696388483047485,0.45010748505592346,0.20702329277992249,1.0,0.3598145842552185,0.3066793978214264,0.20430970191955566
his,0.26976513862609863,0.16276459395885468,0.3546801507472992,0.21327239274978638,0.3353373408317566,0.3081654906272888,0.21812546253204346,0.2272208034992218,0.38364991545677185,0.3715193271636963,0.19427727162837982,0.3598145842552185,0.9999998807907104,0.23050804436206818,0.18075084686279297
government,0.28074538707733154,0.3747314214706421,0.2792121469974518,0.3210046589374542,0.26751264929771423,0.29579290747642517,0.1634519249200821,0.222846120595932,0.3475167155265808,0.28343796730041504,0.23231241106987,0.3066793978214264,0.23050804436206818,1.0000001192092896,0.18851417303085327
in,0.30808621644973755,0.2513086795806885,0.2593238651752472,0.259066641330719,0.19680190086364746,0.20516414940357208,0.15497392416000366,0.196792870759964,0.5696388483047485,0.45010748505592346,0.20702329277992249,1.0,0.3598145842552185,0.3066793978214264,0.20430970191955566
1979,0.17707666754722595,0.11223354190587997,0.12377073615789413,0.17315243184566498,0.18397659063339233,0.1213715597987175,0.07537348568439484,0.25152453780174255,0.2645907700061798,0.260578453540802,0.08496136963367462,0.26264503598213196,0.12734022736549377,0.10994946956634521,0.09159877151250839
.,0.3567904531955719,0.20656518638134003,0.35288307070732117,0.2929490804672241,0.24196691811084747,0.287202924489975,0.2556045353412628,0.21119362115859985,0.5352458953857422,0.4645031690597534,0.26939791440963745,0.5591574311256409,0.3119256794452667,0.2521961033344269,0.4130953550338745
