,point,conception,is,an,example,of,a,landmark,among,what,boundary,of,southern,california,?
another,0.27587398886680603,0.2736102044582367,0.41278526186943054,0.47266486287117004,0.43798014521598816,0.38147079944610596,0.6191956996917725,0.2166031301021576,0.17098088562488556,0.4190070629119873,0.19897843897342682,0.38147079944610596,0.12492156028747559,0.1454266458749771,0.295511931180954
definition,0.31866204738616943,0.3955181837081909,0.29006320238113403,0.21560780704021454,0.4240194857120514,0.24912455677986145,0.2941339910030365,0.142276793718338,0.1748170405626297,0.330344021320343,0.27868202328681946,0.24912455677986145,0.1034817099571228,0.17904339730739594,0.2796523869037628
for,0.22027306258678436,0.260425329208374,0.43268078565597534,0.3236706852912903,0.45665353536605835,0.4185989499092102,0.44038116931915283,0.21768541634082794,0.2832789719104767,0.3017193675041199,0.16568990051746368,0.4185989499092102,0.14496514201164246,0.23038740456104279,0.264628142118454
southern,0.15319910645484924,0.06665686517953873,0.2419366091489792,0.1620207577943802,0.11202357709407806,0.31933003664016724,0.25843560695648193,0.13517923653125763,0.1312696486711502,0.18679563701152802,0.26165544986724854,0.31933003664016724,1.0,0.2983402609825134,0.11225555837154388
california,0.13981984555721283,0.16100458800792694,0.20727038383483887,0.15679968893527985,0.15722273290157318,0.24929828941822052,0.2426064908504486,0.21313387155532837,0.1743478626012802,0.1811584085226059,0.12054579704999924,0.24929828941822052,0.2983402609825134,1.0,0.1409905105829239
uses,0.2028588354587555,0.1725952923297882,0.41359779238700867,0.2683957815170288,0.4338369369506836,0.2738003432750702,0.35566505789756775,0.06158487871289253,0.0744980052113533,0.1933930367231369,0.0719541609287262,0.2738003432750702,0.11634056270122528,0.1218428760766983,0.18407079577445984
point,0.9999998807907104,0.2517877221107483,0.29601794481277466,0.20735062658786774,0.299433171749115,0.269877165555954,0.2913021743297577,0.11478018760681152,0.14284640550613403,0.3286605179309845,0.3088805675506592,0.269877165555954,0.15319910645484924,0.13981984555721283,0.19189560413360596
conception,0.2517877221107483,0.9999999403953552,0.29992517828941345,0.26323971152305603,0.3666951656341553,0.3158630430698395,0.3090919256210327,0.21145115792751312,0.27749398350715637,0.284974068403244,0.2516222298145294,0.3158630430698395,0.06665686517953873,0.16100458800792694,0.16465921700000763
and,0.23319636285305023,0.247016042470932,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.3739250600337982,0.1993752121925354,0.39211368560791016,0.31309178471565247,0.24556493759155273,0.5116966962814331,0.24232792854309082,0.2441616654396057,0.20544172823429108
the,0.3084787130355835,0.29475459456443787,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.26586976647377014,0.3507058024406433,0.42745697498321533,0.3356972932815552,0.733189046382904,0.3282862603664398,0.2750805914402008,0.22068053483963013
tehachapi,0.1734963357448578,0.11029447615146637,0.3005724549293518,0.2189898043870926,0.1763232946395874,0.2956123948097229,0.3183167576789856,0.3025245666503906,0.17529155313968658,0.28426891565322876,0.2634795904159546,0.2956123948097229,0.2661155164241791,0.31922775506973267,0.16860505938529968
mountains,0.23096540570259094,0.052100978791713715,0.2538272738456726,0.08350004255771637,0.1675366461277008,0.22132478654384613,0.1995611935853958,0.15313683450222015,0.16997337341308594,0.1498076319694519,0.3081853985786438,0.22132478654384613,0.334571897983551,0.24200895428657532,0.08633821457624435
as,0.1902783066034317,0.2748660147190094,0.43216490745544434,0.37218472361564636,0.35903409123420715,0.3886612355709076,0.39550232887268066,0.2251753956079483,0.3329014778137207,0.31749409437179565,0.26852041482925415,0.3886612355709076,0.17950406670570374,0.1933012157678604,0.27043893933296204
the,0.3084787130355835,0.29475459456443787,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.5829201340675354,0.26586976647377014,0.3507058024406433,0.42745697498321533,0.3356972932815552,0.733189046382904,0.3282862603664398,0.2750805914402008,0.22068053483963013
northern,0.1502375304698944,0.10376093536615372,0.25616052746772766,0.18364062905311584,0.13296711444854736,0.32586339116096497,0.22329643368721008,0.0979425460100174,0.13730165362358093,0.19332477450370789,0.33774712681770325,0.32586339116096497,0.7355895638465881,0.23127253353595734,0.13149388134479523
boundary,0.3088805675506592,0.2516222298145294,0.23768730461597443,0.17303961515426636,0.1700478494167328,0.27984359860420227,0.22228455543518066,0.2621070146560669,0.14120963215827942,0.26910632848739624,1.0,0.27984359860420227,0.26165544986724854,0.12054579704999924,0.0720028504729271
.,0.26374325156211853,0.2287956029176712,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.50484299659729,0.21915630996227264,0.22495509684085846,0.3567904531955719,0.1972806751728058,0.5352458953857422,0.26629969477653503,0.2870451807975769,0.4130953550338745
