,what,did,people,vote,the,doctor,who,series,as,in,a,2011,online,vote,?
a,0.3320399522781372,0.2552328109741211,0.3483705520629883,0.21813347935676575,0.5829201340675354,0.22883038222789764,0.36608949303627014,0.23966510593891144,0.39550232887268066,0.539380669593811,1.0,0.03359675034880638,0.20674628019332886,0.21813347935676575,0.23916715383529663
2012,0.2266836017370224,0.16113266348838806,0.33565592765808105,0.17766349017620087,0.46885523200035095,0.12708549201488495,0.23490679264068604,0.15217827260494232,0.3424225151538849,0.3800647258758545,0.3774794936180115,-0.004379379563033581,0.13046151399612427,0.17766349017620087,0.18042556941509247
article,0.40514686703681946,0.27629354596138,0.2154819220304489,0.33758240938186646,0.3329811692237854,0.18758583068847656,0.2547345757484436,0.21107545495033264,0.2877572774887085,0.26153311133384705,0.30913418531417847,-0.022848868742585182,0.3382652997970581,0.33758240938186646,0.4948462247848511
placed,0.20823347568511963,0.20626646280288696,0.10521872341632843,0.13363704085350037,0.38702741265296936,0.14114227890968323,0.1622145026922226,0.19661396741867065,0.24738344550132751,0.263030469417572,0.30072465538978577,0.04498467966914177,0.11857783049345016,0.13363704085350037,0.18964257836341858
this,0.5489566326141357,0.3609912693500519,0.27838850021362305,0.31675276160240173,0.6274310946464539,0.16758373379707336,0.3345087468624115,0.23312100768089294,0.43993282318115234,0.45205554366111755,0.5422310829162598,0.0691872388124466,0.18426042795181274,0.31675276160240173,0.3155723512172699
childhood,0.2245498150587082,0.17465099692344666,0.2292623519897461,0.07832735776901245,0.21581587195396423,0.2555637061595917,0.2536155581474304,0.23788227140903473,0.1662028282880783,0.2416183203458786,0.1799464225769043,-0.04116467386484146,0.13250133395195007,0.07832735776901245,0.11606396734714508
juxtaposition,0.334617018699646,0.2520536184310913,0.1742069274187088,0.2730364501476288,0.39811399579048157,0.1741192489862442,0.2893202006816864,0.24506127834320068,0.34723496437072754,0.3241996765136719,0.36040252447128296,0.07930712401866913,0.1894102394580841,0.2730364501476288,0.24040789902210236
of,0.33290785551071167,0.2513895630836487,0.3251037895679474,0.19845709204673767,0.733189046382904,0.16895952820777893,0.2827862501144409,0.22268271446228027,0.3886612355709076,0.5696388483047485,0.5052502155303955,0.09709474444389343,0.19929544627666473,0.19845709204673767,0.1826142966747284
fear,0.282958060503006,0.21054264903068542,0.2580778896808624,0.25319209694862366,0.23606698215007782,0.1515391767024994,0.22971247136592865,0.23753143846988678,0.2420264482498169,0.20313329994678497,0.20806382596492767,0.040386199951171875,0.13268645107746124,0.25319209694862366,0.2266579419374466
and,0.31309178471565247,0.34479495882987976,0.3016039729118347,0.1828758865594864,0.5171257257461548,0.21673844754695892,0.41279885172843933,0.26972857117652893,0.49487000703811646,0.4954058527946472,0.3739250600337982,0.0998905599117279,0.16058434545993805,0.1828758865594864,0.20544172823429108
thrill,0.2653290629386902,0.14790499210357666,0.17517578601837158,0.12449133396148682,0.21610936522483826,0.200850710272789,0.189621701836586,0.23845148086547852,0.15394674241542816,0.20239219069480896,0.25412192940711975,0.04715372622013092,0.13443535566329956,0.12449133396148682,0.23373691737651825
``,0.008517155423760414,-0.029888948425650597,0.08962737023830414,0.08675257116556168,0.029072100296616554,0.03718610852956772,0.02397952415049076,-0.08478077501058578,0.03910288214683533,0.04765888676047325,0.07272057235240936,0.08376037329435349,-0.12675468623638153,0.08675257116556168,0.0685480609536171
at,0.2838611304759979,0.28390252590179443,0.2582513391971588,0.14803512394428253,0.457212895154953,0.2165924310684204,0.22096660733222961,0.1310107558965683,0.28092536330223083,0.4374977946281433,0.3095070421695709,-0.017194323241710663,0.20598451793193817,0.14803512394428253,0.21978627145290375
