,what,is,decnet
decnet,0.30539456009864807,0.1913895606994629,1.0000001192092896
is,0.28837618231773376,1.0,0.1913895606994629
a,0.3320399522781372,0.658733606338501,0.24059852957725525
suite,0.13092082738876343,0.18625159561634064,0.3695616126060486
of,0.33290785551071167,0.4854315221309662,0.23107442259788513
network,0.16917307674884796,0.2196272611618042,0.3962576389312744
protocols,0.1937398612499237,0.19984327256679535,0.49375399947166443
created,0.20714101195335388,0.28467464447021484,0.26264408230781555
by,0.2455483376979828,0.3899846076965332,0.31663134694099426
digital,0.1757969856262207,0.16141945123672485,0.40097886323928833
equipment,0.21531300246715546,0.15240977704524994,0.27305781841278076
corporation,0.1715448498725891,0.21436315774917603,0.292858362197876
",",0.3087472915649414,0.4691906273365021,0.2908768355846405
originally,0.2645323872566223,0.33268988132476807,0.2193414568901062
released,0.20228935778141022,0.21587204933166504,0.29263466596603394
in,0.30808621644973755,0.5394441485404968,0.22210948169231415
1975,0.24193862080574036,0.3153040409088135,0.09390760213136673
in,0.30808621644973755,0.5394441485404968,0.22210948169231415
order,0.16634008288383484,0.19403748214244843,0.1339612752199173
to,0.455847829580307,0.42745086550712585,0.27629080414772034
connect,0.21411117911338806,0.2621147632598877,0.23984424769878387
two,0.23363454639911652,0.2315155267715454,0.20149603486061096
pdp-11,0.2063635289669037,0.1993960440158844,0.4619407653808594
minicomputers,0.2986973822116852,0.23908858001232147,0.47419485449790955
.,0.3567904531955719,0.4569662809371948,0.34408679604530334
