,approximately,how,many,gems,in,reverend,chauncy,hare,townshend,'s,collection,was,given,to,the,museum,?
major,0.16224710643291473,0.12500809133052826,0.2907782793045044,0.0838463306427002,0.3249945342540741,0.16220472753047943,0.19647854566574097,0.19822892546653748,0.2445679008960724,-0.010959804058074951,0.18903550505638123,0.20676274597644806,0.14245600998401642,0.19240309298038483,0.31775903701782227,0.13597285747528076,0.19788557291030884
bequests,0.20289823412895203,0.26695773005485535,0.28038686513900757,0.34158414602279663,0.2505158483982086,0.26149997115135193,0.2564011812210083,0.15251591801643372,0.21720924973487854,0.027386799454689026,0.30357474088668823,0.2255469411611557,0.2596604824066162,0.34530237317085266,0.3262823522090912,0.27957281470298767,0.254306435585022
include,0.17801807820796967,0.1816270500421524,0.4642373323440552,0.20181450247764587,0.28694382309913635,0.12152399867773056,0.16127963364124298,0.15493090450763702,0.16255369782447815,-0.07849370688199997,0.30674809217453003,0.10680413991212845,0.23268923163414001,0.1820748895406723,0.2951717972755432,0.13027560710906982,0.14925788342952728
reverend,0.10553425550460815,0.1791166067123413,0.1560116857290268,0.18691886961460114,0.2380610704421997,1.0,0.40232595801353455,0.196029394865036,0.491888165473938,0.024746235460042953,0.15349911153316498,0.2913411855697632,0.18704982101917267,0.22424015402793884,0.21770034730434418,0.11381205171346664,0.14386914670467377
chauncy,0.13791027665138245,0.20444355905056,0.15192988514900208,0.1945929229259491,0.2678554952144623,0.40232595801353455,0.9999999403953552,0.23004630208015442,0.41784393787384033,-0.004969189874827862,0.16040073335170746,0.2884393334388733,0.19976094365119934,0.21688321232795715,0.2970399260520935,0.13586077094078064,0.29293984174728394
hare,0.1538192480802536,0.11922307312488556,0.11708313971757889,0.04151129350066185,0.1784706711769104,0.196029394865036,0.23004630208015442,1.0,0.17908060550689697,0.10197870433330536,0.14561942219734192,0.16433210670948029,0.04661388695240021,0.21566303074359894,0.22638079524040222,0.20855821669101715,0.13609841465950012
townshend,0.09385886788368225,0.17713484168052673,0.1688797026872635,0.16817620396614075,0.24689491093158722,0.491888165473938,0.41784393787384033,0.17908060550689697,1.0,0.06038576737046242,0.1549564152956009,0.3292138874530792,0.14210805296897888,0.24616986513137817,0.20970672369003296,0.11013170331716537,0.19476696848869324
's,0.017990030348300934,-0.026164190843701363,0.01698932610452175,0.07074031978845596,-0.037580832839012146,0.024746235460042953,-0.004969189874827862,0.10197870433330536,0.06038576737046242,0.9999999403953552,0.003388406243175268,0.008974763564765453,-0.024429189041256905,0.03782717138528824,-0.01540423184633255,-0.011753248050808907,-0.023395681753754616
collection,0.15115109086036682,0.11592676490545273,0.24966391921043396,0.2563253939151764,0.23004686832427979,0.15349911153316498,0.16040073335170746,0.14561942219734192,0.1549564152956009,0.003388406243175268,0.9999998807907104,0.1743653565645218,0.1906823068857193,0.15417452156543732,0.25281965732574463,0.4441815912723541,0.20069393515586853
of,0.34526896476745605,0.2480744868516922,0.37253960967063904,0.20048688352108002,0.5696388483047485,0.23484614491462708,0.2758171260356903,0.18918932974338531,0.20114754140377045,-0.03817026689648628,0.2915455996990204,0.4069072902202606,0.39388060569763184,0.41548454761505127,0.733189046382904,0.23314370214939117,0.1826142966747284
