,what,century,did,the,name,of,the,rhine,come,from,?
the,0.42745697498321533,0.3617299497127533,0.34736719727516174,1.0,0.3171212375164032,0.733189046382904,1.0,0.30735138058662415,0.36020293831825256,0.40150508284568787,0.22068053483963013
variant,0.10867448151111603,0.15894290804862976,0.1219402402639389,0.13544104993343353,0.27942749857902527,0.1417171210050583,0.13544104993343353,0.1248033195734024,0.0755665972828865,0.11936815083026886,0.17448770999908447
forms,0.16334041953086853,0.20957930386066437,0.15465429425239563,0.2950737178325653,0.20479921996593475,0.33835989236831665,0.2950737178325653,0.20136399567127228,0.19797268509864807,0.27224797010421753,0.1196754202246666
of,0.33290785551071167,0.2826060354709625,0.2513895630836487,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2548927664756775,0.3194141983985901,0.4249346852302551,0.1826142966747284
the,0.42745697498321533,0.3617299497127533,0.34736719727516174,1.0,0.3171212375164032,0.733189046382904,1.0,0.30735138058662415,0.36020293831825256,0.40150508284568787,0.22068053483963013
name,0.18623162806034088,0.17616520822048187,0.17557460069656372,0.3171212375164032,1.0,0.24075818061828613,0.3171212375164032,0.12217257916927338,0.18453148007392883,0.2635002136230469,0.15381577610969543
of,0.33290785551071167,0.2826060354709625,0.2513895630836487,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2548927664756775,0.3194141983985901,0.4249346852302551,0.1826142966747284
the,0.42745697498321533,0.3617299497127533,0.34736719727516174,1.0,0.3171212375164032,0.733189046382904,1.0,0.30735138058662415,0.36020293831825256,0.40150508284568787,0.22068053483963013
rhine,0.16475653648376465,0.21836237609386444,0.15695837140083313,0.30735138058662415,0.12217257916927338,0.2548927664756775,0.30735138058662415,1.0,0.1311338096857071,0.2181936800479889,0.13754533231258392
in,0.30808621644973755,0.3174034655094147,0.2593238651752472,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.26272067427635193,0.4274188280105591,0.20430970191955566
modern,0.2655639946460724,0.3493697941303253,0.21376098692417145,0.3283970355987549,0.17239713668823242,0.3482828736305237,0.3283970355987549,0.15564224123954773,0.18496017158031464,0.20089907944202423,0.12475407868623734
languages,0.21771854162216187,0.17350667715072632,0.16555729508399963,0.25516149401664734,0.21055392920970917,0.2423715889453888,0.25516149401664734,0.12720701098442078,0.23972243070602417,0.16041406989097595,0.22599908709526062
are,0.29724663496017456,0.217155322432518,0.2159031480550766,0.40399202704429626,0.17349179089069366,0.39081433415412903,0.40399202704429626,0.13834848999977112,0.4015005826950073,0.2674213647842407,0.24591213464736938
all,0.41981086134910583,0.19341745972633362,0.33943864703178406,0.4860881567001343,0.18820150196552277,0.42798417806625366,0.4860881567001343,0.12028631567955017,0.42916786670684814,0.2866387963294983,0.29575422406196594
derived,0.20143714547157288,0.2140265554189682,0.13302093744277954,0.26961472630500793,0.3756186068058014,0.28474852442741394,0.26961472630500793,0.07277248054742813,0.24359220266342163,0.315938800573349,0.1241099163889885
from,0.2737620174884796,0.24901773035526276,0.20248863101005554,0.40150508284568787,0.2635002136230469,0.4249346852302551,0.40150508284568787,0.2181936800479889,0.32651904225349426,1.0,0.19969791173934937
the,0.42745697498321533,0.3617299497127533,0.34736719727516174,1.0,0.3171212375164032,0.733189046382904,1.0,0.30735138058662415,0.36020293831825256,0.40150508284568787,0.22068053483963013
gaulish,0.21051912009716034,0.2937745153903961,0.2136932760477066,0.30116724967956543,0.2910001873970032,0.2242293655872345,0.30116724967956543,0.35650089383125305,0.2275165319442749,0.26638707518577576,0.1297006756067276
name,0.18623162806034088,0.17616520822048187,0.17557460069656372,0.3171212375164032,1.0,0.24075818061828613,0.3171212375164032,0.12217257916927338,0.18453148007392883,0.2635002136230469,0.15381577610969543
rēnos,0.13426518440246582,0.10377933830022812,0.12328503280878067,0.20501428842544556,0.0919686108827591,0.17873109877109528,0.20501428842544556,0.08432193100452423,0.19172099232673645,0.1065758690237999,0.19775570929050446
",",0.3087472915649414,0.24487493932247162,0.3015086054801941,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.167837992310524,0.350309282541275,0.39760664105415344,0.31091248989105225
which,0.5261979103088379,0.23552611470222473,0.2750149369239807,0.6521818041801453,0.2972666025161743,0.5011631846427917,0.6521818041801453,0.18744276463985443,0.3183249235153198,0.38755592703819275,0.25814583897590637
was,0.22111038863658905,0.3521432876586914,0.41399896144866943,0.48711544275283813,0.2646567225456238,0.4069072902202606,0.48711544275283813,0.18681856989860535,0.1758924275636673,0.31171464920043945,0.18412111699581146
adapted,0.16136768460273743,0.15798798203468323,0.21054480969905853,0.2189546525478363,0.16935484111309052,0.14981709420681,0.2189546525478363,0.05644669756293297,0.17540355026721954,0.18872006237506866,0.13878031075000763
in,0.30808621644973755,0.3174034655094147,0.2593238651752472,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.26272067427635193,0.4274188280105591,0.20430970191955566
roman-era,0.17499221861362457,0.2849327623844147,0.11827094107866287,0.26507288217544556,0.23102514445781708,0.28530773520469666,0.26507288217544556,0.2988612949848175,0.14432872831821442,0.18491417169570923,0.22112348675727844
geography,0.28860387206077576,0.24224664270877838,0.13281132280826569,0.20259734988212585,0.15324825048446655,0.29454779624938965,0.20259734988212585,0.1564008593559265,0.1713511347770691,0.23638764023780823,0.17832398414611816
