,where,do,cicadas,spend,the,majority,of,their,lives,?
these,0.380450963973999,0.4402875602245331,0.40712636709213257,0.22861744463443756,0.49086877703666687,0.3234685957431793,0.42684608697891235,0.555290937423706,0.16290105879306793,0.2571668326854706
insects,0.11119940876960754,0.2829740047454834,0.5682020783424377,0.2682931423187256,0.23963448405265808,0.11164482682943344,0.22031989693641663,0.3004416227340698,0.19230929017066956,0.1639890819787979
spend,0.271337628364563,0.34265458583831787,0.2572363018989563,1.0,0.21215185523033142,0.20607981085777283,0.2479970008134842,0.3046952486038208,0.39282020926475525,0.2106763869524002
most,0.3678402900695801,0.31522849202156067,0.3659052848815918,0.28068846464157104,0.47635307908058167,0.3424006998538971,0.4178851246833801,0.3699820935726166,0.2808770537376404,0.2107497900724411
of,0.38066378235816956,0.26150479912757874,0.2685873508453369,0.2479970008134842,0.733189046382904,0.29706597328186035,1.0,0.4329940676689148,0.28370368480682373,0.1826142966747284
their,0.3356108069419861,0.35424983501434326,0.3341064453125,0.3046952486038208,0.516537070274353,0.2573463022708893,0.4329940676689148,1.0,0.2536628246307373,0.1898253709077835
lives,0.27085697650909424,0.15221576392650604,0.29347702860832214,0.39282020926475525,0.24881523847579956,0.26629185676574707,0.28370368480682373,0.2536628246307373,0.9999998807907104,0.15810374915599823
as,0.35409465432167053,0.38329678773880005,0.27252861857414246,0.20889048278331757,0.48381632566452026,0.27021417021751404,0.3886612355709076,0.29218852519989014,0.17050504684448242,0.27043893933296204
grubs,0.25610825419425964,0.28159233927726746,0.4996148347854614,0.28061750531196594,0.3134024739265442,0.18582266569137573,0.25444796681404114,0.40579017996788025,0.3183225989341736,0.2022659331560135
underground,0.3536617159843445,0.17517931759357452,0.2183961272239685,0.16053546965122223,0.24716822803020477,0.08855224400758743,0.22807668149471283,0.211102694272995,0.22922997176647186,0.1097135841846466
.,0.41390106081962585,0.3613996207714081,0.2948777675628662,0.26459771394729614,0.5934505462646484,0.30306822061538696,0.5352458953857422,0.34427863359451294,0.2944296896457672,0.4130953550338745
