,how,many,societal,class,divisions,were,in,the,plan,kublai,rejected,?
however,0.45072782039642334,0.5381983518600464,0.3079424500465393,0.2279498428106308,0.23451827466487885,0.4428504705429077,0.3982149362564087,0.49814513325691223,0.27430737018585205,0.353428453207016,0.422591894865036,0.2152075469493866
",",0.22659391164779663,0.40610817074775696,0.19046662747859955,0.1753857135772705,0.27065619826316833,0.36755475401878357,0.5201468467712402,0.4933079481124878,0.21265573799610138,0.2569756805896759,0.2369922697544098,0.31091248989105225
kublai,0.20475788414478302,0.21436981856822968,0.16936832666397095,0.07505430281162262,0.22372892498970032,0.24264763295650482,0.2070179283618927,0.32886171340942383,0.21684861183166504,0.9999999403953552,0.20761226117610931,0.14562560617923737
rejected,0.19414262473583221,0.22540850937366486,0.23655548691749573,0.11026858538389206,0.15261544287204742,0.22935433685779572,0.2188936322927475,0.2610994279384613,0.27182888984680176,0.20761226117610931,1.0000001192092896,0.20434792339801788
plans,0.28180965781211853,0.2358754724264145,0.2012999951839447,0.15607582032680511,0.17674337327480316,0.22639396786689758,0.24845264852046967,0.30240729451179504,0.6771599650382996,0.2744993269443512,0.3085179924964905,0.13513131439685822
to,0.44169697165489197,0.40243685245513916,0.21803903579711914,0.18696844577789307,0.20452556014060974,0.31913647055625916,0.45010748505592346,0.535392165184021,0.36421895027160645,0.2918815314769745,0.24757765233516693,0.29463258385658264
revive,0.21281839907169342,0.19318965077400208,0.2545917332172394,0.08168380707502365,0.06892934441566467,0.1389356106519699,0.22375519573688507,0.2896398603916168,0.23481158912181854,0.26549720764160156,0.3022328019142151,0.1371011734008789
the,0.33890387415885925,0.4335206151008606,0.29459434747695923,0.18034407496452332,0.3125615119934082,0.3906462490558624,0.6662389636039734,1.0,0.2852855324745178,0.32886171340942383,0.2610994279384613,0.22068053483963013
confucian,0.23723699152469635,0.23911814391613007,0.37022367119789124,0.20129570364952087,0.12895287573337555,0.17619988322257996,0.16217857599258423,0.2207656353712082,0.14812776446342468,0.40083783864974976,0.19658313691616058,0.19014938175678253
imperial,0.1132679134607315,0.15817832946777344,0.16264599561691284,0.19242826104164124,0.18986178934574127,0.23541970551013947,0.2295355498790741,0.3074202835559845,0.15277494490146637,0.33757176995277405,0.10952393710613251,0.10900196433067322
examinations,0.277308851480484,0.3005061447620392,0.343478262424469,0.17344167828559875,0.14786311984062195,0.22606141865253448,0.2401610016822815,0.2661936581134796,0.1735229194164276,0.13441208004951477,0.2553083896636963,0.18493600189685822
and,0.33647966384887695,0.5296266674995422,0.2794136703014374,0.20710228383541107,0.27955541014671326,0.42175528407096863,0.4954058527946472,0.5171257257461548,0.26844465732574463,0.25078991055488586,0.2457340955734253,0.20544172823429108
divided,0.1862497329711914,0.21604293584823608,0.21895846724510193,0.10652127861976624,0.45567911863327026,0.23896059393882751,0.29514673352241516,0.34601110219955444,0.1289847046136856,0.15694783627986908,0.18038320541381836,0.10190024226903915
yuan,0.19823622703552246,0.164876326918602,0.16152234375476837,0.07855384051799774,0.14160922169685364,0.19657303392887115,0.14850552380084991,0.2548272907733917,0.18941140174865723,0.5195493102073669,0.12830066680908203,0.12871281802654266
society,0.2293161153793335,0.2873149514198303,0.7509595155715942,0.2231724113225937,0.1838514506816864,0.19307035207748413,0.21229879558086395,0.2789285480976105,0.17533399164676666,0.14447467029094696,0.2058667540550232,0.1373005360364914
into,0.2303972691297531,0.2618265151977539,0.1846892535686493,0.16530726850032806,0.29413294792175293,0.2657007873058319,0.38021373748779297,0.39493247866630554,0.19205522537231445,0.17955262959003448,0.236714705824852,0.15662476420402527
three,0.23807744681835175,0.4501400589942932,0.10191371291875839,0.08586940914392471,0.27984100580215454,0.38429051637649536,0.34828072786331177,0.43452659249305725,0.20880171656608582,0.17905406653881073,0.13365718722343445,0.20928427577018738
",",0.22659391164779663,0.40610817074775696,0.19046662747859955,0.1753857135772705,0.27065619826316833,0.36755475401878357,0.5201468467712402,0.4933079481124878,0.21265573799610138,0.2569756805896759,0.2369922697544098,0.31091248989105225
