,what,was,the,name,of,the,first,episode,of,the,new,doctor,who,series,?
doctor,0.20870667695999146,0.19672659039497375,0.2820442318916321,0.19494794309139252,0.16895952820777893,0.2820442318916321,0.27244147658348083,0.2940889000892639,0.16895952820777893,0.2820442318916321,0.12563565373420715,0.9999999403953552,0.3504868149757385,0.2712797522544861,0.1462511420249939
who,0.40942975878715515,0.3318818509578705,0.3733934462070465,0.2027527540922165,0.2827862501144409,0.3733934462070465,0.39065709710121155,0.2015407234430313,0.2827862501144409,0.3733934462070465,0.2378052920103073,0.3504868149757385,0.9999998807907104,0.21484537422657013,0.26220351457595825
finally,0.33623361587524414,0.3442646861076355,0.4516841769218445,0.20896556973457336,0.2709518074989319,0.4516841769218445,0.3844048082828522,0.25077155232429504,0.2709518074989319,0.4516841769218445,0.23792320489883423,0.18675042688846588,0.2843495011329651,0.21276192367076874,0.16868984699249268
returned,0.15085899829864502,0.4257400631904602,0.32857778668403625,0.192525714635849,0.28002414107322693,0.32857778668403625,0.3118405342102051,0.20050649344921112,0.28002414107322693,0.32857778668403625,0.20572280883789062,0.2451178878545761,0.23187772929668427,0.2319052815437317,0.07695316523313522
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.17897967994213104,0.41827285289764404,0.4223487675189972,0.2691199779510498,0.2304430603981018,0.41827285289764404,0.4223487675189972,0.24325589835643768,0.17277967929840088,0.3282766342163086,0.17767351865768433,0.2433311939239502
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.49448907375335693,0.25342556834220886,0.733189046382904,1.0,0.3845241069793701,0.2820442318916321,0.3733934462070465,0.31376904249191284,0.22068053483963013
episode,0.1919318586587906,0.1706574261188507,0.25342556834220886,0.10691756755113602,0.17369085550308228,0.25342556834220886,0.24243572354316711,1.0,0.17369085550308228,0.25342556834220886,0.1309434175491333,0.2940889000892639,0.2015407234430313,0.4687832295894623,0.23978739976882935
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.1001104861497879,0.06780257821083069,0.029072100296616554,0.006519378628581762,-0.035673100501298904,0.06780257821083069,0.029072100296616554,-0.03575563058257103,0.03718610852956772,0.02397952415049076,-0.08478077501058578,0.0685480609536171
rose,0.13161541521549225,0.2609468102455139,0.28326278924942017,0.09051623940467834,0.2557028830051422,0.28326278924942017,0.19151684641838074,0.1867460161447525,0.2557028830051422,0.28326278924942017,0.0922124832868576,0.13310596346855164,0.1951330006122589,0.14758454263210297,0.11847885698080063
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,0.003883055876940489,0.13035868108272552,0.041273195296525955,-0.03874251991510391,-0.014759616926312447,0.13035868108272552,0.041273195296525955,-0.021915066987276077,0.06782495975494385,0.024401003494858742,-0.014226003549993038,0.018684765323996544
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.17627742886543274,0.3966929316520691,0.5107308030128479,0.3120559751987457,0.28993746638298035,0.3966929316520691,0.5107308030128479,0.31106263399124146,0.1636410653591156,0.2340552806854248,0.23828625679016113,0.2714994251728058
bbc,0.20634698867797852,0.19087861478328705,0.2735401690006256,0.10844849795103073,0.1797877550125122,0.2735401690006256,0.25469130277633667,0.3176216185092926,0.1797877550125122,0.2735401690006256,0.17134205996990204,0.32370132207870483,0.2086644321680069,0.31758952140808105,0.20556949079036713
one,0.376489520072937,0.3752199709415436,0.5514441132545471,0.27018114924430847,0.4999135136604309,0.5514441132545471,0.4552372097969055,0.20317377150058746,0.4999135136604309,0.5514441132545471,0.264311820268631,0.17397142946720123,0.40083858370780945,0.21504130959510803,0.2673267424106598
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.17627742886543274,0.3966929316520691,0.5107308030128479,0.3120559751987457,0.28993746638298035,0.3966929316520691,0.5107308030128479,0.31106263399124146,0.1636410653591156,0.2340552806854248,0.23828625679016113,0.2714994251728058
26,0.052160754799842834,0.15403041243553162,0.11227777600288391,0.03898191452026367,0.0640103667974472,0.11227777600288391,0.13524679839611053,0.15377525985240936,0.0640103667974472,0.11227777600288391,0.18613168597221375,0.16166801750659943,0.17144237458705902,0.12810680270195007,-0.05200668424367905
march,0.20529508590698242,0.4297752380371094,0.2680487632751465,0.1554587185382843,0.20692677795886993,0.2680487632751465,0.2722550928592682,0.16566585004329681,0.20692677795886993,0.2680487632751465,0.28389039635658264,0.1926569938659668,0.22332389652729034,0.16403068602085114,0.2802562415599823
2005,0.0704459398984909,0.11356307566165924,0.037273142486810684,0.0863918587565422,0.017815761268138885,0.037273142486810684,0.12547817826271057,0.04103194922208786,0.017815761268138885,0.037273142486810684,0.06185975298285484,0.07635467499494553,0.18423187732696533,0.04714697599411011,0.10709824413061142
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.4345304071903229,0.23102888464927673,0.5352458953857422,0.5934505462646484,0.35031336545944214,0.22361043095588684,0.3541337847709656,0.3121925890445709,0.4130953550338745
