,why,did,tesla,avoid,by,fleeing,smiljan,?
in,0.23227278888225555,0.2593238651752472,0.17097744345664978,0.2092532515525818,0.370934396982193,0.3214602768421173,0.25222301483154297,0.20430970191955566
1874,0.06553332507610321,0.1448199450969696,0.18908177316188812,0.07056868821382523,0.18121860921382904,0.23175136744976044,0.2567615807056427,0.15952123701572418
",",0.2827242314815521,0.3015086054801941,0.20599327981472015,0.22226782143115997,0.3680937886238098,0.2255520522594452,0.31796109676361084,0.31091248989105225
tesla,0.1375875622034073,0.09757418930530548,0.9999999403953552,0.04321841895580292,0.16513796150684357,0.05706067383289337,0.3143247961997986,0.10250775516033173
evaded,0.2977917194366455,0.2994097173213959,0.11831095069646835,0.37232670187950134,0.29198378324508667,0.39086776971817017,0.22289450466632843,0.29822131991386414
being,0.3835456669330597,0.27905046939849854,0.13586261868476868,0.31077301502227783,0.4690866470336914,0.4198358356952667,0.2528145909309387,0.26743772625923157
drafted,0.14029039442539215,0.27433860301971436,0.10320170223712921,0.19145891070365906,0.21568407118320465,0.21978077292442322,0.20018364489078522,0.14424492418766022
into,0.2580989897251129,0.14888085424900055,0.13143925368785858,0.24638225138187408,0.30473223328590393,0.3134756088256836,0.07865127921104431,0.15662476420402527
the,0.30742117762565613,0.34736719727516174,0.1324402391910553,0.24833035469055176,0.4408751428127289,0.3496497869491577,0.22545762360095978,0.22068053483963013
austro-hungarian,0.10354183614253998,0.18044304847717285,0.30650296807289124,0.08759793639183044,0.17287881672382355,0.163124680519104,0.3648514449596405,0.16446684300899506
army,0.15773792564868927,0.21148359775543213,0.12703821063041687,0.1596582978963852,0.2323688417673111,0.43916115164756775,0.1398782581090927,0.180583193898201
in,0.23227278888225555,0.2593238651752472,0.17097744345664978,0.2092532515525818,0.370934396982193,0.3214602768421173,0.25222301483154297,0.20430970191955566
smiljan,0.22927920520305634,0.17979542911052704,0.3143247961997986,0.17094098031520844,0.17231875658035278,0.11859723925590515,0.9999999403953552,0.2793274521827698
by,0.19170543551445007,0.18574509024620056,0.16513796150684357,0.2726847231388092,1.0000001192092896,0.26677459478378296,0.17231875658035278,0.17966607213020325
running,0.25982725620269775,0.23744943737983704,0.13063423335552216,0.21560944616794586,0.14859868586063385,0.2899884581565857,0.1956152319908142,0.15679655969142914
away,0.296353280544281,0.2167721837759018,0.09422557801008224,0.29355332255363464,0.24071350693702698,0.40117210149765015,0.12652364373207092,0.15156377851963043
to,0.4100138247013092,0.4452643394470215,0.17548894882202148,0.33193957805633545,0.33534231781959534,0.3126356899738312,0.20419716835021973,0.29463258385658264
tomingaj,0.2065417617559433,0.17888304591178894,0.2568499743938446,0.04584076255559921,0.1625627875328064,0.2504306137561798,0.34467583894729614,0.21797217428684235
",",0.2827242314815521,0.3015086054801941,0.20599327981472015,0.22226782143115997,0.3680937886238098,0.2255520522594452,0.31796109676361084,0.31091248989105225
near,0.14399227499961853,0.08748484402894974,0.08963809162378311,0.10564052313566208,0.10611382126808167,0.25079146027565,0.11601641774177551,0.10734958201646805
gračac,0.14099693298339844,0.1253034919500351,0.24164746701717377,0.12130768597126007,0.19855932891368866,0.05395679548382759,0.2162131369113922,0.16939541697502136
.,0.32909876108169556,0.35288307070732117,0.17949827015399933,0.19342699646949768,0.3936232924461365,0.21415789425373077,0.3393680453300476,0.4130953550338745
