,what,festival,takes,place,in,april,in,newcastle,?
the,0.42745697498321533,0.20982226729393005,0.33578023314476013,0.4179787337779999,0.6662389636039734,0.23232673108577728,0.6662389636039734,0.2253497689962387,0.22068053483963013
newcastle,0.16276082396507263,0.14734795689582825,0.14696292579174042,0.11422941833734512,0.19270820915699005,0.2161349356174469,0.19270820915699005,1.0000001192092896,0.0902252271771431
beer,0.15748022496700287,0.18067586421966553,0.1613137125968933,0.21575018763542175,0.26872095465660095,0.049066051840782166,0.26872095465660095,0.11955489218235016,0.15216413140296936
festival,0.15385980904102325,0.9999999403953552,0.23679088056087494,0.2607501149177551,0.27311140298843384,0.17751245200634003,0.27311140298843384,0.14734795689582825,0.17767390608787537
",",0.3087472915649414,0.25094273686408997,0.2755669057369232,0.34068408608436584,0.5201468467712402,0.4403347671031952,0.5201468467712402,0.251589834690094,0.31091248989105225
organized,0.19144229590892792,0.2312910407781601,0.1309412568807602,0.19741307199001312,0.3264932334423065,0.20816121995449066,0.3264932334423065,0.08879387378692627,0.10524328798055649
by,0.2455483376979828,0.14534176886081696,0.17897608876228333,0.22235022485256195,0.370934396982193,0.17821475863456726,0.370934396982193,0.1767825335264206,0.17966607213020325
camra,0.14118170738220215,0.3608356714248657,0.1999165564775467,0.2654837667942047,0.2975085973739624,0.2390846163034439,0.2975085973739624,0.2500852048397064,0.18269014358520508
",",0.3087472915649414,0.25094273686408997,0.2755669057369232,0.34068408608436584,0.5201468467712402,0.4403347671031952,0.5201468467712402,0.251589834690094,0.31091248989105225
takes,0.15264007449150085,0.23679088056087494,1.0,0.4506075382232666,0.2945663630962372,0.1348726600408554,0.2945663630962372,0.14696292579174042,0.10935472697019577
place,0.2689766585826874,0.2607501149177551,0.4506075382232666,1.0,0.38128477334976196,0.23547956347465515,0.38128477334976196,0.11422941833734512,0.2455766350030899
in,0.30808621644973755,0.27311140298843384,0.2945663630962372,0.38128477334976196,1.0,0.2882915735244751,1.0,0.19270820915699005,0.20430970191955566
april,0.21502700448036194,0.17751245200634003,0.1348726600408554,0.23547956347465515,0.2882915735244751,0.9999999403953552,0.2882915735244751,0.2161349356174469,0.25704094767570496
.,0.3567904531955719,0.16963402926921844,0.23161891102790833,0.2844318151473999,0.5591574311256409,0.32346561551094055,0.5591574311256409,0.2714749276638031,0.4130953550338745
