,in,2012,",",how,many,stadiums,were,named,as,finalists,for,hosting,super,bowl,50,before,the,final,stadium,was,chosen,?
the,0.6662389636039734,0.46885523200035095,0.4933079481124878,0.33890387415885925,0.4335206151008606,0.2981659770011902,0.3906462490558624,0.3521348536014557,0.48381632566452026,0.28001731634140015,0.4739971458911896,0.3117837607860565,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.45900648832321167,1.0,0.3543182611465454,0.21145665645599365,0.48711544275283813,0.32853078842163086,0.22068053483963013
league,0.22963495552539825,0.2448122352361679,0.20757631957530975,0.04579940438270569,0.15746146440505981,0.3553653061389923,0.2012902945280075,0.20343537628650665,0.1659073382616043,0.283221960067749,0.26433616876602173,0.22617076337337494,0.37144264578819275,0.3365440368652344,0.07430867850780487,0.20857034623622894,0.2724147439002991,0.22204528748989105,0.3161369860172272,0.21425791084766388,0.18454216420650482,0.15941482782363892
announced,0.2528248429298401,0.14009785652160645,0.23036719858646393,0.0913727879524231,0.10106436163187027,0.203947976231575,0.13495038449764252,0.1667323261499405,0.2025703489780426,0.20664839446544647,0.2801167368888855,0.31099191308021545,0.1638530194759369,0.11583950370550156,0.039410315454006195,0.3348584473133087,0.2277132272720337,0.2688862383365631,0.22802318632602692,0.34205326437950134,0.33259642124176025,0.17416009306907654
on,0.46853652596473694,0.24696305394172668,0.49057599902153015,0.32655060291290283,0.32520127296447754,0.20972560346126556,0.2774328887462616,0.19771578907966614,0.36047765612602234,0.12815363705158234,0.36199691891670227,0.2852354347705841,0.1569211632013321,0.1334993690252304,0.05590687692165375,0.3903424143791199,0.5107308030128479,0.20678670704364777,0.16608425974845886,0.3909217119216919,0.19324959814548492,0.2714994251728058
october,0.27560389041900635,0.224262073636055,0.4369233250617981,0.11188025027513504,0.13967232406139374,0.15436874330043793,0.1925499588251114,0.15900056064128876,0.25472286343574524,0.151730477809906,0.2840918302536011,0.25450563430786133,0.1553284078836441,0.15085746347904205,-0.07529807835817337,0.3154732882976532,0.2621108889579773,0.23381492495536804,0.16421927511692047,0.4627581834793091,0.13971903920173645,0.29706719517707825
16,0.03388594090938568,-0.01517281960695982,0.04709499701857567,0.028703972697257996,0.06954623758792877,-0.03992978483438492,0.05623408406972885,-0.055981848388910294,0.07334910333156586,0.073760986328125,-0.00719092832878232,0.06885626167058945,0.06872853636741638,-0.022439811378717422,0.020466603338718414,-0.008218317292630672,0.0058518932200968266,0.021077489480376244,-0.030937297269701958,-0.008355183526873589,0.12699276208877563,0.08446579426527023
",",0.5201468467712402,0.42079734802246094,1.0000001192092896,0.22659391164779663,0.40610817074775696,0.25088661909103394,0.36755475401878357,0.2530003488063812,0.48816442489624023,0.20704138278961182,0.4464869201183319,0.2848934829235077,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.3156566619873047,0.4933079481124878,0.24864837527275085,0.2056228220462799,0.45456063747406006,0.20892350375652313,0.31091248989105225
2012,0.3800647258758545,1.0,0.42079734802246094,0.1487904042005539,0.2656145393848419,0.23748722672462463,0.25845152139663696,0.35851526260375977,0.3424225151538849,0.20097310841083527,0.22560004889965057,0.13794487714767456,0.19708658754825592,0.1755882352590561,0.017723556607961655,0.2712738513946533,0.46885523200035095,0.20265403389930725,0.18786531686782837,0.2899843454360962,0.25016626715660095,0.18042556941509247
",",0.5201468467712402,0.42079734802246094,1.0000001192092896,0.22659391164779663,0.40610817074775696,0.25088661909103394,0.36755475401878357,0.2530003488063812,0.48816442489624023,0.20704138278961182,0.4464869201183319,0.2848934829235077,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.3156566619873047,0.4933079481124878,0.24864837527275085,0.2056228220462799,0.45456063747406006,0.20892350375652313,0.31091248989105225
that,0.435920387506485,0.32257330417633057,0.4137537479400635,0.557814359664917,0.5391656160354614,0.20951470732688904,0.35517072677612305,0.2836160957813263,0.4735107421875,0.21575792133808136,0.4137635827064514,0.2573053538799286,0.18258553743362427,0.10987387597560883,-0.014119508676230907,0.40745505690574646,0.5473989248275757,0.2579914331436157,0.12195040285587311,0.33670201897621155,0.2642596662044525,0.32716336846351624
