,what,parts,of,plants,have,chloroplasts,?
not,0.5449194312095642,0.27965039014816284,0.3307090103626251,0.2926214039325714,0.5619372129440308,0.3099190890789032,0.41942933201789856
all,0.41981086134910583,0.3043588101863861,0.42798417806625366,0.30408617854118347,0.5559456944465637,0.2712666690349579,0.29575422406196594
cells,0.1758001297712326,0.22622589766979218,0.21305565536022186,0.4262334406375885,0.294906347990036,0.6158713102340698,0.1898086667060852
in,0.30808621644973755,0.3282690644264221,0.5696388483047485,0.2697395086288452,0.36843645572662354,0.21141497790813446,0.20430970191955566
a,0.3320399522781372,0.2777566909790039,0.5052502155303955,0.21329157054424286,0.338716596364975,0.24622295796871185,0.23916715383529663
multicellular,0.25067660212516785,0.2638953924179077,0.29767265915870667,0.512891411781311,0.37611451745033264,0.6735846400260925,0.17817802727222443
plant,0.23371253907680511,0.22942261397838593,0.26645857095718384,0.8344468474388123,0.23837271332740784,0.5019698739051819,0.16613075137138367
contain,0.1832355558872223,0.2782597541809082,0.30574339628219604,0.3543321490287781,0.49726441502571106,0.3972540497779846,0.18853069841861725
chloroplasts,0.2524593770503998,0.26855015754699707,0.23179760575294495,0.5701043605804443,0.29091566801071167,0.9999999403953552,0.13049766421318054
.,0.3567904531955719,0.30755549669265747,0.5352458953857422,0.2542511522769928,0.41614407300949097,0.23868323862552643,0.4130953550338745
,what,parts,of,plants,have,chloroplasts,?
all,0.41981086134910583,0.3043588101863861,0.42798417806625366,0.30408617854118347,0.5559456944465637,0.2712666690349579,0.29575422406196594
green,0.16762696206569672,0.1481146663427353,0.2225196659564972,0.2864342927932739,0.21818293631076813,0.32718849182128906,0.11409882456064224
parts,0.3415631353855133,1.0,0.3379773199558258,0.301825612783432,0.2987560033798218,0.26855015754699707,0.12310896813869476
of,0.33290785551071167,0.3379773199558258,1.0,0.29386165738105774,0.3802283704280853,0.23179760575294495,0.1826142966747284
a,0.3320399522781372,0.2777566909790039,0.5052502155303955,0.21329157054424286,0.338716596364975,0.24622295796871185,0.23916715383529663
plant,0.23371253907680511,0.22942261397838593,0.26645857095718384,0.8344468474388123,0.23837271332740784,0.5019698739051819,0.16613075137138367
contain,0.1832355558872223,0.2782597541809082,0.30574339628219604,0.3543321490287781,0.49726441502571106,0.3972540497779846,0.18853069841861725
chloroplasts—the,0.2803087830543518,0.26316729187965393,0.25235217809677124,0.5539447069168091,0.29177960753440857,0.9862650036811829,0.16164137423038483
chloroplasts,0.2524593770503998,0.26855015754699707,0.23179760575294495,0.5701043605804443,0.29091566801071167,0.9999999403953552,0.13049766421318054
",",0.3087472915649414,0.2964099943637848,0.4946078956127167,0.2555769681930542,0.3541618287563324,0.20794041454792023,0.31091248989105225
or,0.33867141604423523,0.3174748122692108,0.3792596757411957,0.34268948435783386,0.46389055252075195,0.3088610768318176,0.32389625906944275
more,0.3484537899494171,0.27063220739364624,0.30478984117507935,0.24404355883598328,0.49033403396606445,0.244172602891922,0.27894994616508484
specifically,0.37581726908683777,0.22148330509662628,0.24232523143291473,0.23287031054496765,0.3541400134563446,0.20205175876617432,0.2063003033399582
",",0.3087472915649414,0.2964099943637848,0.4946078956127167,0.2555769681930542,0.3541618287563324,0.20794041454792023,0.31091248989105225
the,0.42745697498321533,0.4042440354824066,0.733189046382904,0.29499560594558716,0.40389683842658997,0.23062430322170258,0.22068053483963013
chlorophyll,0.23408083617687225,0.1889474093914032,0.19086609780788422,0.5920648574829102,0.24365252256393433,0.8413407206535339,0.1099696233868599
in,0.30808621644973755,0.3282690644264221,0.5696388483047485,0.2697395086288452,0.36843645572662354,0.21141497790813446,0.20430970191955566
them,0.4994642734527588,0.3093731105327606,0.34503093361854553,0.3598077893257141,0.5357621312141418,0.3422272205352783,0.35435691475868225
are,0.29724663496017456,0.3642873466014862,0.39081433415412903,0.35990846157073975,0.6577680706977844,0.3103833794593811,0.24591213464736938
what,0.9999998807907104,0.3415631353855133,0.33290785551071167,0.25144460797309875,0.39808809757232666,0.2524593770503998,0.5051238536834717
make,0.3792211413383484,0.3557170331478119,0.2912110388278961,0.2734523117542267,0.49406614899635315,0.24682173132896423,0.28314751386642456
the,0.42745697498321533,0.4042440354824066,0.733189046382904,0.29499560594558716,0.40389683842658997,0.23062430322170258,0.22068053483963013
photosynthetic,0.20943596959114075,0.24715805053710938,0.23934365808963776,0.5702237486839294,0.3331293761730194,0.7179837822914124,0.15254013240337372
parts,0.3415631353855133,1.0,0.3379773199558258,0.301825612783432,0.2987560033798218,0.26855015754699707,0.12310896813869476
of,0.33290785551071167,0.3379773199558258,1.0,0.29386165738105774,0.3802283704280853,0.23179760575294495,0.1826142966747284
a,0.3320399522781372,0.2777566909790039,0.5052502155303955,0.21329157054424286,0.338716596364975,0.24622295796871185,0.23916715383529663
plant,0.23371253907680511,0.22942261397838593,0.26645857095718384,0.8344468474388123,0.23837271332740784,0.5019698739051819,0.16613075137138367
green,0.16762696206569672,0.1481146663427353,0.2225196659564972,0.2864342927932739,0.21818293631076813,0.32718849182128906,0.11409882456064224
.,0.3567904531955719,0.30755549669265747,0.5352458953857422,0.2542511522769928,0.41614407300949097,0.23868323862552643,0.4130953550338745
