,what,put,a,hierarchical,structure,in,place,?
ranked,0.15636610984802246,0.2596397399902344,0.15578456223011017,0.24686670303344727,0.06285472214221954,0.2005387395620346,0.1680484265089035,0.12953443825244904
positions,0.19736577570438385,0.23790203034877777,0.2640075087547302,0.32996800541877747,0.3061355650424957,0.24184107780456543,0.2826690971851349,0.126787006855011
in,0.30808621644973755,0.26728662848472595,0.539380669593811,0.113643579185009,0.2992834448814392,1.0,0.38128477334976196,0.20430970191955566
the,0.42745697498321533,0.34150463342666626,0.5829201340675354,0.2614166736602783,0.2933249771595001,0.6662389636039734,0.4179787337779999,0.22068053483963013
pre-heian,0.29151207208633423,0.1944066882133484,0.29681921005249023,0.35260483622550964,0.21850226819515228,0.23708350956439972,0.20153667032718658,0.25919362902641296
imperial,0.09280271828174591,0.18323935568332672,0.1928369700908661,0.24380339682102203,0.1378091722726822,0.2295355498790741,0.1554451286792755,0.10900196433067322
court,0.23440583050251007,0.18900157511234283,0.23624834418296814,0.2659417986869812,0.18703658878803253,0.2793687880039215,0.17826174199581146,0.17100423574447632
were,0.22298263013362885,0.2619820535182953,0.17203083634376526,0.1554890275001526,0.14718832075595856,0.3815755248069763,0.24349497258663177,0.17890112102031708
established,0.14869536459445953,0.15379290282726288,0.23500119149684906,0.2500811219215393,0.22014905512332916,0.3118882477283478,0.19594085216522217,0.15917523205280304
;,0.10986888408660889,-0.039982378482818604,-0.02122584730386734,0.04020760580897331,0.10020090639591217,0.092739537358284,0.005942413583397865,0.10349778085947037
and,0.31309178471565247,0.3297767639160156,0.3739250600337982,0.2400970757007599,0.24419280886650085,0.4954058527946472,0.2813849449157715,0.20544172823429108
this,0.5489566326141357,0.38769811391830444,0.5422310829162598,0.2806614637374878,0.3268093764781952,0.45205554366111755,0.34875795245170593,0.3155723512172699
organizational,0.22883515059947968,0.17623913288116455,0.2809427082538605,0.44955143332481384,0.2943389415740967,0.27617982029914856,0.11797225475311279,0.21536388993263245
structure,0.27351704239845276,0.2140088975429535,0.33968499302864075,0.3664360046386719,1.0000001192092896,0.2992834448814392,0.22542063891887665,0.1770772784948349
remained,0.1733817607164383,0.19009223580360413,0.23739774525165558,0.16437841951847076,0.1873803585767746,0.30947351455688477,0.1527433842420578,0.08263323456048965
largely,0.25660550594329834,0.07164329290390015,0.2333068698644638,0.23748743534088135,0.27198219299316406,0.2371911108493805,0.1489463895559311,0.08185246586799622
intact,0.2567657232284546,0.24708855152130127,0.22700487077236176,0.21818287670612335,0.3466157615184784,0.28090763092041016,0.19443565607070923,0.1481182724237442
until,0.2693650424480438,0.2358977496623993,0.2314814180135727,0.05768818408250809,0.07324127852916718,0.38338494300842285,0.23052945733070374,0.20304496586322784
the,0.42745697498321533,0.34150463342666626,0.5829201340675354,0.2614166736602783,0.2933249771595001,0.6662389636039734,0.4179787337779999,0.22068053483963013
meiji,0.14136944711208344,0.14312835037708282,0.17425023019313812,0.24501918256282806,0.19843541085720062,0.19830845296382904,0.1152433454990387,0.09982863813638687
restoration,0.26403358578681946,0.15855838358402252,0.22679078578948975,0.20398254692554474,0.2847839295864105,0.2518605589866638,0.20118582248687744,0.16668665409088135
(,0.2411840260028839,0.17309410870075226,0.3206180930137634,0.18785886466503143,0.18451423943042755,0.3087427020072937,0.20666886866092682,0.40561532974243164
1868,0.12352533638477325,0.1224537044763565,0.05436944589018822,-0.028612704947590828,0.05252705514431,0.06574275344610214,0.07888418436050415,0.07398324459791183
),0.26259949803352356,0.19101889431476593,0.3640355169773102,0.17464527487754822,0.20600534975528717,0.3326910734176636,0.2269994467496872,0.42300865054130554
.,0.3567904531955719,0.32595527172088623,0.50484299659729,0.19558298587799072,0.26570191979408264,0.5591574311256409,0.2844318151473999,0.4130953550338745
,what,put,a,hierarchical,structure,in,place,?
the,0.42745697498321533,0.34150463342666626,0.5829201340675354,0.2614166736602783,0.2933249771595001,0.6662389636039734,0.4179787337779999,0.22068053483963013
place,0.2689766585826874,0.35018742084503174,0.3079278767108917,0.14861084520816803,0.22542063891887665,0.38128477334976196,1.0,0.2455766350030899
of,0.33290785551071167,0.3247257471084595,0.5052502155303955,0.29335686564445496,0.2599511742591858,0.5696388483047485,0.2685627043247223,0.1826142966747284
pharmacists,0.28274545073509216,0.198593407869339,0.25803542137145996,0.16827507317066193,0.15137693285942078,0.22358480095863342,0.16580279171466827,0.1797308325767517
in,0.30808621644973755,0.26728662848472595,0.539380669593811,0.113643579185009,0.2992834448814392,1.0,0.38128477334976196,0.20430970191955566
society,0.23231269419193268,0.13682611286640167,0.22652459144592285,0.40227898955345154,0.22291859984397888,0.21229879558086395,0.16399464011192322,0.1373005360364914
was,0.22111038863658905,0.24684612452983856,0.4508470594882965,0.13136975467205048,0.1626352071762085,0.45514053106307983,0.26867109537124634,0.18412111699581146
