,why,were,the,initial,suggestions,for,a,devolved,parliament,before,1914,shelved,?
suggestions,0.46604105830192566,0.2129848748445511,0.2530054748058319,0.3490903377532959,1.0000001192092896,0.34006235003471375,0.283952921628952,0.29708677530288696,0.26170605421066284,0.28387972712516785,0.17340387403964996,0.21898400783538818,0.48461249470710754
for,0.3869043290615082,0.33592689037323,0.4739971458911896,0.2634814977645874,0.34006235003471375,0.9999999403953552,0.44038116931915283,0.25791940093040466,0.23382046818733215,0.44347289204597473,0.06865810602903366,0.22296373546123505,0.264628142118454
a,0.2667238116264343,0.17203083634376526,0.5829201340675354,0.2933337092399597,0.283952921628952,0.44038116931915283,1.0,0.325216144323349,0.22951169312000275,0.3583870828151703,0.07047152519226074,0.25304558873176575,0.23916715383529663
'devolved,0.1864292174577713,0.2766922414302826,0.3990684747695923,0.23932614922523499,0.29066377878189087,0.25603532791137695,0.3348383903503418,0.9637134671211243,0.4398591220378876,0.26389116048812866,0.2152075618505478,0.4204479157924652,0.15452805161476135
',0.27400460839271545,0.17108602821826935,0.474788099527359,0.23882129788398743,0.2890941798686981,0.31184524297714233,0.48837921023368835,0.20633472502231598,0.1350385993719101,0.263042688369751,0.11540181934833527,0.1939721554517746,0.330942302942276
parliament,0.1733766794204712,0.13656416535377502,0.26521381735801697,0.09432793408632278,0.26170605421066284,0.23382046818733215,0.22951169312000275,0.4902958273887634,1.0,0.2055315226316452,0.09278826415538788,0.17815449833869934,0.1586504578590393
were,0.2287064492702484,1.0000001192092896,0.3906462490558624,0.15666094422340393,0.2129848748445511,0.33592689037323,0.17203083634376526,0.25954470038414,0.13656416535377502,0.3127685785293579,0.062341246753931046,0.4067149758338928,0.17890112102031708
made,0.259998619556427,0.32412371039390564,0.3885267674922943,0.17542831599712372,0.22838281095027924,0.3147922456264496,0.3180864453315735,0.20791815221309662,0.16099905967712402,0.26538217067718506,0.12153099477291107,0.2841970920562744,0.17218779027462006
before,0.32499244809150696,0.3127685785293579,0.45900648832321167,0.3584339916706085,0.28387972712516785,0.44347289204597473,0.3583870828151703,0.26419535279273987,0.2055315226316452,1.0,0.08430404216051102,0.2975616455078125,0.2507109045982361
1914,0.15298958122730255,0.062341246753931046,0.04474614933133125,0.12080918997526169,0.17340387403964996,0.06865810602903366,0.07047152519226074,0.1968865692615509,0.09278826415538788,0.08430404216051102,1.0000001192092896,0.1894485056400299,0.14893388748168945
",",0.2827242314815521,0.36755475401878357,0.4933079481124878,0.1954146921634674,0.3613218367099762,0.4464869201183319,0.427140474319458,0.28898313641548157,0.25442883372306824,0.3156566619873047,0.1163671687245369,0.30761075019836426,0.31091248989105225
but,0.49691087007522583,0.38291117548942566,0.4859698414802551,0.30121558904647827,0.43870338797569275,0.45162561535835266,0.44750767946243286,0.33251217007637024,0.21308359503746033,0.413316935300827,0.13810625672340393,0.34084057807922363,0.27921953797340393
were,0.2287064492702484,1.0000001192092896,0.3906462490558624,0.15666094422340393,0.2129848748445511,0.33592689037323,0.17203083634376526,0.25954470038414,0.13656416535377502,0.3127685785293579,0.062341246753931046,0.4067149758338928,0.17890112102031708
shelved,0.22333745658397675,0.4067149758338928,0.41106516122817993,0.22595784068107605,0.21898400783538818,0.22296373546123505,0.25304558873176575,0.3687039017677307,0.17815449833869934,0.2975616455078125,0.1894485056400299,1.0,0.18996946513652802
due,0.24495384097099304,0.17703603208065033,0.22577603161334991,0.302952378988266,0.19491605460643768,0.2363993525505066,0.2190696746110916,0.1564478576183319,0.13605225086212158,0.2627594769001007,0.12142901122570038,0.2317855954170227,0.10954997688531876
to,0.4100138247013092,0.31913647055625916,0.535392165184021,0.2564111649990082,0.3876170814037323,0.4451248347759247,0.45503583550453186,0.2682676613330841,0.20290622115135193,0.4190867841243744,0.07202267646789551,0.282026082277298,0.29463258385658264
the,0.30742117762565613,0.3906462490558624,1.0,0.29837024211883545,0.2530054748058319,0.4739971458911896,0.5829201340675354,0.39628729224205017,0.26521381735801697,0.45900648832321167,0.04474614933133125,0.41106516122817993,0.22068053483963013
outbreak,0.19297784566879272,0.23478053510189056,0.28401845693588257,0.21268410980701447,0.16580919921398163,0.19200079143047333,0.23416811227798462,0.1387893408536911,0.19354884326457977,0.23840317130088806,0.08146299421787262,0.16158819198608398,0.1898726373910904
of,0.28464117646217346,0.34038281440734863,0.733189046382904,0.25980207324028015,0.2157791256904602,0.4185989499092102,0.5052502155303955,0.40449368953704834,0.2885259687900543,0.3282964527606964,0.08154571056365967,0.279456228017807,0.1826142966747284
the,0.30742117762565613,0.3906462490558624,1.0,0.29837024211883545,0.2530054748058319,0.4739971458911896,0.5829201340675354,0.39628729224205017,0.26521381735801697,0.45900648832321167,0.04474614933133125,0.41106516122817993,0.22068053483963013
first,0.21323956549167633,0.3285558819770813,0.49448907375335693,0.3134016692638397,0.22889231145381927,0.3800288736820221,0.4287874400615692,0.27967220544815063,0.19317375123500824,0.46023231744766235,-0.012840602546930313,0.22930124402046204,0.18701928853988647
world,0.21353740990161896,0.2498536854982376,0.33604270219802856,0.1518012285232544,0.14937646687030792,0.2444595992565155,0.22239887714385986,0.2296925187110901,0.13388390839099884,0.16942919790744781,-0.012418808415532112,0.2896827757358551,0.17579582333564758
war,0.21707266569137573,0.3151806890964508,0.366199791431427,0.18850921094417572,0.16385218501091003,0.22632956504821777,0.2368277609348297,0.24283668398857117,0.28329476714134216,0.2554761469364166,-0.021159591153264046,0.19808301329612732,0.15510529279708862
.,0.32909876108169556,0.3378238379955292,0.5934505462646484,0.24195235967636108,0.31308406591415405,0.4726039469242096,0.50484299659729,0.31542083621025085,0.23747818171977997,0.36693984270095825,0.1182432770729065,0.31393373012542725,0.4130953550338745
