,what,type,of,teaching,would,help,the,most,with,everyday,life,?
teachers,0.2526462972164154,0.09933348745107651,0.27737662196159363,0.6562570333480835,0.2516131103038788,0.3310721218585968,0.22025763988494873,0.23214590549468994,0.17936164140701294,0.2580924928188324,0.1783103197813034,0.19522249698638916
may,0.25739946961402893,0.1642589271068573,0.26447007060050964,0.176097571849823,0.4155452847480774,0.28016674518585205,0.2694292366504669,0.21794430911540985,0.23512546718120575,0.13742388784885406,0.206627756357193,0.2768254578113556
provide,0.27049049735069275,0.2895733118057251,0.27198103070259094,0.26785391569137573,0.33941322565078735,0.4549819827079773,0.26373472809791565,0.27501559257507324,0.3074512183666229,0.2570151686668396,0.2166159749031067,0.22704634070396423
instruction,0.3581218719482422,0.23964598774909973,0.24772194027900696,0.38425999879837036,0.27431342005729675,0.2719484865665436,0.24766679108142853,0.14975619316101074,0.12807485461235046,0.21879664063453674,0.21025165915489197,0.2353983372449875
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2659059166908264,0.30461156368255615,0.21321536600589752,0.6662389636039734,0.41416558623313904,0.4080928862094879,0.23393699526786804,0.27054134011268616,0.20430970191955566
literacy,0.18552760779857635,0.13025061786174774,0.2574460804462433,0.3823707401752472,0.2214006781578064,0.1665535420179367,0.2540953457355499,0.22818857431411743,0.14774686098098755,0.22056040167808533,0.21310006082057953,0.18642817437648773
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2573738694190979,0.34921059012413025,0.34926167130470276,0.5171257257461548,0.4309377074241638,0.5477725267410278,0.26285234093666077,0.26095253229141235,0.20544172823429108
numeracy,0.22764112055301666,0.2271253615617752,0.253048837184906,0.25987187027931213,0.22344857454299927,0.17929309606552124,0.2594940960407257,0.21027721464633942,0.1747029721736908,0.25406914949417114,0.1675775647163391,0.20641189813613892
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2547089457511902,0.32586824893951416,0.2855570912361145,0.4933079481124878,0.3636029064655304,0.4120737314224243,0.219789519906044,0.24050940573215485,0.31091248989105225
craftsmanship,0.17800095677375793,0.14477069675922394,0.24189166724681854,0.39636582136154175,0.19934865832328796,0.18090343475341797,0.2141704559326172,0.24102693796157837,0.19457367062568665,0.26595380902290344,0.2529643774032593,0.0932312160730362
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.15916350483894348,0.39548179507255554,0.30695268511772156,0.4174870550632477,0.30746427178382874,0.38158315420150757,0.23152104020118713,0.18162311613559723,0.32389625906944275
vocational,0.25595757365226746,0.23621559143066406,0.343596488237381,0.5163981318473816,0.19663068652153015,0.21338330209255219,0.23646128177642822,0.18334361910820007,0.15296417474746704,0.2571665942668915,0.2545340061187744,0.1961013227701187
training,0.19520394504070282,0.23502224683761597,0.20511698722839355,0.48454955220222473,0.20681649446487427,0.3233146369457245,0.22380973398685455,0.17356304824352264,0.19191962480545044,0.22334325313568115,0.2196228951215744,0.14311334490776062
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2547089457511902,0.32586824893951416,0.2855570912361145,0.4933079481124878,0.3636029064655304,0.4120737314224243,0.219789519906044,0.24050940573215485,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2182690054178238,0.4133751392364502,0.30064165592193604,1.0,0.47635307908058167,0.4223487675189972,0.21434803307056427,0.23528170585632324,0.22068053483963013
arts,0.15975245833396912,0.11199616640806198,0.29211288690567017,0.34982436895370483,0.18271854519844055,0.16176782548427582,0.23374557495117188,0.17092089354991913,0.19973041117191315,0.16307099163532257,0.15465281903743744,0.09471383690834045
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2547089457511902,0.32586824893951416,0.2855570912361145,0.4933079481124878,0.3636029064655304,0.4120737314224243,0.219789519906044,0.24050940573215485,0.31091248989105225
religion,0.3103729486465454,0.14704623818397522,0.30360451340675354,0.3857925236225128,0.23908765614032745,0.1658390760421753,0.2757669985294342,0.14083731174468994,0.15827436745166779,0.24682679772377014,0.2163735181093216,0.2503177225589752
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2547089457511902,0.32586824893951416,0.2855570912361145,0.4933079481124878,0.3636029064655304,0.4120737314224243,0.219789519906044,0.24050940573215485,0.31091248989105225
civics,0.17743419110774994,0.07127959281206131,0.284532755613327,0.3610322177410126,0.21602238714694977,0.14479093253612518,0.2019553780555725,0.19639253616333008,0.15127214789390564,0.3558378219604492,0.2119591385126114,0.1362212896347046
