,where,was,new,year,'s,rockin,',eve,hosted,?
since,0.26308515667915344,0.4384658932685852,0.2617199122905731,0.31512683629989624,-0.04899144917726517,0.19130611419677734,0.3154326379299164,0.25135335326194763,0.3413774073123932,0.2876587212085724
1974,0.08023340255022049,0.04934719577431679,0.13193745911121368,0.00020990487246308476,-0.010420195758342743,0.14992758631706238,-0.014921557158231735,-0.004983327351510525,0.0327899195253849,-0.17742674052715302
",",0.3149496018886566,0.45456063747406006,0.36073189973831177,0.28560417890548706,-0.0016132977325469255,0.32927075028419495,0.5178600549697876,0.21530404686927795,0.27969205379486084,0.31091248989105225
abc,0.08676808327436447,0.21565799415111542,0.20663127303123474,0.2373921275138855,0.06670809537172318,0.3424937129020691,0.17123238742351532,0.2029952108860016,0.3535350561141968,0.19065172970294952
has,0.32190436124801636,0.40313825011253357,0.20920851826667786,0.2526876926422119,-0.040683966130018234,0.1520642340183258,0.27390268445014954,0.1736000031232834,0.28831419348716736,0.15994466841220856
generally,0.3775900900363922,0.25163960456848145,0.13323122262954712,0.18746493756771088,0.017207007855176926,0.12084471434354782,0.24112531542778015,0.07687327265739441,0.0827154815196991,0.23411904275417328
aired,0.11953207850456238,0.27861282229423523,0.1564164012670517,0.2463400959968567,-0.008831794373691082,0.3537019193172455,0.20969398319721222,0.2215801477432251,0.45903724431991577,0.22283338010311127
dick,0.08812227845191956,0.1891966462135315,0.19038404524326324,0.16015511751174927,0.03214861825108528,0.350247323513031,0.22422930598258972,0.22846060991287231,0.16911044716835022,0.1753130704164505
clark,0.14585214853286743,0.2348247915506363,0.2737416923046112,0.18923117220401764,0.06747990101575851,0.36993855237960815,0.11336681246757507,0.2746812403202057,0.231357604265213,0.10959257185459137
's,0.0007701900321990252,0.008974763564765453,-0.008355522528290749,-0.04087831452488899,0.9999999403953552,-0.034400008618831635,0.07651367038488388,-0.04732388257980347,-0.006038293242454529,-0.023395681753754616
new,0.26026442646980286,0.2748313844203949,0.9999999403953552,0.25045546889305115,-0.008355522528290749,0.28046396374702454,0.23426499962806702,0.2905281186103821,0.24173325300216675,0.14782847464084625
