,what,new,tasks,do,the,protein,products,of,transferred,genes,take,on,?
many,0.36131182312965393,0.2992318272590637,0.2560499906539917,0.38738366961479187,0.4335206151008606,0.22064612805843353,0.3371672034263611,0.37253960967063904,0.16758127510547638,0.2175256311893463,0.24711354076862335,0.32520127296447754,0.2124512493610382
became,0.1434093862771988,0.22970440983772278,0.12130944430828094,0.12161382287740707,0.36325156688690186,0.11233872920274734,0.17838998138904572,0.3638904094696045,0.24981769919395447,0.15638096630573273,0.10897474735975266,0.19448097050189972,0.11374033987522125
exaptations,0.2572419047355652,0.2026033252477646,0.29755958914756775,0.26518714427948,0.3279644846916199,0.2789550721645355,0.34679749608039856,0.2978954613208771,0.15938188135623932,0.35921505093574524,0.22131949663162231,0.30114224553108215,0.2475980818271637
",",0.3087472915649414,0.36073189973831177,0.23435719311237335,0.3283645510673523,0.4933079481124878,0.19672410190105438,0.2251427173614502,0.4946078956127167,0.27208399772644043,0.1833837628364563,0.2881867289543152,0.49057599902153015,0.31091248989105225
taking,0.24635453522205353,0.21943478286266327,0.222682386636734,0.2517344057559967,0.32714390754699707,0.15112824738025665,0.1962437480688095,0.29240402579307556,0.19925673305988312,0.14139746129512787,0.6826359033584595,0.2542884647846222,0.19960761070251465
on,0.34226128458976746,0.31106263399124146,0.2535875141620636,0.3025321364402771,0.5107308030128479,0.14109811186790466,0.2342795729637146,0.3966929316520691,0.268031507730484,0.1533874273300171,0.27423644065856934,0.9999999403953552,0.2714994251728058
new,0.2130378633737564,0.9999999403953552,0.17973415553569794,0.21221688389778137,0.3845241069793701,0.1015818640589714,0.1833249032497406,0.343457967042923,0.2137206792831421,0.14416109025478363,0.23069287836551666,0.31106263399124146,0.14782847464084625
functions,0.22357098758220673,0.20008598268032074,0.49604174494743347,0.28944122791290283,0.2567043900489807,0.3513087332248688,0.3080371618270874,0.2328059822320938,0.225999653339386,0.320754736661911,0.23473940789699554,0.17429310083389282,0.13745930790901184
like,0.4320242702960968,0.21787713468074799,0.24307045340538025,0.4615015685558319,0.32912567257881165,0.22846195101737976,0.31088554859161377,0.3244853615760803,0.05590781942009926,0.17465361952781677,0.3428412079811096,0.3318610191345215,0.3268813192844391
participating,0.2619934678077698,0.2223924696445465,0.31935954093933105,0.2719747722148895,0.30063968896865845,0.12052574008703232,0.23114843666553497,0.23278085887432098,0.16372744739055634,0.11208800226449966,0.2960309684276581,0.2532135844230652,0.19266076385974884
in,0.30808621644973755,0.3758552670478821,0.1798897534608841,0.23402775824069977,0.6662389636039734,0.22392553091049194,0.21192872524261475,0.5696388483047485,0.34616342186927795,0.1368900090456009,0.21975718438625336,0.46853652596473694,0.20430970191955566
cell,0.19222842156887054,0.11602912843227386,0.1916668564081192,0.19975709915161133,0.15822452306747437,0.4548215866088867,0.17766039073467255,0.18332023918628693,0.2073310911655426,0.4044111967086792,0.14510439336299896,0.1793726086616516,0.2058541625738144
division,0.19144181907176971,0.18144427239894867,0.18568985164165497,0.12946900725364685,0.26203617453575134,0.16653677821159363,0.14497162401676178,0.23579144477844238,0.23356592655181885,0.14628493785858154,0.07812254130840302,0.16298949718475342,0.08900629729032516
",",0.3087472915649414,0.36073189973831177,0.23435719311237335,0.3283645510673523,0.4933079481124878,0.19672410190105438,0.2251427173614502,0.4946078956127167,0.27208399772644043,0.1833837628364563,0.2881867289543152,0.49057599902153015,0.31091248989105225
protein,0.20633074641227722,0.1015818640589714,0.2562504708766937,0.1999005228281021,0.22310464084148407,1.0000001192092896,0.3577280044555664,0.24403050541877747,0.18459738790988922,0.5893606543540955,0.17781411111354828,0.14109811186790466,0.169142946600914
routing,0.29352641105651855,0.14004753530025482,0.33480218052864075,0.23627088963985443,0.2927027940750122,0.1613430678844452,0.27997303009033203,0.21372486650943756,0.2588767111301422,0.17866797745227814,0.246335968375206,0.2524762451648712,0.22086867690086365
",",0.3087472915649414,0.36073189973831177,0.23435719311237335,0.3283645510673523,0.4933079481124878,0.19672410190105438,0.2251427173614502,0.4946078956127167,0.27208399772644043,0.1833837628364563,0.2881867289543152,0.49057599902153015,0.31091248989105225
and,0.31309178471565247,0.31402453780174255,0.27594971656799316,0.276123583316803,0.5171257257461548,0.2513568103313446,0.27309057116508484,0.5116966962814331,0.25792068243026733,0.19939002394676208,0.296702116727829,0.4077630043029785,0.20544172823429108
even,0.40872135758399963,0.20480673015117645,0.25156688690185547,0.4404686391353607,0.37996912002563477,0.20153896510601044,0.23969615995883942,0.34735506772994995,0.14688871800899506,0.19787798821926117,0.36487722396850586,0.297456830739975,0.30082517862319946
disease,0.2391042411327362,0.1421959400177002,0.21414399147033691,0.17432160675525665,0.22720423340797424,0.31830888986587524,0.21803560853004456,0.22984620928764343,0.15735436975955963,0.34859055280685425,0.1336652785539627,0.14357414841651917,0.16159942746162415
resistance,0.1382468044757843,0.15529614686965942,0.10500157624483109,0.1286020576953888,0.2521642744541168,0.25395044684410095,0.15039515495300293,0.24201548099517822,0.20234067738056183,0.22253364324569702,0.21146370470523834,0.1404474973678589,0.026361597701907158
.,0.3567904531955719,0.35031336545944214,0.23887550830841064,0.3613996207714081,0.5934505462646484,0.24917416274547577,0.223800927400589,0.5352458953857422,0.2828300893306732,0.24675390124320984,0.3045158088207245,0.49257001280784607,0.4130953550338745
