,contracts,must,be,designed,to,ensure,what,?
thus,0.21626976132392883,0.31911155581474304,0.37298357486724854,0.180423304438591,0.42383262515068054,0.402122437953949,0.30745524168014526,0.18769288063049316
",",0.20246046781539917,0.2231246829032898,0.39254459738731384,0.201692596077919,0.44245919585227966,0.144033744931221,0.3087472915649414,0.31091248989105225
the,0.246573343873024,0.2713140547275543,0.4248143136501312,0.2559613883495331,0.535392165184021,0.2955571711063385,0.42745697498321533,0.22068053483963013
contracts,1.0,0.2053082287311554,0.1939118206501007,0.22587677836418152,0.30408602952957153,0.2713584303855896,0.2268635481595993,0.09254205226898193
must,0.2053082287311554,1.0,0.4737209677696228,0.2054165154695511,0.43356871604919434,0.4575742781162262,0.30362528562545776,0.23707495629787445
be,0.1939118206501007,0.4737209677696228,1.0,0.1915401816368103,0.4972836375236511,0.42600592970848083,0.3929833769798279,0.3324260413646698
designed,0.22587677836418152,0.2054165154695511,0.1915401816368103,1.0,0.3077097535133362,0.21510812640190125,0.15902110934257507,0.11213942617177963
to,0.30408602952957153,0.43356871604919434,0.4972836375236511,0.3077097535133362,1.0,0.3696618974208832,0.455847829580307,0.29463258385658264
ensure,0.2713584303855896,0.4575742781162262,0.42600592970848083,0.21510812640190125,0.3696618974208832,1.0,0.328641802072525,0.24192948639392853
that,0.27535414695739746,0.42000943422317505,0.6036020517349243,0.270294189453125,0.5436353087425232,0.4195809066295624,0.6297725439071655,0.32716336846351624
each,0.24421028792858124,0.39704805612564087,0.3907950520515442,0.18492837250232697,0.3941934108734131,0.24811486899852753,0.3353266417980194,0.21173812448978424
side,0.14287132024765015,0.18549703061580658,0.25251397490501404,0.22101104259490967,0.2686329185962677,0.15071165561676025,0.2532914876937866,0.07831130921840668
is,0.17589467763900757,0.3093329071998596,0.4819129705429077,0.18406619131565094,0.42745086550712585,0.23937878012657166,0.28837618231773376,0.22961433231830597
capable,0.20023372769355774,0.2651464343070984,0.2964368164539337,0.2463342249393463,0.21250563859939575,0.2588735818862915,0.24030843377113342,0.18388573825359344
of,0.19568492472171783,0.24322323501110077,0.33904364705085754,0.2000347077846527,0.41548454761505127,0.20923924446105957,0.33290785551071167,0.1826142966747284
performing,0.1693672090768814,0.12458787858486176,0.1697586178779602,0.22804254293441772,0.2703278064727783,0.13312864303588867,0.17896074056625366,0.14028958976268768
the,0.246573343873024,0.2713140547275543,0.4248143136501312,0.2559613883495331,0.535392165184021,0.2955571711063385,0.42745697498321533,0.22068053483963013
obligations,0.3962673544883728,0.38391008973121643,0.3184019923210144,0.13215546309947968,0.3041844666004181,0.40562599897384644,0.26247575879096985,0.221116840839386
set,0.15155912935733795,0.2462361752986908,0.19580282270908356,0.24997633695602417,0.320547491312027,0.2441898137331009,0.28954121470451355,0.1698019951581955
out,0.2745378315448761,0.2421475201845169,0.3626708686351776,0.14786550402641296,0.42386990785598755,0.2608416676521301,0.3633197546005249,0.22020699083805084
.,0.16093319654464722,0.27722811698913574,0.4383580684661865,0.24422594904899597,0.4645031690597534,0.19039876759052277,0.3567904531955719,0.4130953550338745
