,what,was,the,name,of,the,50th,anniversary,show,?
notably,0.1358402669429779,0.20736795663833618,0.33497244119644165,0.14362725615501404,0.3080497682094574,0.33497244119644165,-0.0016361996531486511,0.14204981923103333,0.2145310938358307,0.10343469679355621
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.1069522351026535,0.20396199822425842,0.31928569078445435,0.31091248989105225
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.11835864186286926,0.25491592288017273,0.27595704793930054,0.20430970191955566
2013,-0.3886653184890747,-0.16685336828231812,-0.38509321212768555,-0.16684579849243164,-0.2904720902442932,-0.38509321212768555,-0.10239046066999435,-0.11650413274765015,-0.2996995151042938,-0.2969330847263336
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.1069522351026535,0.20396199822425842,0.31928569078445435,0.31091248989105225
john,0.18237407505512238,0.2875721752643585,0.2230520099401474,0.12458125501871109,0.2407056987285614,0.2230520099401474,0.15760532021522522,0.21829542517662048,0.13126613199710846,0.13162356615066528
hurt,0.28595033288002014,0.16362357139587402,0.19650967419147491,0.07979024201631546,0.20860262215137482,0.19650967419147491,0.09458984434604645,0.097986601293087,0.19343602657318115,0.23186244070529938
guest-starred,0.19258549809455872,0.34775272011756897,0.2871498465538025,0.20263062417507172,0.2551485598087311,0.2871498465538025,0.009336096234619617,0.270606130361557,0.43764445185661316,0.26012441515922546
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.07544080913066864,0.15546119213104248,0.30768129229545593,0.27043893933296204
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.12353889644145966,0.1787421703338623,0.24886544048786163,0.23916715383529663
hitherto,0.29739633202552795,0.3051340579986572,0.2347225397825241,0.15386709570884705,0.2252560406923294,0.2347225397825241,-0.021624505519866943,0.12489710003137589,0.19754134118556976,0.1970563679933548
unknown,0.2441980093717575,0.2385871857404709,0.23777544498443604,0.24698518216609955,0.2853793799877167,0.23777544498443604,0.11306697875261307,0.19201605021953583,0.20166966319084167,0.22083927690982819
