,in,what,year,did,tesla,go,to,budapest,?
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.17097744345664978,0.22233200073242188,0.45010748505592346,0.21122121810913086,0.20430970191955566
1881,-0.10154677927494049,-0.1440832018852234,-0.10029257088899612,-0.17786768078804016,-0.06342737376689911,-0.1848495453596115,-0.16058410704135895,-0.11862148344516754,-0.059600044041872025
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.20599327981472015,0.3043581247329712,0.44245919585227966,0.24552670121192932,0.31091248989105225
tesla,0.17097744345664978,0.23221199214458466,0.1455472707748413,0.09757418930530548,0.9999999403953552,0.07152407616376877,0.17548894882202148,0.30872756242752075,0.10250775516033173
moved,0.3323737680912018,0.20601840317249298,0.16804592311382294,0.27509647607803345,0.09426514059305191,0.30781811475753784,0.2918468713760376,0.22765126824378967,0.15112607181072235
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.4452643394470215,0.17548894882202148,0.384844571352005,1.0,0.16071493923664093,0.29463258385658264
budapest,0.21122121810913086,0.11760804802179337,0.14203967154026031,0.20056968927383423,0.30872756242752075,0.13115236163139343,0.16071493923664093,1.0000001192092896,0.13112305104732513
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.4452643394470215,0.17548894882202148,0.384844571352005,1.0,0.16071493923664093,0.29463258385658264
work,0.2753349542617798,0.3762225806713104,0.18683093786239624,0.336654931306839,0.2545209228992462,0.27009254693984985,0.3482864499092102,0.2134409248828888,0.2621155381202698
under,0.2535393238067627,0.20154598355293274,0.15353286266326904,0.20815621316432953,0.122123122215271,0.16103604435920715,0.27177539467811584,0.10956576466560364,0.18233340978622437
ferenc,0.20354926586151123,0.12516885995864868,0.1641070544719696,0.17145906388759613,0.31838393211364746,0.12332993745803833,0.1470741629600525,0.47992491722106934,0.1401035487651825
puskás,0.19567552208900452,0.12847581505775452,0.18669761717319489,0.171345055103302,0.3021250367164612,0.13071686029434204,0.12263622134923935,0.3364044427871704,0.15187932550907135
at,0.4374977946281433,0.2838611304759979,0.3146436810493469,0.28390252590179443,0.16552478075027466,0.2909104526042938,0.36524343490600586,0.30494627356529236,0.21978627145290375
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.2211925983428955,0.24019409716129303,0.45503583550453186,0.13884766399860382,0.23916715383529663
telegraph,0.20878101885318756,0.1631035953760147,0.15519578754901886,0.16284510493278503,0.24232685565948486,0.16627195477485657,0.1843106746673584,0.24869981408119202,0.07475808262825012
company,0.22141718864440918,0.2333769053220749,0.1253320872783661,0.16800642013549805,0.23045730590820312,0.13231335580348969,0.24903783202171326,0.17951595783233643,0.12195809185504913
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.20599327981472015,0.3043581247329712,0.44245919585227966,0.24552670121192932,0.31091248989105225
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.1324402391910553,0.29801803827285767,0.535392165184021,0.14167028665542603,0.22068053483963013
budapest,0.21122121810913086,0.11760804802179337,0.14203967154026031,0.20056968927383423,0.30872756242752075,0.13115236163139343,0.16071493923664093,1.0000001192092896,0.13112305104732513
telephone,0.2529275715351105,0.16968877613544464,0.1289581060409546,0.15489530563354492,0.2969077527523041,0.16611580550670624,0.21706709265708923,0.19954967498779297,0.13201479613780975
exchange,0.21970009803771973,0.11323627829551697,0.15735900402069092,0.07428870350122452,0.11101709306240082,0.16684941947460175,0.20507046580314636,0.11935021728277206,0.048212938010692596
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.17949827015399933,0.3313661813735962,0.4645031690597534,0.2253931611776352,0.4130953550338745
