,where,did,the,first,shipment,of,minerals,ship,from,?
kenyatta,0.20548281073570251,0.16177290678024292,0.24919013679027557,0.2814168334007263,0.2564615309238434,0.2688030004501343,0.1616823673248291,0.20027369260787964,0.22829508781433105,0.1456252485513687
was,0.20731619000434875,0.41399896144866943,0.48711544275283813,0.5022147297859192,0.26863160729408264,0.4069072902202606,0.139692485332489,0.20396772027015686,0.31171464920043945,0.18412111699581146
``,0.020612511783838272,-0.029888948425650597,0.029072100296616554,0.006519378628581762,-0.10963171720504761,0.06780257821083069,0.013832280412316322,-0.0015763107221573591,0.02677825279533863,0.0685480609536171
[,0.09494096785783768,0.030549485236406326,0.07130392640829086,0.08353309333324432,0.20487073063850403,0.010817250236868858,-0.0653344914317131,0.1721411496400833,0.1347220540046692,0.011015460826456547
a,0.40997210144996643,0.2552328109741211,0.5829201340675354,0.4287874400615692,0.2336420863866806,0.5052502155303955,0.2353302240371704,0.20629847049713135,0.322764128446579,0.23916715383529663
],-0.015714233741164207,0.024806415662169456,-0.04779602214694023,0.09368002414703369,-0.020273614674806595,-0.035044461488723755,-0.051040053367614746,0.025252079591155052,0.007451207842677832,-0.0022520492784678936
ccompanied,0.21177931129932404,0.19508925080299377,0.29512208700180054,0.2381833791732788,0.2284165769815445,0.29753294587135315,0.1835889369249344,0.18714286386966705,0.19094066321849823,0.1580127626657486
by,0.2641284465789795,0.18574509024620056,0.4408751428127289,0.3877052962779999,0.1991744339466095,0.3646814823150635,0.1610909253358841,0.18513618409633636,0.3373257517814636,0.17966607213020325
60,0.06709319353103638,0.009732695296406746,0.04635925963521004,-0.00787199568003416,-0.029660740867257118,0.05524682253599167,0.014324245974421501,0.011011211201548576,-0.08257101476192474,0.06999651342630386
kenyan,0.14668767154216766,0.17606396973133087,0.1675717681646347,0.2358042597770691,0.15668798983097076,0.16629895567893982,0.09113097935914993,0.13728325068950653,0.13041892647743225,0.1738916039466858
business,0.21156923472881317,0.24531014263629913,0.2389037162065506,0.17472337186336517,0.3480883836746216,0.23985227942466736,0.11663058400154114,0.16881002485752106,0.2394990175962448,0.1545659303665161
people,0.3212973177433014,0.26765021681785583,0.36838498711586,0.19699515402317047,0.20494775474071503,0.3251037895679474,0.22721175849437714,0.18492832779884338,0.30292633175849915,0.23739641904830933
