,what,differs,about,secondary,chloroplasts,',membranes,?
while,0.35511791706085205,0.26300886273384094,0.3552052080631256,0.20115569233894348,0.23798267543315887,0.1912580281496048,0.19319653511047363,0.21076419949531555
primary,0.2113915979862213,0.31292489171028137,0.20436546206474304,0.6853594779968262,0.27425846457481384,0.14540524780750275,0.14965280890464783,0.16286636888980865
chloroplasts,0.2524593770503998,0.26466116309165955,0.15753485262393951,0.2724728286266327,0.9999999403953552,0.0804409459233284,0.6635266542434692,0.13049766421318054
have,0.39808809757232666,0.3516947329044342,0.3940475583076477,0.26402509212493896,0.29091566801071167,0.2580406367778778,0.3564684987068176,0.32991164922714233
a,0.3320399522781372,0.29222291707992554,0.34171196818351746,0.225028395652771,0.24622295796871185,0.48837921023368835,0.1770123988389969,0.23916715383529663
double,0.16209302842617035,0.2222530096769333,0.12978090345859528,0.10280017554759979,0.26824215054512024,0.16768375039100647,0.22432202100753784,0.10017921775579453
membrane,0.1647152304649353,0.20973612368106842,0.11790898442268372,0.190712109208107,0.6331068873405457,0.1341494619846344,0.9437052011489868,0.18908235430717468
from,0.2737620174884796,0.20760078728199005,0.3421173691749573,0.18837624788284302,0.21740731596946716,0.20019984245300293,0.19746801257133484,0.19969791173934937
their,0.35142919421195984,0.3470855951309204,0.25792208313941956,0.227782741189003,0.2906811833381653,0.20297467708587646,0.31022876501083374,0.1898253709077835
cyanobacterial,0.2474752515554428,0.28412607312202454,0.23190145194530487,0.25627198815345764,0.708339273929596,0.10434695333242416,0.555797815322876,0.19054965674877167
ancestor,0.16140799224376678,0.2967844605445862,0.18861201405525208,0.10846055299043655,0.3018394708633423,0.22926796972751617,0.2530228793621063,0.14805565774440765
",",0.3087472915649414,0.24592074751853943,0.3877100944519043,0.2158004194498062,0.20794041454792023,0.5178600549697876,0.22312511503696442,0.31091248989105225
secondary,0.20388361811637878,0.2344539910554886,0.18064267933368683,1.0,0.2724728286266327,0.16050881147384644,0.20510739088058472,0.18118004500865936
chloroplasts,0.2524593770503998,0.26466116309165955,0.15753485262393951,0.2724728286266327,0.9999999403953552,0.0804409459233284,0.6635266542434692,0.13049766421318054
have,0.39808809757232666,0.3516947329044342,0.3940475583076477,0.26402509212493896,0.29091566801071167,0.2580406367778778,0.3564684987068176,0.32991164922714233
additional,0.20172064006328583,0.2620042860507965,0.21522074937820435,0.21548813581466675,0.198472261428833,0.17003709077835083,0.20283345878124237,0.24309562146663666
membranes,0.18834297358989716,0.22719895839691162,0.1394566297531128,0.20510739088058472,0.6635266542434692,0.1446240395307541,0.9999999403953552,0.20524227619171143
outside,0.3224688768386841,0.27749863266944885,0.27983713150024414,0.218328595161438,0.27201882004737854,0.16100606322288513,0.3025790750980377,0.14839068055152893
of,0.33290785551071167,0.35657602548599243,0.40939709544181824,0.219074085354805,0.23179760575294495,0.39136970043182373,0.23994219303131104,0.1826142966747284
the,0.42745697498321533,0.34397226572036743,0.37995871901512146,0.21037471294403076,0.23062430322170258,0.474788099527359,0.2330547422170639,0.22068053483963013
