,what,type,of,prime,distribution,does,the,riemann,hypothesis,propose,is,also,true,for,short,intervals,near,x,?
from,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.16725490987300873,0.13387413322925568,0.1777622550725937,0.40150508284568787,0.15205073356628418,0.08770541846752167,0.2384932041168213,0.27355384826660156,0.33783096075057983,0.18515460193157196,0.314039945602417,0.25892743468284607,0.11094773560762405,0.2486431896686554,0.16927196085453033,0.19969791173934937
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.17998681962490082,0.21514776349067688,0.38201746344566345,0.5829201340675354,0.2754093110561371,0.2433040589094162,0.2968803346157074,0.658733606338501,0.5149940252304077,0.18508830666542053,0.44038116931915283,0.39202192425727844,0.27546969056129456,0.25033900141716003,0.21952441334724426,0.23916715383529663
mathematical,0.2707732021808624,0.08984915167093277,0.2863022983074188,0.18383847177028656,0.3342825770378113,0.19400140643119812,0.21343764662742615,0.523359477519989,0.4106900691986084,0.29690566658973694,0.18057724833488464,0.23514793813228607,0.2365237921476364,0.2562520503997803,0.16508641839027405,0.273111492395401,0.11389973014593124,0.27368542551994324,0.1630573719739914
viewpoint,0.3907443583011627,0.1304972767829895,0.20330668985843658,0.10374827682971954,0.15561777353286743,0.26335006952285767,0.22710895538330078,0.2966209650039673,0.2888037860393524,0.32562506198883057,0.24497917294502258,0.25245270133018494,0.2098117172718048,0.20212075114250183,0.15059435367584229,0.2541521191596985,0.09318060427904129,0.18953050673007965,0.3248816728591919
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2565026581287384,0.20136328041553497,0.28617382049560547,0.4933079481124878,0.260956346988678,0.15448060631752014,0.25586456060409546,0.4691906273365021,0.4717654287815094,0.252440869808197,0.4464869201183319,0.311238169670105,0.17925195395946503,0.3141826391220093,0.2696380019187927,0.31091248989105225
it,0.45803478360176086,0.22145579755306244,0.38761502504348755,0.16581475734710693,0.2561117708683014,0.34188351035118103,0.6251175999641418,0.23409591615200043,0.2407635748386383,0.25680044293403625,0.6328473687171936,0.542508602142334,0.2074379026889801,0.32171204686164856,0.27886080741882324,0.2521359622478485,0.27285236120224,0.19160020351409912,0.25732165575027466
roughly,0.2731170356273651,0.08108308911323547,0.35703447461128235,0.1228027269244194,0.18861103057861328,0.17797225713729858,0.3095499873161316,0.25186464190483093,0.2687757909297943,0.1790633499622345,0.26754480600357056,0.23402318358421326,0.18930034339427948,0.21739497780799866,0.17585012316703796,0.3048519790172577,0.24095165729522705,0.17566661536693573,0.09299357235431671
states,0.21526020765304565,0.15023280680179596,0.30884552001953125,0.1575697958469391,0.17878855764865875,0.18093830347061157,0.3463578522205353,0.13656620681285858,0.1534101366996765,0.19397346675395966,0.21939043700695038,0.2941293716430664,0.1509927660226822,0.2496437132358551,0.134159117937088,0.14730678498744965,0.18852786719799042,0.14802663028240204,0.16272737085819244
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.18163643777370453,0.25933966040611267,0.4764937460422516,0.5473989248275757,0.2777266800403595,0.3562784492969513,0.3755408823490143,0.3995479643344879,0.6005857586860657,0.393152117729187,0.4137635827064514,0.28025364875793457,0.3192152976989746,0.1848522126674652,0.2282639741897583,0.32716336846351624
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.19960100948810577,0.27569329738616943,0.35928019881248474,1.0,0.22838398814201355,0.2221619188785553,0.2302119880914688,0.5823672413825989,0.6021018624305725,0.19509610533714294,0.4739971458911896,0.29603123664855957,0.26482245326042175,0.2879819869995117,0.20980626344680786,0.22068053483963013
asymptotic,0.2701796591281891,0.3440277874469757,0.300331175327301,0.17926239967346191,0.3223889470100403,0.31064945459365845,0.2944696843624115,0.4113517999649048,0.38789212703704834,0.30368772149086,0.3114830255508423,0.29344063997268677,0.2767896056175232,0.2339123785495758,0.28080251812934875,0.4565444588661194,0.2331925630569458,0.30544111132621765,0.19730989634990692
distribution,0.17429208755493164,0.1195337325334549,0.254255473613739,0.1501522660255432,1.0,0.17152921855449677,0.27569329738616943,0.29867976903915405,0.23500119149684906,0.18190544843673706,0.2414398044347763,0.19198758900165558,0.27157798409461975,0.2117459923028946,0.10592852532863617,0.15460450947284698,0.10735709220170975,0.21962817013263702,0.0929616317152977
of,0.33290785551071167,0.18112817406654358,1.0,0.23935265839099884,0.254255473613739,0.3119818866252899,0.733189046382904,0.25200456380844116,0.18608006834983826,0.2539187967777252,0.4854315221309662,0.4924938678741455,0.21835467219352722,0.4185989499092102,0.2761780321598053,0.1844199150800705,0.2651676535606384,0.1708947718143463,0.1826142966747284
primes,0.2505246102809906,0.14125247299671173,0.22199293971061707,0.7104739546775818,0.2172791212797165,0.24454741179943085,0.22359657287597656,0.35033124685287476,0.3432275354862213,0.22263728082180023,0.2382466346025467,0.2720433473587036,0.30416977405548096,0.23085950314998627,0.08852428197860718,0.3858385980129242,0.09478794783353806,0.24774925410747528,0.18851876258850098
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.21646767854690552,0.15190289914608002,0.2728188931941986,0.33289089798927307,0.190224751830101,0.16238409280776978,0.22151732444763184,0.35393038392066956,0.2962331771850586,0.24057362973690033,0.3357032239437103,0.21569035947322845,0.17408347129821777,0.16812613606452942,0.2501775324344635,0.40561532974243164
about,0.47976887226104736,0.1371919810771942,0.40939709544181824,0.1290404349565506,0.18622231483459473,0.26877498626708984,0.37995871901512146,0.22545748949050903,0.2329171597957611,0.24336329102516174,0.3532065451145172,0.32894372940063477,0.26915234327316284,0.3312419354915619,0.27152472734451294,0.23175622522830963,0.257497102022171,0.11477513611316681,0.302409827709198
