,what,term,referred,to,middle,class,citizens,leaving,the,suburbs,?
however,0.4480680823326111,0.3404300808906555,0.3152376711368561,0.5474119186401367,0.2249881476163864,0.2279498428106308,0.2844243049621582,0.3742421269416809,0.49814513325691223,0.1823962926864624,0.2152075469493866
",",0.3087472915649414,0.21599270403385162,0.2511569857597351,0.44245919585227966,0.24847112596035004,0.1753857135772705,0.2264837771654129,0.2453688681125641,0.4933079481124878,0.25310659408569336,0.31091248989105225
the,0.42745697498321533,0.2740369141101837,0.3088674545288086,0.535392165184021,0.3405749201774597,0.18034407496452332,0.29208630323410034,0.35353413224220276,1.0,0.22660650312900543,0.22068053483963013
development,0.19014155864715576,0.22357061505317688,0.09121933579444885,0.27639102935791016,0.20722921192646027,0.13773401081562042,0.1549612283706665,0.12588614225387573,0.3362044394016266,0.13189519941806793,0.1211358830332756
of,0.33290785551071167,0.26047757267951965,0.317892849445343,0.41548454761505127,0.2799445688724518,0.19740594923496246,0.24269554018974304,0.28646329045295715,0.733189046382904,0.2319147288799286,0.1826142966747284
suburbs,0.14620864391326904,0.12284041196107864,0.15485115349292755,0.16474391520023346,0.2167154997587204,0.22653383016586304,0.2907847762107849,0.1689789891242981,0.22660650312900543,1.0000001192092896,0.07569191604852676
and,0.31309178471565247,0.22272127866744995,0.2151295244693756,0.48971283435821533,0.2514324486255646,0.20710228383541107,0.23546771705150604,0.31990569829940796,0.5171257257461548,0.25931885838508606,0.20544172823429108
a,0.3320399522781372,0.3080509603023529,0.2686276137828827,0.45503583550453186,0.23820361495018005,0.23462694883346558,0.21467146277427673,0.26564347743988037,0.5829201340675354,0.1635449379682541,0.23916715383529663
subsequent,0.20167095959186554,0.14381912350654602,0.21499136090278625,0.2506476640701294,0.057465579360723495,0.055719856172800064,0.11155519634485245,0.16257275640964508,0.2562725245952606,0.13721291720867157,0.13111010193824768
wave,0.21830487251281738,0.20808559656143188,0.085067979991436,0.2241983711719513,0.09651226550340652,0.07466600090265274,0.2383841723203659,0.14239637553691864,0.23117129504680634,0.1592722237110138,0.19408074021339417
of,0.33290785551071167,0.26047757267951965,0.317892849445343,0.41548454761505127,0.2799445688724518,0.19740594923496246,0.24269554018974304,0.28646329045295715,0.733189046382904,0.2319147288799286,0.1826142966747284
middle,0.18312302231788635,0.18345826864242554,0.20143140852451324,0.2015334814786911,0.9999998807907104,0.261927992105484,0.12488400936126709,0.19706173241138458,0.3405749201774597,0.2167154997587204,0.13139553368091583
class,0.16880196332931519,0.14871956408023834,0.11681840568780899,0.18696844577789307,0.261927992105484,1.0,0.13737991452217102,0.07289878278970718,0.18034407496452332,0.22653383016586304,0.12778934836387634
``,0.008517155423760414,0.11803510040044785,0.017554139718413353,0.06720756739377975,0.07438047230243683,0.02498270943760872,0.06507842242717743,-0.0008231787360273302,0.029072100296616554,-0.04346678778529167,0.0685480609536171
white,0.1410645991563797,0.0974971130490303,0.17153899371623993,0.23700939118862152,0.2271616905927658,0.1918923258781433,0.1562831550836563,0.25675803422927856,0.25492873787879944,0.12627950310707092,0.124679796397686
flight,0.17794598639011383,0.09806424379348755,0.03131166473031044,0.24953556060791016,0.168349027633667,0.1596037596464157,0.12779805064201355,0.14501900970935822,0.2498224973678589,0.14963436126708984,0.20568472146987915
'',0.08143015950918198,0.13619764149188995,0.10532526671886444,-0.009905828163027763,-0.02367579936981201,0.025240737944841385,-0.035503681749105453,-0.060183435678482056,0.041273195296525955,0.08016390353441238,0.018684765323996544
left,0.2442072629928589,0.07598692178726196,0.14663590490818024,0.2724500000476837,0.2871614694595337,0.16404075920581818,0.1343223750591278,0.46359458565711975,0.33113980293273926,0.15734857320785522,0.13251960277557373
jacksonville,0.14578714966773987,0.11393116414546967,0.11105889081954956,0.1994343250989914,0.19210579991340637,0.12331648170948029,0.1850132793188095,0.19989672303199768,0.2176690250635147,0.317272812128067,0.1359667330980301
with,0.2464839518070221,0.18053050339221954,0.1904708445072174,0.4239959120750427,0.1472902148962021,0.17964689433574677,0.16767141222953796,0.3321917951107025,0.4223487675189972,0.17925888299942017,0.2433311939239502
a,0.3320399522781372,0.3080509603023529,0.2686276137828827,0.45503583550453186,0.23820361495018005,0.23462694883346558,0.21467146277427673,0.26564347743988037,0.5829201340675354,0.1635449379682541,0.23916715383529663
much,0.45316147804260254,0.26818862557411194,0.19036950170993805,0.40610215067863464,0.19514094293117523,0.1245269924402237,0.18485070765018463,0.2331763207912445,0.35023224353790283,0.149911031126976,0.23442231118679047
poorer,0.21893715858459473,0.17654582858085632,0.161747545003891,0.33726781606674194,0.21891345083713531,0.22535347938537598,0.38158613443374634,0.1669856160879135,0.2263936996459961,0.22215287387371063,0.14399310946464539
population,0.2000674307346344,0.16918371617794037,0.1194131076335907,0.19776633381843567,0.16732719540596008,0.1264709234237671,0.3214215934276581,0.11621306836605072,0.32044094800949097,0.3658517003059387,0.14449454843997955
than,0.29388150572776794,0.25694769620895386,0.24111202359199524,0.3192550539970398,0.1809392124414444,0.15766671299934387,0.1647392362356186,0.2318318486213684,0.3227543234825134,0.1857631951570511,0.24917294085025787
before,0.3801657259464264,0.209525004029274,0.16622963547706604,0.4190867841243744,0.2278234362602234,0.12719054520130157,0.18456105887889862,0.4180227220058441,0.45900648832321167,0.1698419600725174,0.2507109045982361
.,0.3567904531955719,0.18456575274467468,0.16569985449314117,0.4645031690597534,0.2989427447319031,0.24688394367694855,0.19396132230758667,0.286700040102005,0.5934505462646484,0.22100010514259338,0.4130953550338745
