,what,guide,states,the,univeristy,of,chicago,is,known,for,their,heavy,workload,and,academic,difficulty,?
undergraduate,0.1996101438999176,0.1470591425895691,0.24345234036445618,0.20609073340892792,0.397555947303772,0.26330024003982544,0.21444429457187653,0.19982028007507324,0.1622784435749054,0.2474764585494995,0.22142378985881805,0.10844998061656952,0.2814638614654541,0.2686167359352112,0.505029559135437,0.24886561930179596,0.1531745046377182
courses,0.16680994629859924,0.271396666765213,0.12207777798175812,0.23517842590808868,0.3937888443470001,0.2450425922870636,0.10056999325752258,0.17733663320541382,0.13506923615932465,0.2532649636268616,0.2255987673997879,0.1975512057542801,0.25942322611808777,0.32115012407302856,0.38182756304740906,0.3316900134086609,0.15338684618473053
at,0.2838611304759979,0.14916343986988068,0.19903600215911865,0.457212895154953,0.24433673918247223,0.42558613419532776,0.1649734377861023,0.25906258821487427,0.19818158447742462,0.34237727522850037,0.23641370236873627,0.1291845440864563,0.24243570864200592,0.3571503460407257,0.19575633108615875,0.18501991033554077,0.21978627145290375
the,0.42745697498321533,0.2088000774383545,0.3463578522205353,1.0,0.2923078238964081,0.733189046382904,0.27360326051712036,0.5823672413825989,0.3624623417854309,0.4739971458911896,0.516537070274353,0.2532151937484741,0.2274261862039566,0.5171257257461548,0.15387672185897827,0.28524860739707947,0.22068053483963013
university,0.20256435871124268,0.23186570405960083,0.24941645562648773,0.263973206281662,0.5244249105453491,0.30646374821662903,0.29005804657936096,0.20346471667289734,0.15387564897537231,0.18573740124702454,0.14945244789123535,0.11485923081636429,0.17957803606987,0.2665814459323883,0.4402775466442108,0.22282665967941284,0.11887256056070328
of,0.33290785551071167,0.16701211035251617,0.30884552001953125,0.733189046382904,0.25525370240211487,1.0,0.18391016125679016,0.4854315221309662,0.35814476013183594,0.4185989499092102,0.4329940676689148,0.24240271747112274,0.19291165471076965,0.5116966962814331,0.20802809298038483,0.27728772163391113,0.1826142966747284
chicago,0.1521448791027069,0.15873101353645325,0.26554226875305176,0.27360326051712036,0.28732022643089294,0.18391016125679016,1.0,0.12146236002445221,0.15148675441741943,0.2320132851600647,0.17923840880393982,0.14024858176708221,0.180104061961174,0.23260825872421265,0.2689683437347412,0.14593768119812012,0.16446958482265472
are,0.29724663496017456,0.19923700392246246,0.1846873015165329,0.40399202704429626,0.2965140640735626,0.39081433415412903,0.1553531140089035,0.5330929756164551,0.26720109581947327,0.3895993232727051,0.46887820959091187,0.21976612508296967,0.22442787885665894,0.48576638102531433,0.13471660017967224,0.28396740555763245,0.24591213464736938
known,0.20381177961826324,0.1154937818646431,0.12470885366201401,0.3624623417854309,0.28060707449913025,0.35814476013183594,0.15148675441741943,0.41921812295913696,1.0,0.363901823759079,0.22521670162677765,0.16933612525463104,0.08973465114831924,0.3468935489654541,0.13927853107452393,0.16407857835292816,0.18314571678638458
for,0.3017193675041199,0.25561439990997314,0.2496437132358551,0.4739971458911896,0.21395030617713928,0.4185989499092102,0.2320132851600647,0.43268078565597534,0.363901823759079,0.9999999403953552,0.3406745493412018,0.22900916635990143,0.3224145174026489,0.5064792633056641,0.23807747662067413,0.2672026455402374,0.264628142118454
