,what,nobel,memorial,prize,in,economic,sciences,winner,is,also,a,university,alumni,member,?
in,0.30808621644973755,0.19903117418289185,0.23096095025539398,0.21274791657924652,1.0,0.22027181088924408,0.28206580877304077,0.2491646409034729,0.5394441485404968,0.5073733329772949,0.539380669593811,0.3201795518398285,0.2126772403717041,0.20856694877147675,0.20430970191955566
economics,0.21107932925224304,0.38195672631263733,0.15974754095077515,0.35975995659828186,0.19117838144302368,0.7812634110450745,0.514984130859375,0.21152685582637787,0.19443869590759277,0.24589253962039948,0.2117287665605545,0.40750834345817566,0.3199693262577057,0.1826891303062439,0.15849412977695465
",",0.3087472915649414,0.29036787152290344,0.21767763793468475,0.28670501708984375,0.5201468467712402,0.2340485155582428,0.2827865481376648,0.29428431391716003,0.4691906273365021,0.4717654287815094,0.427140474319458,0.3017033040523529,0.2394251972436905,0.25757819414138794,0.31091248989105225
notable,0.31026893854141235,0.15292397141456604,0.17794206738471985,0.14020182192325592,0.25145605206489563,0.09829194098711014,0.13806380331516266,0.16285492479801178,0.20672309398651123,0.2548656165599823,0.21731382608413696,0.11267898231744766,0.3171335458755493,0.19803045690059662,0.31928157806396484
nobel,0.20388969779014587,1.0,0.2935994863510132,0.8436678051948547,0.19903117418289185,0.268719345331192,0.3850580155849457,0.46553125977516174,0.1316506415605545,0.18067531287670135,0.17441873252391815,0.2923794984817505,0.27874937653541565,0.18105469644069672,0.15008176863193512
memorial,0.1440839022397995,0.2935994863510132,0.9999999403953552,0.289666086435318,0.23096095025539398,0.15434186160564423,0.2716560959815979,0.29991334676742554,0.15918494760990143,0.21667788922786713,0.16830050945281982,0.27508124709129333,0.19591858983039856,0.16269847750663757,0.13306879997253418
prize,0.1654435694217682,0.8436678051948547,0.289666086435318,0.9999999403953552,0.21274791657924652,0.25545403361320496,0.35988906025886536,0.5675768256187439,0.13773074746131897,0.17009899020195007,0.189753457903862,0.2631310522556305,0.2634023427963257,0.2029264271259308,0.14158497750759125
in,0.30808621644973755,0.19903117418289185,0.23096095025539398,0.21274791657924652,1.0,0.22027181088924408,0.28206580877304077,0.2491646409034729,0.5394441485404968,0.5073733329772949,0.539380669593811,0.3201795518398285,0.2126772403717041,0.20856694877147675,0.20430970191955566
economic,0.18082544207572937,0.268719345331192,0.15434186160564423,0.25545403361320496,0.22027181088924408,0.9999999403953552,0.37946444749832153,0.12587779760360718,0.21102669835090637,0.2673742175102234,0.2234611213207245,0.24439695477485657,0.20821726322174072,0.162232905626297,0.1206481084227562
sciences,0.19191189110279083,0.3850580155849457,0.2716560959815979,0.35988906025886536,0.28206580877304077,0.37946444749832153,0.9999999403953552,0.2250482589006424,0.2507065534591675,0.23198680579662323,0.25444474816322327,0.4868379533290863,0.3644491732120514,0.2373981922864914,0.15002119541168213
