,what,was,result,of,french,attack,of,trading,centre,?
on,0.34226128458976746,0.3909217119216919,0.22479186952114105,0.3966929316520691,0.1382952481508255,0.27725884318351746,0.3966929316520691,0.2483535259962082,0.20920877158641815,0.2714994251728058
june,0.2171148657798767,0.42821118235588074,0.15684954822063446,0.19721001386642456,0.24592281877994537,0.21585744619369507,0.19721001386642456,0.15434633195400238,0.1609775573015213,0.31416764855384827
21,-0.09070611000061035,0.03990492597222328,-0.10487912595272064,-0.0006609548581764102,0.014086741022765636,0.024522701278328896,-0.0006609548581764102,0.01073404774069786,0.11448430269956589,-0.01186173316091299
",",0.3087472915649414,0.45456063747406006,0.23341737687587738,0.4946078956127167,0.28806620836257935,0.29392024874687195,0.4946078956127167,0.21807542443275452,0.20527958869934082,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,0.27778977155685425,0.733189046382904,0.2555147111415863,0.2508925497531891,0.733189046382904,0.27514398097991943,0.32783594727516174,0.22068053483963013
french,0.17393042147159576,0.2523815333843231,0.09119903296232224,0.19450366497039795,1.0000001192092896,0.17181217670440674,0.19450366497039795,0.18747223913669586,0.15011470019817352,0.1386883556842804
war,0.22516006231307983,0.3560331463813782,0.18274202942848206,0.31680163741111755,0.2536753714084625,0.2698875367641449,0.31680163741111755,0.2567079961299896,0.10543929785490036,0.15510529279708862
party,0.2398013323545456,0.25508102774620056,0.11826752871274948,0.23662418127059937,0.12463904172182083,0.16406555473804474,0.23662418127059937,0.17015627026557922,0.1967325061559677,0.19031576812267303
attacked,0.1623094528913498,0.28015604615211487,0.14502279460430145,0.1974567323923111,0.18762165307998657,0.6741749048233032,0.1974567323923111,0.25631025433540344,0.14924927055835724,0.08601678907871246
the,0.42745697498321533,0.48711544275283813,0.27778977155685425,0.733189046382904,0.2555147111415863,0.2508925497531891,0.733189046382904,0.27514398097991943,0.32783594727516174,0.22068053483963013
trading,0.23206625878810883,0.22348220646381378,0.12193429470062256,0.23944026231765747,0.18747223913669586,0.190312922000885,0.23944026231765747,0.9999999403953552,0.2905676066875458,0.15743456780910492
centre,0.12324132025241852,0.24988211691379547,0.15869072079658508,0.2769378423690796,0.15011470019817352,0.12837977707386017,0.2769378423690796,0.2905676066875458,1.0000001192092896,0.019365152344107628
at,0.2838611304759979,0.36707764863967896,0.177230566740036,0.42558613419532776,0.17825756967067719,0.21748682856559753,0.42558613419532776,0.12737160921096802,0.30431899428367615,0.21978627145290375
pickawillany,0.3005671501159668,0.3848986029624939,0.16282281279563904,0.425549179315567,0.38866472244262695,0.2361745685338974,0.425549179315567,0.2998204231262207,0.2890591621398926,0.2701047658920288
",",0.3087472915649414,0.45456063747406006,0.23341737687587738,0.4946078956127167,0.28806620836257935,0.29392024874687195,0.4946078956127167,0.21807542443275452,0.20527958869934082,0.31091248989105225
capturing,0.2118043303489685,0.1750470995903015,0.17448687553405762,0.29810965061187744,0.1417635977268219,0.3759150505065918,0.29810965061187744,0.3202700614929199,0.1391725391149521,0.1290988177061081
three,0.24888746440410614,0.2748996615409851,0.12608283758163452,0.3844621181488037,0.18857373297214508,0.2067391276359558,0.3844621181488037,0.18633636832237244,0.14036883413791656,0.20928427577018738
traders,0.24132010340690613,0.2303071916103363,0.04392290487885475,0.16380983591079712,0.2382626235485077,0.12429355084896088,0.16380983591079712,0.6359781622886658,0.24738116562366486,0.12585791945457458
and,0.31309178471565247,0.3740963041782379,0.27436327934265137,0.5116966962814331,0.32751965522766113,0.24922382831573486,0.5116966962814331,0.29798421263694763,0.2848764955997467,0.20544172823429108
killing,0.1910286396741867,0.22684246301651,0.12972772121429443,0.29287010431289673,0.12966607511043549,0.36317622661590576,0.29287010431289673,0.19022899866104126,0.1299637407064438,0.13008421659469604
14,0.050140514969825745,0.020082935690879822,0.02537568099796772,0.05099077150225639,0.019592581316828728,0.014346185140311718,0.05099077150225639,0.03464300557971001,-0.005330291576683521,0.11697390675544739
people,0.32444337010383606,0.2518421411514282,0.1918027251958847,0.3251037895679474,0.16166198253631592,0.17394064366817474,0.3251037895679474,0.1835538148880005,0.26074036955833435,0.23739641904830933
of,0.33290785551071167,0.4069072902202606,0.231380432844162,1.0,0.19450366497039795,0.20644454658031464,1.0,0.23944026231765747,0.2769378423690796,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.27778977155685425,0.733189046382904,0.2555147111415863,0.2508925497531891,0.733189046382904,0.27514398097991943,0.32783594727516174,0.22068053483963013
miami,0.1000966876745224,0.22150732576847076,0.11728126555681229,0.15650133788585663,0.1311069130897522,0.19015246629714966,0.15650133788585663,0.10464728623628616,0.12325020134449005,0.14054250717163086
nation,0.21990635991096497,0.26869508624076843,0.20747172832489014,0.3102196156978607,0.17934583127498627,0.16260813176631927,0.3102196156978607,0.22837339341640472,0.17916056513786316,0.17865248024463654
",",0.3087472915649414,0.45456063747406006,0.23341737687587738,0.4946078956127167,0.28806620836257935,0.29392024874687195,0.4946078956127167,0.21807542443275452,0.20527958869934082,0.31091248989105225
