,what,is,economic,liberalism,one,of,the,causes,of,?
john,0.18237407505512238,0.16449548304080963,0.12788501381874084,0.24640575051307678,0.16914118826389313,0.2407056987285614,0.2230520099401474,0.09041206538677216,0.2407056987285614,0.13162356615066528
schmitt,0.11011455953121185,0.15223990380764008,0.14521147310733795,0.1914529651403427,0.1882818043231964,0.1329336315393448,0.21766848862171173,0.13802306354045868,0.1329336315393448,0.14845654368400574
and,0.31309178471565247,0.3859752118587494,0.2707010805606842,0.21258534491062164,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.2964467406272888,0.5116966962814331,0.20544172823429108
ben,0.16106489300727844,0.17603172361850739,0.1253630816936493,0.16176918148994446,0.22561776638031006,0.14767752587795258,0.17335548996925354,0.11999960988759995,0.14767752587795258,0.22201596200466156
zipperer,0.18937762081623077,0.24746310710906982,0.17029812932014465,0.22843539714813232,0.2444368451833725,0.2268097996711731,0.2675034701824188,0.1960866004228592,0.2268097996711731,0.1936381757259369
(,0.2411840260028839,0.35393038392066956,0.12015148252248764,0.17366531491279602,0.2922096848487854,0.35032153129577637,0.33289089798927307,0.2564166188240051,0.35032153129577637,0.40561532974243164
2006,-0.0008085015579126775,0.07398132234811783,-0.021656349301338196,-0.03925030305981636,0.12051252275705338,0.10009169578552246,0.11294147372245789,0.034586817026138306,0.10009169578552246,-0.1194092258810997
),0.26259949803352356,0.37732169032096863,0.14061136543750763,0.17210045456886292,0.31658053398132324,0.3680361211299896,0.3456730246543884,0.22588849067687988,0.3680361211299896,0.42300865054130554
of,0.33290785551071167,0.4854315221309662,0.3030148148536682,0.24032530188560486,0.4999135136604309,1.0,0.733189046382904,0.2544642984867096,1.0,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.282455176115036,0.20402196049690247,0.5514441132545471,0.733189046382904,1.0,0.2518732249736786,0.733189046382904,0.22068053483963013
cepr,0.0985657274723053,0.14056122303009033,0.12197934836149216,0.23514904081821442,0.1134372130036354,0.15543855726718903,0.07972634583711624,0.15833741426467896,0.15543855726718903,0.308832585811615
point,0.3286605179309845,0.29601794481277466,0.16000759601593018,0.18862047791481018,0.2811886668205261,0.269877165555954,0.3084787130355835,0.19859819114208221,0.269877165555954,0.19189560413360596
to,0.455847829580307,0.42745086550712585,0.26856908202171326,0.20520582795143127,0.4025384783744812,0.41548454761505127,0.535392165184021,0.2537674903869629,0.41548454761505127,0.29463258385658264
economic,0.18082544207572937,0.21102669835090637,0.9999999403953552,0.42595309019088745,0.17755547165870667,0.3030148148536682,0.282455176115036,0.20273149013519287,0.3030148148536682,0.1206481084227562
liberalism,0.274588406085968,0.15559665858745575,0.42595309019088745,0.9999999403953552,0.19719137251377106,0.24032530188560486,0.20402196049690247,0.1685817688703537,0.24032530188560486,0.17654304206371307
and,0.31309178471565247,0.3859752118587494,0.2707010805606842,0.21258534491062164,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.2964467406272888,0.5116966962814331,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,0.282455176115036,0.20402196049690247,0.5514441132545471,0.733189046382904,1.0,0.2518732249736786,0.733189046382904,0.22068053483963013
