,what,is,included,along,with,gravitational,acceration,",",and,mass,of,the,earth,in,a,formula,about,rotation,about,the,earth,?
combining,0.26883453130722046,0.29174765944480896,0.25658196210861206,0.20593227446079254,0.37778741121292114,0.28300997614860535,0.26738208532333374,0.31232377886772156,0.3717781603336334,0.25691452622413635,0.3498232960700989,0.33280646800994873,0.23043189942836761,0.32983681559562683,0.3458866477012634,0.22275729477405548,0.16794204711914062,0.261933833360672,0.16794204711914062,0.33280646800994873,0.23043189942836761,0.17360594868659973
these,0.4164220690727234,0.2498808652162552,0.42751047015190125,0.29171881079673767,0.37595367431640625,0.2754434049129486,0.2992868423461914,0.37613096833229065,0.5314885973930359,0.23959819972515106,0.42684608697891235,0.49086877703666687,0.23144929111003876,0.3791837692260742,0.24380075931549072,0.13984264433383942,0.366369366645813,0.22285091876983643,0.366369366645813,0.49086877703666687,0.23144929111003876,0.2571668326854706
ideas,0.42330971360206604,0.1490333378314972,0.25138869881629944,0.19890615344047546,0.28957828879356384,0.29158416390419006,0.2679256200790405,0.26492518186569214,0.3241734802722931,0.19702357053756714,0.22676146030426025,0.22381870448589325,0.2633075416088104,0.24198658764362335,0.2439810186624527,0.17489434778690338,0.32697156071662903,0.23063845932483673,0.32697156071662903,0.22381870448589325,0.2633075416088104,0.2857283353805542
gives,0.20556846261024475,0.35255318880081177,0.17707794904708862,0.14986418187618256,0.33403581380844116,0.17443056404590607,0.23096628487110138,0.24490056931972504,0.31670206785202026,0.10693349689245224,0.36641067266464233,0.3072636127471924,0.21001051366329193,0.19419550895690918,0.3123532235622406,0.20583674311637878,0.30993545055389404,0.2103269100189209,0.30993545055389404,0.3072636127471924,0.21001051366329193,0.2204105257987976
a,0.3320399522781372,0.658733606338501,0.23032639920711517,0.24426962435245514,0.3783375024795532,0.2441251575946808,0.280432790517807,0.427140474319458,0.3739250600337982,0.21558082103729248,0.5052502155303955,0.5829201340675354,0.21121151745319366,0.539380669593811,1.0,0.19709807634353638,0.34171196818351746,0.3204367458820343,0.34171196818351746,0.5829201340675354,0.21121151745319366,0.23916715383529663
formula,0.1849268674850464,0.24021393060684204,0.08891700953245163,0.03804831951856613,0.17108216881752014,0.2691497504711151,0.24351102113723755,0.18965117633342743,0.18467900156974792,0.158673495054245,0.18542331457138062,0.19533312320709229,0.15840089321136475,0.17837907373905182,0.19709807634353638,1.0,0.15434977412223816,0.22654218971729279,0.15434977412223816,0.19533312320709229,0.15840089321136475,0.16194304823875427
that,0.6297725439071655,0.3995479643344879,0.2736181616783142,0.2850594222545624,0.4154358208179474,0.34323108196258545,0.35255733132362366,0.4137537479400635,0.4731321930885315,0.2827543616294861,0.41498205065727234,0.5473989248275757,0.33014219999313354,0.435920387506485,0.47537946701049805,0.21913127601146698,0.4500710964202881,0.3065224587917328,0.4500710964202881,0.5473989248275757,0.33014219999313354,0.32716336846351624
relates,0.32759547233581543,0.29679545760154724,0.21311824023723602,0.22393274307250977,0.30299124121665955,0.38024184107780457,0.27302342653274536,0.24786312878131866,0.28937336802482605,0.283962219953537,0.3167797923088074,0.28690454363822937,0.2281496673822403,0.21122188866138458,0.28052860498428345,0.21049800515174866,0.36374837160110474,0.24003086984157562,0.36374837160110474,0.28690454363822937,0.2281496673822403,0.19390210509300232
the,0.42745697498321533,0.5823672413825989,0.3825419843196869,0.39495137333869934,0.4223487675189972,0.2145237773656845,0.406839519739151,0.4933079481124878,0.5171257257461548,0.2284930944442749,0.733189046382904,1.0,0.2801888585090637,0.6662389636039734,0.5829201340675354,0.19533312320709229,0.37995871901512146,0.2576199471950531,0.37995871901512146,1.0,0.2801888585090637,0.22068053483963013
mass,0.23905135691165924,0.21063528954982758,0.1236356720328331,0.1763971596956253,0.15513640642166138,0.4995284080505371,0.3176436424255371,0.2439754158258438,0.21843883395195007,1.0000001192092896,0.26915112137794495,0.2284930944442749,0.23690102994441986,0.1766357719898224,0.21558082103729248,0.158673495054245,0.2578590512275696,0.33665573596954346,0.2578590512275696,0.2284930944442749,0.23690102994441986,0.2076406031847
