,how,long,was,each,episode,of,doctor,who,?
it,0.36714982986450195,0.34568047523498535,0.4577186405658722,0.31343626976013184,0.1822436898946762,0.38761502504348755,0.24568085372447968,0.2868398427963257,0.25732165575027466
was,0.16678167879581451,0.1968146562576294,1.0000001192092896,0.14424845576286316,0.1706574261188507,0.4069072902202606,0.19672659039497375,0.3318818509578705,0.18412111699581146
to,0.44169697165489197,0.30218687653541565,0.3636345863342285,0.3941934108734131,0.25052839517593384,0.41548454761505127,0.22950075566768646,0.42656609416007996,0.29463258385658264
be,0.4158933162689209,0.2658098042011261,0.42228707671165466,0.3907950520515442,0.2390575110912323,0.33904364705085754,0.1729569286108017,0.3371641933917999,0.3324260413646698
a,0.29312583804130554,0.3795371353626251,0.4508470594882965,0.434999018907547,0.211050882935524,0.5052502155303955,0.22883038222789764,0.36608949303627014,0.23916715383529663
regular,0.2358456701040268,0.2117520570755005,0.15137939155101776,0.37685084342956543,0.2298196256160736,0.22916868329048157,0.2589873969554901,0.2929244339466095,0.18334713578224182
weekly,0.20042453706264496,0.14214064180850983,0.2113298624753952,0.2040749043226242,0.24668648838996887,0.1427893489599228,0.11523813754320145,0.1612129956483841,0.12748977541923523
programme,0.22168685495853424,0.16065283119678497,0.23988407850265503,0.1932065337896347,0.3168795108795166,0.18707643449306488,0.2561369240283966,0.2317163497209549,0.139840766787529
",",0.22659391164779663,0.3431144952774048,0.45456063747406006,0.207483172416687,0.18198037147521973,0.4946078956127167,0.20407600700855255,0.3365725874900818,0.31091248989105225
each,0.4183253347873688,0.2636587917804718,0.14424845576286316,1.0,0.27611973881721497,0.38460010290145874,0.1160493865609169,0.27337536215782166,0.21173812448978424
episode,0.20521073043346405,0.1578792929649353,0.1706574261188507,0.27611973881721497,1.0,0.17369085550308228,0.2940889000892639,0.2015407234430313,0.23978739976882935
25,0.07429084926843643,0.011988135986030102,0.15615400671958923,0.22795501351356506,0.11821264028549194,0.13541533052921295,-0.007251376751810312,0.139450341463089,0.09614268690347672
minutes,0.2050236165523529,0.3457551598548889,0.18689095973968506,0.2058175504207611,0.2481667697429657,0.14829446375370026,0.16872528195381165,0.153090700507164,0.14419560134410858
of,0.2480744868516922,0.2567519545555115,0.4069072902202606,0.38460010290145874,0.17369085550308228,1.0,0.16895952820777893,0.2827862501144409,0.1826142966747284
transmission,0.2645879089832306,0.2131146788597107,0.1702040582895279,0.2648596167564392,0.1853719800710678,0.2246399074792862,0.19828075170516968,0.1659122109413147,0.16372337937355042
length,0.1936909705400467,0.47154614329338074,0.13514478504657745,0.24560759961605072,0.15387143194675446,0.22847424447536469,0.14744314551353455,0.035333774983882904,0.16668567061424255
.,0.3287222981452942,0.3247973620891571,0.40146201848983765,0.31204065680503845,0.23102888464927673,0.5352458953857422,0.22361043095588684,0.3541337847709656,0.4130953550338745
