,antibodies,are,transferred,to,the,gut,of,the,infant,through,what,means,?
during,0.14973749220371246,0.2297976016998291,0.23849360644817352,0.2828781306743622,0.4838213622570038,0.13066519796848297,0.3869180977344513,0.4838213622570038,0.19869346916675568,0.3816036581993103,0.24137552082538605,0.19880463182926178,0.1325719803571701
pregnancy,0.3715146481990814,0.22734472155570984,0.13911013305187225,0.23292505741119385,0.254552960395813,0.24606174230575562,0.2477317601442337,0.254552960395813,0.5074922442436218,0.14651742577552795,0.24451294541358948,0.16757945716381073,0.22192636132240295
",",0.16660167276859283,0.4062570035457611,0.27208399772644043,0.44245919585227966,0.4933079481124878,0.24080508947372437,0.4946078956127167,0.4933079481124878,0.19170615077018738,0.3060276508331299,0.3087472915649414,0.24041147530078888,0.31091248989105225
a,0.2804163694381714,0.265255331993103,0.26272115111351013,0.45503583550453186,0.5829201340675354,0.19573813676834106,0.5052502155303955,0.5829201340675354,0.20627906918525696,0.3399752974510193,0.3320399522781372,0.34418490529060364,0.23916715383529663
particular,0.323292076587677,0.3587656319141388,0.19297659397125244,0.40318208932876587,0.4066357910633087,0.17357540130615234,0.3490585684776306,0.4066357910633087,0.17503638565540314,0.2182435542345047,0.4548671245574951,0.32548636198043823,0.2741454839706421
type,0.24263320863246918,0.24155041575431824,0.1365148276090622,0.19930607080459595,0.21819381415843964,0.19525624811649323,0.18112817406654358,0.21819381415843964,0.07671137899160385,0.1296497881412506,0.2722663879394531,0.21914635598659515,0.17536182701587677
of,0.24495436251163483,0.39081433415412903,0.33309000730514526,0.41548454761505127,0.733189046382904,0.1940992772579193,1.0,0.733189046382904,0.24684707820415497,0.3647414743900299,0.33290785551071167,0.29942914843559265,0.1826142966747284
antibody,0.9126604199409485,0.21812954545021057,0.11301328986883163,0.21433036029338837,0.23062217235565186,0.3480572998523712,0.2244306057691574,0.23062217235565186,0.22435733675956726,0.20166492462158203,0.1906609684228897,0.2286466509103775,0.21013349294662476
",",0.16660167276859283,0.4062570035457611,0.27208399772644043,0.44245919585227966,0.4933079481124878,0.24080508947372437,0.4946078956127167,0.4933079481124878,0.19170615077018738,0.3060276508331299,0.3087472915649414,0.24041147530078888,0.31091248989105225
called,0.25866249203681946,0.3676711618900299,0.27540823817253113,0.2987143397331238,0.489897221326828,0.20234927535057068,0.4222904443740845,0.489897221326828,0.126480370759964,0.24172358214855194,0.3235960602760315,0.4725281894207001,0.18963319063186646
igg,0.31691405177116394,0.19188937544822693,0.030605413019657135,0.16031982004642487,0.19636006653308868,0.16691803932189941,0.13910533487796783,0.19636006653308868,0.14394988119602203,0.08395645767450333,0.2295844703912735,0.07372314482927322,0.21167291700839996
",",0.16660167276859283,0.4062570035457611,0.27208399772644043,0.44245919585227966,0.4933079481124878,0.24080508947372437,0.4946078956127167,0.4933079481124878,0.19170615077018738,0.3060276508331299,0.3087472915649414,0.24041147530078888,0.31091248989105225
is,0.22437100112438202,0.5330929756164551,0.22065040469169617,0.42745086550712585,0.5823672413825989,0.23193864524364471,0.4854315221309662,0.5823672413825989,0.2068977952003479,0.27805060148239136,0.28837618231773376,0.4087343215942383,0.22961433231830597
transported,0.26581713557243347,0.2528493404388428,0.41884946823120117,0.24132387340068817,0.2550795376300812,0.19269533455371857,0.26284846663475037,0.2550795376300812,0.1285611242055893,0.31795772910118103,0.17293962836265564,0.17294570803642273,0.1354173868894577
from,0.14417976140975952,0.2674213647842407,0.3169066309928894,0.4069952368736267,0.40150508284568787,0.1430368423461914,0.4249346852302551,0.40150508284568787,0.17464053630828857,0.4291878044605255,0.2737620174884796,0.24772962927818298,0.19969791173934937
mother,0.1605299413204193,0.14957599341869354,0.14322255551815033,0.2733205258846283,0.22516992688179016,0.22000692784786224,0.2170739620923996,0.22516992688179016,0.4803858697414398,0.11286037415266037,0.20282095670700073,0.12871408462524414,0.15180644392967224
to,0.2543680965900421,0.3504326641559601,0.2984115183353424,1.0,0.535392165184021,0.18365556001663208,0.41548454761505127,0.535392165184021,0.2287219911813736,0.4062686562538147,0.455847829580307,0.2301892638206482,0.29463258385658264
baby,0.24277520179748535,0.21381798386573792,0.08859284222126007,0.22451195120811462,0.2021849900484085,0.22823785245418549,0.13266463577747345,0.2021849900484085,0.38528263568878174,0.11358512938022614,0.19290755689144135,0.10862505435943604,0.2293778508901596
directly,0.197163388133049,0.322107195854187,0.28976354002952576,0.46690139174461365,0.4502958655357361,0.22760164737701416,0.2998887896537781,0.4502958655357361,0.06454771012067795,0.44075146317481995,0.3618607521057129,0.2692895531654358,0.2187996357679367
across,0.1828659325838089,0.24150612950325012,0.22921055555343628,0.36818596720695496,0.3816230297088623,0.06730884313583374,0.2936134934425354,0.3816230297088623,0.13449908792972565,0.4781998097896576,0.24809791147708893,0.18920910358428955,0.17034576833248138
the,0.25005820393562317,0.40399202704429626,0.34201255440711975,0.535392165184021,1.0,0.24150092899799347,0.733189046382904,1.0,0.19802507758140564,0.44071322679519653,0.42745697498321533,0.32225894927978516,0.22068053483963013
placenta,0.4211616516113281,0.28159666061401367,0.1680244356393814,0.2846689820289612,0.30205047130584717,0.3384203314781189,0.22885462641716003,0.30205047130584717,0.41923728585243225,0.27007609605789185,0.22183673083782196,0.29848921298980713,0.16424551606178284
",",0.16660167276859283,0.4062570035457611,0.27208399772644043,0.44245919585227966,0.4933079481124878,0.24080508947372437,0.4946078956127167,0.4933079481124878,0.19170615077018738,0.3060276508331299,0.3087472915649414,0.24041147530078888,0.31091248989105225
so,0.31399643421173096,0.420413613319397,0.23312468826770782,0.5091881155967712,0.4296516180038452,0.2932787835597992,0.3184450566768646,0.4296516180038452,0.2569149434566498,0.34836921095848083,0.539469838142395,0.40313225984573364,0.43163934350013733
human,0.3610508441925049,0.23456993699073792,0.11160151660442352,0.25612473487854004,0.3103327453136444,0.2593453526496887,0.3083189129829407,0.3103327453136444,0.25774478912353516,0.23601092398166656,0.24243313074111938,0.19582605361938477,0.19748784601688385
babies,0.33964774012565613,0.27349910140037537,0.038767751306295395,0.22118473052978516,0.18801814317703247,0.2553265392780304,0.17336060106754303,0.18801814317703247,0.47809550166130066,0.13149333000183105,0.22988256812095642,0.17465320229530334,0.2044396996498108
have,0.2978176176548004,0.6577680706977844,0.17829863727092743,0.4544740617275238,0.40389683842658997,0.2253752052783966,0.3802283704280853,0.40389683842658997,0.2238365113735199,0.2991202771663666,0.39808809757232666,0.3350207805633545,0.32991164922714233
