,who,was,the,director,of,the,american,geographical,society,in,1914,?
one,0.40083858370780945,0.3752199709415436,0.5514441132545471,0.16514889895915985,0.4999135136604309,0.5514441132545471,0.21827346086502075,0.21710148453712463,0.14336618781089783,0.4129433035850525,0.10578671842813492,0.2673267424106598
key,0.10147488117218018,0.15157482028007507,0.2260027974843979,0.08050889521837234,0.24036972224712372,0.2260027974843979,0.11692462861537933,0.20126917958259583,0.15981076657772064,0.21450091898441315,0.1525929570198059,0.18782930076122284
figure,0.2256491780281067,0.2638653516769409,0.24786046147346497,0.14480124413967133,0.21327486634254456,0.24786046147346497,0.2129027098417282,0.17163312435150146,0.10229746997356415,0.17097173631191254,-0.033634595572948456,0.21107101440429688
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.19124983251094818,0.5696388483047485,0.6662389636039734,0.22871561348438263,0.25889667868614197,0.21229879558086395,1.0,0.10786473751068115,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,1.0,0.19949141144752502,0.733189046382904,1.0,0.24562937021255493,0.3164447844028473,0.2789285480976105,0.6662389636039734,0.04474614933133125,0.22068053483963013
plans,0.22827716171741486,0.2542462646961212,0.30240729451179504,0.18733035027980804,0.2635323703289032,0.30240729451179504,0.07510440051555634,0.131590336561203,0.1835329234600067,0.24845264852046967,0.009475989267230034,0.13513131439685822
for,0.37110671401023865,0.3863949179649353,0.4739971458911896,0.2707504630088806,0.4185989499092102,0.4739971458911896,0.2306184321641922,0.24166621267795563,0.21769006550312042,0.4322226941585541,0.06865810602903366,0.264628142118454
what,0.40942975878715515,0.22111038863658905,0.42745697498321533,0.12868234515190125,0.33290785551071167,0.42745697498321533,0.1909721940755844,0.2645968794822693,0.23231269419193268,0.30808621644973755,0.111264169216156,0.5051238536834717
would,0.3632977604866028,0.41663143038749695,0.4133751392364502,0.12074799090623856,0.3353942930698395,0.4133751392364502,0.16025279462337494,0.17746196687221527,0.16268430650234222,0.30461156368255615,0.1373753845691681,0.37178951501846313
come,0.2822050154209137,0.1758924275636673,0.36020293831825256,0.1426113247871399,0.3194141983985901,0.36020293831825256,0.09117569774389267,0.17812992632389069,0.13942961394786835,0.26272067427635193,0.09245458245277405,0.22318024933338165
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.1698155552148819,0.41548454761505127,0.535392165184021,0.16338081657886505,0.2409864366054535,0.20199917256832123,0.45010748505592346,0.07202267646789551,0.29463258385658264
be,0.3371641933917999,0.42228707671165466,0.4248143136501312,0.11859399080276489,0.33904364705085754,0.4248143136501312,0.13785022497177124,0.17593532800674438,0.17743872106075287,0.3481820821762085,0.20336662232875824,0.3324260413646698
known,0.24757125973701477,0.35203275084495544,0.3624623417854309,0.25316178798675537,0.35814476013183594,0.3624623417854309,0.29350247979164124,0.13621200621128082,0.1497025340795517,0.32641831040382385,0.15088249742984772,0.18314571678638458
as,0.3923053741455078,0.3677520453929901,0.48381632566452026,0.20928587019443512,0.3886612355709076,0.48381632566452026,0.2994234561920166,0.22378993034362793,0.18661245703697205,0.3887844979763031,0.14335927367210388,0.27043893933296204
american,0.3093835413455963,0.31632548570632935,0.24562937021255493,0.3038954436779022,0.22180068492889404,0.24562937021255493,1.0000001192092896,0.11070280522108078,0.1891384869813919,0.22871561348438263,0.03598381206393242,0.18877598643302917
empire,0.18977859616279602,0.30602675676345825,0.32532164454460144,0.16660846769809723,0.30522286891937256,0.32532164454460144,0.13196364045143127,0.20889979600906372,0.24018749594688416,0.24110576510429382,0.04009533300995827,0.14909450709819794
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2737891674041748,0.4946078956127167,0.4933079481124878,0.3048616647720337,0.2952534854412079,0.20629194378852844,0.5201468467712402,0.1163671687245369,0.31091248989105225
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.30621418356895447,0.4069072902202606,0.48711544275283813,0.31632548570632935,0.11450415849685669,0.21627455949783325,0.45514053106307983,-0.00012045619951095432,0.18412111699581146
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.17745283246040344,0.5052502155303955,0.5829201340675354,0.22026167809963226,0.2406260073184967,0.22652459144592285,0.539380669593811,0.07047152519226074,0.23916715383529663
geographer,0.26800820231437683,0.17617066204547882,0.1477777063846588,0.3486045002937317,0.1514570564031601,0.1477777063846588,0.24202708899974823,0.611450731754303,0.27532899379730225,0.16629981994628906,0.07759004831314087,0.1512303203344345
named,0.38541290163993835,0.37528327107429504,0.3521348536014557,0.11758434772491455,0.2820465862751007,0.3521348536014557,0.1894785463809967,0.2230439931154251,0.12846148014068604,0.28130269050598145,0.03530394285917282,0.1297498345375061
isiah,0.286472350358963,0.2796876132488251,0.23417209088802338,0.15731839835643768,0.19676800072193146,0.23417209088802338,0.21432410180568695,0.12670713663101196,0.18537478148937225,0.1366327702999115,0.030066797509789467,0.1942501962184906
bowman,0.34422779083251953,0.31884765625,0.26871487498283386,0.31979405879974365,0.20118556916713715,0.26871487498283386,0.4173125922679901,0.11447548866271973,0.27127715945243835,0.22141125798225403,0.021860318258404732,0.20309707522392273
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.2119152843952179,0.5352458953857422,0.5934505462646484,0.29108086228370667,0.24650725722312927,0.18022798001766205,0.5591574311256409,0.1182432770729065,0.4130953550338745
