,what,causes,rock,extension,?
this,0.5489566326141357,0.26710045337677,0.21980036795139313,0.3017192482948303,0.3155723512172699
is,0.28837618231773376,0.3009743392467499,0.1981455236673355,0.2743138372898102,0.22961433231830597
primarily,0.23722688853740692,0.1404004693031311,0.17984335124492645,0.25622379779815674,0.06029784679412842
accomplished,0.2744372487068176,0.13290537893772125,0.12902115285396576,0.2614213526248932,0.2554141879081726
through,0.23167094588279724,0.2535143196582794,0.149988055229187,0.2850136160850525,0.16913433372974396
normal,0.32813265919685364,0.2564775049686432,0.13677650690078735,0.2019653618335724,0.19617988169193268
faulting,0.2964019775390625,0.3565978407859802,0.2917264997959137,0.23785650730133057,0.13321225345134735
and,0.31309178471565247,0.2964467406272888,0.2808155119419098,0.18303018808364868,0.20544172823429108
through,0.23167094588279724,0.2535143196582794,0.149988055229187,0.2850136160850525,0.16913433372974396
the,0.42745697498321533,0.2518732249736786,0.23786304891109467,0.3090997040271759,0.22068053483963013
ductile,0.25038763880729675,0.3434859812259674,0.26288431882858276,0.13784612715244293,0.18887680768966675
stretching,0.24755911529064178,0.26810285449028015,0.1697801798582077,0.35586774349212646,0.10934048146009445
and,0.31309178471565247,0.2964467406272888,0.2808155119419098,0.18303018808364868,0.20544172823429108
thinning,0.2821233570575714,0.35481128096580505,0.1974056363105774,0.19958709180355072,0.17270860075950623
.,0.3567904531955719,0.26090872287750244,0.24835698306560516,0.2750958800315857,0.4130953550338745
