,what,is,the,name,of,the,residential,treatment,program,the,university,runs,?
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.2910972535610199,0.38761502504348755,0.6251175999641418,0.17965437471866608,0.2374972552061081,0.25667765736579895,0.6251175999641418,0.20301668345928192,0.2526554465293884,0.25732165575027466
operates,0.17323419451713562,0.29712775349617004,0.2663705050945282,0.15024195611476898,0.22910091280937195,0.2663705050945282,0.32905617356300354,0.2088165283203125,0.3127012848854065,0.2663705050945282,0.18956801295280457,0.41775718331336975,0.12270797789096832
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.25597885251045227,0.2350214421749115,0.22986935079097748,1.0,0.263973206281662,0.30832576751708984,0.22068053483963013
university,0.20256435871124268,0.20346471667289734,0.263973206281662,0.1568726748228073,0.30646374821662903,0.263973206281662,0.25259867310523987,0.24164119362831116,0.20264679193496704,0.263973206281662,1.0,0.15604981780052185,0.11887256056070328
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2898116707801819,0.2632577419281006,0.17376001179218292,0.733189046382904,0.30646374821662903,0.22292760014533997,0.1826142966747284
chicago,0.1521448791027069,0.12146236002445221,0.27360326051712036,0.1020326316356659,0.18391016125679016,0.27360326051712036,0.2392803579568863,0.15991663932800293,0.16211402416229248,0.27360326051712036,0.29005804657936096,0.16284847259521484,0.16446958482265472
laboratory,0.20190474390983582,0.21502412855625153,0.19762322306632996,0.13158656656742096,0.23493865132331848,0.19762322306632996,0.25030723214149475,0.3121148943901062,0.2098626345396042,0.19762322306632996,0.3646054267883301,0.07193589955568314,0.07445509731769562
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.12527719140052795,0.265506386756897,0.22905772924423218,0.30171647667884827,0.2115367352962494,0.24719727039337158,0.22905772924423218,0.4070035517215729,0.18934756517410278,0.18349280953407288
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2706909477710724,0.35032153129577637,0.33289089798927307,0.13022510707378387,0.12755551934242249,0.11923244595527649,0.33289089798927307,0.20313534140586853,0.14261752367019653,0.40561532974243164
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.2974657714366913,0.23119685053825378,0.2779408395290375,0.5829201340675354,0.20256656408309937,0.23921579122543335,0.23916715383529663
private,0.16778090596199036,0.1420905888080597,0.18291357159614563,0.09414568543434143,0.18706899881362915,0.18291357159614563,0.360241562128067,0.12402190268039703,0.17900310456752777,0.18291357159614563,0.33786600828170776,0.04245321452617645,0.14389030635356903
day,0.2990210950374603,0.17517195641994476,0.3062323033809662,0.1633823662996292,0.2934032380580902,0.3062323033809662,0.13109317421913147,0.15994122624397278,0.15957534313201904,0.3062323033809662,0.17589150369167328,0.16480694711208344,0.2141837179660797
school,0.18774057924747467,0.19488026201725006,0.22953221201896667,0.15128786861896515,0.2391800880432129,0.22953221201896667,0.26036176085472107,0.19091157615184784,0.267178475856781,0.22953221201896667,0.48676231503486633,0.15187324583530426,0.15091250836849213
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.25737348198890686,0.4185989499092102,0.4739971458911896,0.2557266354560852,0.3059377670288086,0.29441335797309875,0.4739971458911896,0.18573740124702454,0.1882663071155548,0.264628142118454
