,what,shape,are,pyrenoids,?
pyrenoids,0.2458954006433487,0.3559373915195465,0.4052199423313141,1.0,0.22295637428760529
are,0.29724663496017456,0.25119420886039734,1.0,0.4052199423313141,0.24591213464736938
roughly,0.2731170356273651,0.34523484110832214,0.2639496922492981,0.2347828894853592,0.09299357235431671
spherical,0.1481882929801941,0.45617902278900146,0.24994061887264252,0.40708398818969727,0.0753602683544159
and,0.31309178471565247,0.2703090310096741,0.48576638102531433,0.3173755705356598,0.20544172823429108
highly,0.22724121809005737,0.212675079703331,0.3284640908241272,0.24403999745845795,0.1542806625366211
refractive,0.20772241055965424,0.33109167218208313,0.26175615191459656,0.3044629693031311,0.1356421560049057
bodies,0.1688588559627533,0.3033822178840637,0.35380154848098755,0.39663591980934143,0.18285469710826874
which,0.5261979103088379,0.39473384618759155,0.42922598123550415,0.3649875223636627,0.25814583897590637
are,0.29724663496017456,0.25119420886039734,1.0,0.4052199423313141,0.24591213464736938
a,0.3320399522781372,0.32737624645233154,0.265255331993103,0.2546619474887848,0.23916715383529663
site,0.21561308205127716,0.12479324638843536,0.20005904138088226,0.12002509832382202,0.2014765441417694
of,0.33290785551071167,0.2597946226596832,0.39081433415412903,0.3220713138580322,0.1826142966747284
starch,0.23971526324748993,0.3353601098060608,0.3139030635356903,0.4221072196960449,0.1948019117116928
accumulation,0.24889037013053894,0.22329512238502502,0.2279219925403595,0.32640671730041504,0.1650637835264206
in,0.30808621644973755,0.193584606051445,0.3841303884983063,0.24915309250354767,0.20430970191955566
plants,0.25144460797309875,0.25333303213119507,0.35990846157073975,0.42793962359428406,0.1473488062620163
that,0.6297725439071655,0.32968640327453613,0.45265161991119385,0.3161837160587311,0.32716336846351624
contain,0.1832355558872223,0.2257469892501831,0.5326977372169495,0.33105218410491943,0.18853069841861725
them,0.4994642734527588,0.2749699354171753,0.5206625461578369,0.43005722761154175,0.35435691475868225
.,0.3567904531955719,0.267643541097641,0.3452940285205841,0.257334440946579,0.4130953550338745
