,what,building,was,a,gift,from,the,soviet,union,?
after,0.21973377466201782,0.17679904401302338,0.49306565523147583,0.3831600844860077,0.15664812922477722,0.4051513373851776,0.4565047025680542,0.21747809648513794,0.18530848622322083,0.16608688235282898
world,0.21669597923755646,0.23112620413303375,0.3097524344921112,0.22239887714385986,0.16715526580810547,0.22603429853916168,0.33604270219802856,0.2779397964477539,0.24989335238933563,0.17579582333564758
war,0.22516006231307983,0.20358151197433472,0.3560331463813782,0.2368277609348297,0.19890932738780975,0.1811102032661438,0.366199791431427,0.3796025812625885,0.31622445583343506,0.15510529279708862
ii,0.13866674900054932,0.2399820238351822,0.25630512833595276,0.2111874669790268,0.15923434495925903,0.1690160185098648,0.2631464898586273,0.25032731890678406,0.18254952132701874,0.11928234249353409
",",0.3087472915649414,0.2374238669872284,0.45456063747406006,0.427140474319458,0.20268721878528595,0.39760664105415344,0.4933079481124878,0.25194454193115234,0.2362271547317505,0.31091248989105225
under,0.20154598355293274,0.18475623428821564,0.2672741413116455,0.18317826092243195,0.12503543496131897,0.24506589770317078,0.3348022699356079,0.08845987170934677,0.1701658070087433,0.18233340978622437
a,0.3320399522781372,0.2576078176498413,0.4508470594882965,1.0,0.26155462861061096,0.322764128446579,0.5829201340675354,0.19809463620185852,0.18140026926994324,0.23916715383529663
communist,0.1774516999721527,0.15218055248260498,0.2940322756767273,0.2009834200143814,0.0487818568944931,0.21761903166770935,0.24560265243053436,0.5568238496780396,0.4377516508102417,0.13955675065517426
regime,0.17682157456874847,0.13950194418430328,0.28841087222099304,0.20675835013389587,0.057325851172208786,0.17203256487846375,0.23305538296699524,0.36749255657196045,0.2602670192718506,0.15561191737651825
set,0.28954121470451355,0.2806181311607361,0.22985222935676575,0.2540091574192047,0.1825144737958908,0.21245217323303223,0.2927955985069275,0.13828298449516296,0.13430772721767426,0.1698019951581955
up,0.28591108322143555,0.20171710848808289,0.24070115387439728,0.32523053884506226,0.17942672967910767,0.2719550132751465,0.38423117995262146,0.16690897941589355,0.17829470336437225,0.1819818764925003
by,0.2455483376979828,0.20441755652427673,0.4752357602119446,0.32094135880470276,0.20214545726776123,0.3373257517814636,0.4408751428127289,0.18171028792858124,0.14484883844852448,0.17966607213020325
the,0.42745697498321533,0.3159640431404114,0.48711544275283813,0.5829201340675354,0.23132675886154175,0.40150508284568787,1.0,0.2312941700220108,0.24421639740467072,0.22068053483963013
conquering,0.3025504946708679,0.18240483105182648,0.25261837244033813,0.1757599264383316,0.2427511066198349,0.20443210005760193,0.37138304114341736,0.2593681812286377,0.29827505350112915,0.16821224987506866
soviets,0.21462668478488922,0.17441248893737793,0.29153022170066833,0.18308846652507782,0.15074394643306732,0.21717241406440735,0.2880597412586212,0.8054373264312744,0.4966154098510742,0.16199669241905212
