,what,do,platyctenida,use,their,pharynx,for,?
they,0.4431931674480438,0.4667694866657257,0.2814597189426422,0.39895978569984436,0.7104025483131409,0.29313763976097107,0.3466525673866272,0.2753053903579712
cling,0.2424720972776413,0.23421348631381989,0.21083950996398926,0.3054448664188385,0.3573700487613678,0.41627877950668335,0.27660244703292847,0.2283654361963272
to,0.455847829580307,0.38876664638519287,0.14260601997375488,0.47261837124824524,0.44619059562683105,0.24158890545368195,0.4451248347759247,0.29463258385658264
and,0.31309178471565247,0.276123583316803,0.21945859491825104,0.34145063161849976,0.45114588737487793,0.2805424928665161,0.5064792633056641,0.20544172823429108
creep,0.26688215136528015,0.22944998741149902,0.24769116938114166,0.2628709077835083,0.2915601432323456,0.31675639748573303,0.22384199500083923,0.2452622950077057
on,0.34226128458976746,0.3025321364402771,0.1767856329679489,0.2776605486869812,0.3598666191101074,0.22266605496406555,0.36199691891670227,0.2714994251728058
surfaces,0.20051200687885284,0.20836758613586426,0.36357778310775757,0.2983815371990204,0.2795102596282959,0.43277597427368164,0.18664486706256866,0.15262344479560852
by,0.2455483376979828,0.1481526494026184,0.14340165257453918,0.21048003435134888,0.3242124021053314,0.16963855922222137,0.3248702883720398,0.17966607213020325
everting,0.35225236415863037,0.31816184520721436,0.1702563464641571,0.32488059997558594,0.2965089678764343,0.2588734030723572,0.39157530665397644,0.36680448055267334
the,0.42745697498321533,0.30239659547805786,0.22278061509132385,0.34342584013938904,0.516537070274353,0.3495643436908722,0.4739971458911896,0.22068053483963013
pharynx,0.24592235684394836,0.29028260707855225,0.4270135760307312,0.2342563420534134,0.3081569969654083,1.0,0.15765197575092316,0.19402775168418884
and,0.31309178471565247,0.276123583316803,0.21945859491825104,0.34145063161849976,0.45114588737487793,0.2805424928665161,0.5064792633056641,0.20544172823429108
using,0.27984681725502014,0.31007856130599976,0.15324349701404572,0.7256444692611694,0.28169015049934387,0.2625558078289032,0.3806014060974121,0.2804589569568634
it,0.45803478360176086,0.337066113948822,0.23364976048469543,0.34436097741127014,0.3067983090877533,0.2676027715206146,0.32171204686164856,0.25732165575027466
as,0.31749409437179565,0.38329678773880005,0.17808565497398376,0.3453201949596405,0.29218852519989014,0.1857629120349884,0.44774648547172546,0.27043893933296204
a,0.3320399522781372,0.26237669587135315,0.2670738399028778,0.30793872475624084,0.29698723554611206,0.2756940722465515,0.44038116931915283,0.23916715383529663
muscular,0.23384989798069,0.23053404688835144,0.3669292628765106,0.19603531062602997,0.2924134433269501,0.5298880338668823,0.16219711303710938,0.14019422233104706
``,0.008517155423760414,0.06628920882940292,0.13763442635536194,0.098173126578331,0.05465886741876602,0.1508970707654953,0.01270448137074709,0.0685480609536171
foot,0.1961006075143814,0.10998792946338654,0.24090339243412018,0.20083212852478027,0.16277123987674713,0.2827073931694031,0.20296736061573029,0.13330338895320892
'',0.08143015950918198,-0.00043653504690155387,0.05545390024781227,0.09741680324077606,0.011550518684089184,-0.08641981333494186,-0.04479556903243065,0.018684765323996544
.,0.3567904531955719,0.3613996207714081,0.28028279542922974,0.3711656630039215,0.34427863359451294,0.2616819143295288,0.4726039469242096,0.4130953550338745
