,what,type,of,number,theory,utilizes,and,studies,prime,ideals,?
prime,0.15586113929748535,0.09346602857112885,0.23935265839099884,0.2556258738040924,0.15658484399318695,0.13074885308742523,0.21528048813343048,0.14700616896152496,1.0,0.11902778595685959,0.11276303976774216
ideals,0.28476682305336,0.11580982059240341,0.3695777654647827,0.2073623090982437,0.3738692104816437,0.203632190823555,0.3143816590309143,0.2729072868824005,0.11902778595685959,1.0,0.05933374539017677
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2535701394081116,0.18095813691616058,0.19048044085502625,0.6633074283599854,0.26373082399368286,0.2565026581287384,0.19077056646347046,0.31091248989105225
which,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.3661547005176544,0.3127335011959076,0.299567312002182,0.506277859210968,0.21723276376724243,0.1615363508462906,0.27230361104011536,0.25814583897590637
generalize,0.31969913840293884,0.3319782614707947,0.2644408345222473,0.2917324900627136,0.36378031969070435,0.3763800263404846,0.253155916929245,0.2623400092124939,0.2259465605020523,0.29559990763664246,0.2637602388858795
prime,0.15586113929748535,0.09346602857112885,0.23935265839099884,0.2556258738040924,0.15658484399318695,0.13074885308742523,0.21528048813343048,0.14700616896152496,1.0,0.11902778595685959,0.11276303976774216
elements,0.2152351289987564,0.2528488039970398,0.23613712191581726,0.23878861963748932,0.26775962114334106,0.29645878076553345,0.2731180787086487,0.2761668264865875,0.10836401581764221,0.2950468361377716,0.15222592651844025
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.3024539053440094,0.16955126821994781,0.18042942881584167,0.4954058527946472,0.30442532896995544,0.18097394704818726,0.2416277676820755,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.35145696997642517,0.2277156263589859,0.2008402943611145,0.5171257257461548,0.22738903760910034,0.19960100948810577,0.3200533390045166,0.22068053483963013
sense,0.3673125207424164,0.18145017325878143,0.19666431844234467,0.1919899880886078,0.26685085892677307,0.2349698692560196,0.2834228277206421,0.18653997778892517,0.10560635477304459,0.33547890186309814,0.25268280506134033
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.32951247692108154,0.36183905601501465,0.2593414783477783,0.4731321930885315,0.26255905628204346,0.18163643777370453,0.29820695519447327,0.32716336846351624
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.35145696997642517,0.2277156263589859,0.2008402943611145,0.5171257257461548,0.22738903760910034,0.19960100948810577,0.3200533390045166,0.22068053483963013
principal,0.1582305133342743,0.1250459849834442,0.25824129581451416,0.20066975057125092,0.22763946652412415,0.26986441016197205,0.2770732343196869,0.1763298213481903,0.20747418701648712,0.22872835397720337,0.10016445070505142
ideal,0.31059911847114563,0.13582223653793335,0.2763390839099884,0.2376459240913391,0.34078192710876465,0.2616698741912842,0.24742640554904938,0.13696932792663574,0.09945301711559296,0.6696335077285767,0.13358637690544128
generated,0.2341722995042801,0.2759529650211334,0.27549460530281067,0.24064089357852936,0.2356955111026764,0.3903822600841522,0.20714879035949707,0.20461247861385345,0.16835470497608185,0.18899527192115784,0.28358349204063416
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.2551532983779907,0.17579947412014008,0.15670573711395264,0.4289871156215668,0.17011062800884247,0.1702890843153,0.2163466364145279,0.17966607213020325
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2992287278175354,0.2233850657939911,0.2694809138774872,0.3739250600337982,0.24775946140289307,0.17998681962490082,0.27434077858924866,0.23916715383529663
prime,0.15586113929748535,0.09346602857112885,0.23935265839099884,0.2556258738040924,0.15658484399318695,0.13074885308742523,0.21528048813343048,0.14700616896152496,1.0,0.11902778595685959,0.11276303976774216
element,0.24694041907787323,0.3095826804637909,0.21102571487426758,0.2513018548488617,0.3027603328227997,0.31982412934303284,0.16833719611167908,0.22085992991924286,0.10478042811155319,0.23668254911899567,0.18393386900424957
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.22390379011631012,0.19279582798480988,0.24650165438652039,0.3859752118587494,0.2583865225315094,0.16680827736854553,0.2155078649520874,0.22961433231830597
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2992287278175354,0.2233850657939911,0.2694809138774872,0.3739250600337982,0.24775946140289307,0.17998681962490082,0.27434077858924866,0.23916715383529663
prime,0.15586113929748535,0.09346602857112885,0.23935265839099884,0.2556258738040924,0.15658484399318695,0.13074885308742523,0.21528048813343048,0.14700616896152496,1.0,0.11902778595685959,0.11276303976774216
ideal,0.31059911847114563,0.13582223653793335,0.2763390839099884,0.2376459240913391,0.34078192710876465,0.2616698741912842,0.24742640554904938,0.13696932792663574,0.09945301711559296,0.6696335077285767,0.13358637690544128
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2535701394081116,0.18095813691616058,0.19048044085502625,0.6633074283599854,0.26373082399368286,0.2565026581287384,0.19077056646347046,0.31091248989105225
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.3537501394748688,0.1918308287858963,0.24286103248596191,0.48576638102531433,0.2574615776538849,0.12279369682073593,0.21367430686950684,0.24591213464736938
an,0.2821882665157318,0.21485474705696106,0.32280945777893066,0.1875157356262207,0.15698443353176117,0.2044743150472641,0.2838519215583801,0.1794794648885727,0.08209051191806793,0.20246995985507965,0.19793890416622162
important,0.31164905428886414,0.215251624584198,0.43301743268966675,0.23513208329677582,0.2279512584209442,0.18607783317565918,0.37549954652786255,0.24854861199855804,0.11584660410881042,0.32804882526397705,0.17812499403953552
tool,0.2978120744228363,0.2121393084526062,0.15587300062179565,0.16537638008594513,0.198606476187706,0.3060548007488251,0.20303019881248474,0.19758132100105286,0.11197146028280258,0.13857954740524292,0.2828463613986969
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.28545793890953064,0.1765792816877365,0.2557903230190277,1.0,0.30504533648490906,0.21528048813343048,0.3143816590309143,0.20544172823429108
object,0.25733083486557007,0.23129773139953613,0.1993778944015503,0.22513848543167114,0.2859797775745392,0.2941449284553528,0.17470528185367584,0.15689189732074738,0.1009378656744957,0.2751299738883972,0.19573666155338287
