,who,won,the,nobel,prize,in,1905,?
it,0.2868398427963257,0.20621849596500397,0.6251175999641418,0.12466789036989212,0.13616712391376495,0.5130809545516968,0.0792640745639801,0.25732165575027466
was,0.3318818509578705,0.35383549332618713,0.48711544275283813,0.2319665551185608,0.2402031123638153,0.45514053106307983,0.07948453724384308,0.18412111699581146
not,0.369414746761322,0.20122696459293365,0.4310511648654938,0.20937080681324005,0.17563177645206451,0.3403114080429077,0.12418830394744873,0.41942933201789856
until,0.2530071437358856,0.23336875438690186,0.37191009521484375,0.1266525834798813,0.13222363591194153,0.38338494300842285,0.17105410993099213,0.20304496586322784
robert,0.2748492956161499,0.21161191165447235,0.2257954627275467,0.23964105546474457,0.23789647221565247,0.22155319154262543,0.014062703587114811,0.11293095350265503
koch,0.19306212663650513,0.11505172401666641,0.21238113939762115,0.2053881585597992,0.1951059252023697,0.20945636928081512,0.10825324803590775,0.2019832581281662
's,0.05599616840481758,-0.07419146597385406,-0.01540423184633255,-0.1214783638715744,-0.10169786214828491,-0.037580832839012146,0.07165787369012833,-0.023395681753754616
1891,0.28214749693870544,0.375301331281662,0.20667614042758942,0.17650838196277618,0.19706106185913086,0.14678269624710083,0.04704692214727402,0.17882704734802246
proofs,0.18821421265602112,0.1360524296760559,0.18933646380901337,0.2690346837043762,0.23227685689926147,0.17666825652122498,0.0013625419232994318,0.2640763521194458
",",0.3365725874900818,0.35968565940856934,0.4933079481124878,0.29036787152290344,0.28670501708984375,0.5201468467712402,0.1486729085445404,0.31091248989105225
for,0.37110671401023865,0.3782569169998169,0.4739971458911896,0.2427167296409607,0.2797470688819885,0.4322226941585541,0.10220088809728622,0.264628142118454
which,0.3688730001449585,0.15727952122688293,0.6521818041801453,0.15900138020515442,0.18286126852035522,0.4840516746044159,0.09077487140893936,0.25814583897590637
he,0.5500732064247131,0.379067599773407,0.4571082592010498,0.14332599937915802,0.18571345508098602,0.41690486669540405,0.10849913954734802,0.2089974731206894
was,0.3318818509578705,0.35383549332618713,0.48711544275283813,0.2319665551185608,0.2402031123638153,0.45514053106307983,0.07948453724384308,0.18412111699581146
awarded,0.22917822003364563,0.5047818422317505,0.24971646070480347,0.48035287857055664,0.583318293094635,0.25735601782798767,0.0747072622179985,0.1431703418493271
a,0.36608949303627014,0.22534137964248657,0.5829201340675354,0.17441873252391815,0.189753457903862,0.539380669593811,0.015643341466784477,0.23916715383529663
nobel,0.23225803673267365,0.36583611369132996,0.1909446120262146,1.0,0.8436678051948547,0.19903117418289185,0.07670675218105316,0.15008176863193512
prize,0.20312342047691345,0.4721262753009796,0.18969248235225677,0.8436678051948547,0.9999999403953552,0.21274791657924652,0.07146001607179642,0.14158497750759125
in,0.2792111933231354,0.3280489146709442,0.6662389636039734,0.19903117418289185,0.21274791657924652,1.0,0.11678749322891235,0.20430970191955566
1905,0.19621612131595612,0.09795717149972916,0.11463959515094757,0.07670675218105316,0.07146001607179642,0.11678749322891235,0.9999998807907104,0.1770307421684265
",",0.3365725874900818,0.35968565940856934,0.4933079481124878,0.29036787152290344,0.28670501708984375,0.5201468467712402,0.1486729085445404,0.31091248989105225
that,0.45444270968437195,0.1869245320558548,0.5473989248275757,0.20385654270648956,0.18004201352596283,0.435920387506485,0.12681837379932404,0.32716336846351624
microorganisms,0.23996151983737946,0.0845031663775444,0.2374553233385086,0.34807637333869934,0.2731882929801941,0.20953990519046783,0.0480852834880352,0.16060204803943634
were,0.3188014328479767,0.26106932759284973,0.3906462490558624,0.1317272037267685,0.12308207899332047,0.3815755248069763,0.2059388905763626,0.17890112102031708
confirmed,0.22889703512191772,0.19740712642669678,0.2951974868774414,0.20590651035308838,0.13005563616752625,0.2745530903339386,0.07991977035999298,0.20580808818340302
as,0.3923053741455078,0.21471917629241943,0.48381632566452026,0.1452743113040924,0.15426379442214966,0.3887844979763031,0.05629478394985199,0.27043893933296204
the,0.3733934462070465,0.29432493448257446,1.0,0.1909446120262146,0.18969248235225677,0.6662389636039734,0.11463959515094757,0.22068053483963013
cause,0.1876615583896637,0.155868262052536,0.2551237642765045,0.22415538132190704,0.16425274312496185,0.24822883307933807,0.026549071073532104,0.240532785654068
of,0.2827862501144409,0.20832067728042603,0.733189046382904,0.20963376760482788,0.2154514491558075,0.5696388483047485,0.08918522298336029,0.1826142966747284
infectious,0.18705257773399353,0.16364896297454834,0.24809768795967102,0.2578882575035095,0.2323596179485321,0.32221463322639465,0.10165603458881378,0.14836658537387848
disease,0.24616138637065887,0.16825127601623535,0.22720423340797424,0.206349179148674,0.20411476492881775,0.2769028842449188,0.14945830404758453,0.16159942746162415
.,0.3541337847709656,0.3011801838874817,0.5934505462646484,0.2409123331308365,0.24712836742401123,0.5591574311256409,0.13564594089984894,0.4130953550338745
