,what,came,into,force,after,the,new,constitution,was,herald,?
as,0.31749409437179565,0.20288845896720886,0.24094121158123016,0.19216643273830414,0.3014480769634247,0.48381632566452026,0.24585270881652832,0.21920880675315857,0.3677520453929901,0.16273565590381622,0.27043893933296204
of,0.33290785551071167,0.3201526999473572,0.32255905866622925,0.27094775438308716,0.3867455720901489,0.733189046382904,0.343457967042923,0.3222753703594208,0.4069072902202606,0.27138185501098633,0.1826142966747284
that,0.6297725439071655,0.31804272532463074,0.3239944875240326,0.26810982823371887,0.373811811208725,0.5473989248275757,0.29177987575531006,0.28390300273895264,0.33670201897621155,0.1706041395664215,0.32716336846351624
day,0.2990210950374603,0.2767624258995056,0.19242669641971588,0.14770318567752838,0.28449514508247375,0.3062323033809662,0.2123481184244156,0.2897643744945526,0.24314451217651367,0.15768691897392273,0.2141837179660797
",",0.3087472915649414,0.3049119710922241,0.2826121151447296,0.22091743350028992,0.38860568404197693,0.4933079481124878,0.36073189973831177,0.2582484483718872,0.45456063747406006,0.27830228209495544,0.31091248989105225
the,0.42745697498321533,0.39390382170677185,0.39493247866630554,0.2800885736942291,0.4565047025680542,1.0,0.3845241069793701,0.3381718397140503,0.48711544275283813,0.265569806098938,0.22068053483963013
new,0.2130378633737564,0.1798848658800125,0.2611604928970337,0.17100989818572998,0.2620960772037506,0.3845241069793701,0.9999999403953552,0.2695517838001251,0.2748313844203949,0.330066442489624,0.14782847464084625
constitution,0.26995089650154114,0.16406364738941193,0.21278494596481323,0.27293169498443604,0.2131177932024002,0.3381718397140503,0.2695517838001251,1.0000001192092896,0.2620309591293335,0.2398107945919037,0.23706454038619995
heralding,0.2402108907699585,0.14892145991325378,0.14164239168167114,0.11608908325433731,0.13968980312347412,0.3188842236995697,0.2843836545944214,0.2481442540884018,0.2637174725532532,0.7512754797935486,0.21333374083042145
the,0.42745697498321533,0.39390382170677185,0.39493247866630554,0.2800885736942291,0.4565047025680542,1.0,0.3845241069793701,0.3381718397140503,0.48711544275283813,0.265569806098938,0.22068053483963013
second,0.19948028028011322,0.2404126524925232,0.19304557144641876,0.2222973257303238,0.3736267685890198,0.4620301127433777,0.2587158977985382,0.17448566854000092,0.3858029544353485,0.12148747593164444,0.17239587008953094
republic,0.18626701831817627,0.20800060033798218,0.1701892614364624,0.18038378655910492,0.21343305706977844,0.2862427830696106,0.16310979425907135,0.37038078904151917,0.21385665237903595,0.19705645740032196,0.16880398988723755
came,0.2728535234928131,1.0,0.2940423786640167,0.12000163644552231,0.38700416684150696,0.39390382170677185,0.1798848658800125,0.16406364738941193,0.4994563162326813,0.19782978296279907,0.1739392727613449
into,0.2180619090795517,0.2940423786640167,1.0,0.1669553965330124,0.36954155564308167,0.39493247866630554,0.2611604928970337,0.21278494596481323,0.2322220653295517,0.10090956836938858,0.15662476420402527
force,0.16915984451770782,0.12000163644552231,0.1669553965330124,1.0000001192092896,0.1923707127571106,0.2800885736942291,0.17100989818572998,0.27293169498443604,0.20879842340946198,0.11024264246225357,0.1650998443365097
.,0.3567904531955719,0.26265060901641846,0.26250120997428894,0.2783275842666626,0.35870397090911865,0.5934505462646484,0.35031336545944214,0.2279142290353775,0.40146201848983765,0.21601350605487823,0.4130953550338745
