,how,many,nations,contain,``,amazonas,'',in,their,names,?
the,0.33890387415885925,0.4335206151008606,0.3506215214729309,0.26383090019226074,0.029072100296616554,0.2979772388935089,0.041273195296525955,0.6662389636039734,0.516537070274353,0.27965226769447327,0.22068053483963013
majority,0.20073412358760834,0.3566230833530426,0.25134116411209106,0.19595789909362793,0.12641161680221558,0.2037375420331955,-0.035316724330186844,0.2563854157924652,0.2573463022708893,0.11026330292224884,0.220119908452034
of,0.2480744868516922,0.37253960967063904,0.27521562576293945,0.30574339628219604,0.06780257821083069,0.3006817102432251,0.13035868108272552,0.5696388483047485,0.4329940676689148,0.2515542805194855,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.3506215214729309,0.26383090019226074,0.029072100296616554,0.2979772388935089,0.041273195296525955,0.6662389636039734,0.516537070274353,0.27965226769447327,0.22068053483963013
forest,0.07947511225938797,0.19294719398021698,0.14857274293899536,0.12040719389915466,-0.01913582719862461,0.2758083939552307,-0.02724689431488514,0.24136987328529358,0.13646233081817627,0.13959021866321564,0.1214437186717987
is,0.22544461488723755,0.2649032473564148,0.19151805341243744,0.31030410528182983,0.058766357600688934,0.26176270842552185,0.0793738141655922,0.5394441485404968,0.2101074606180191,0.21354545652866364,0.22961433231830597
contained,0.20294219255447388,0.27052515745162964,0.14777277410030365,0.7515508532524109,-0.09330432116985321,0.152784526348114,0.07141759991645813,0.3168308436870575,0.26851069927215576,0.15273407101631165,0.171995609998703
within,0.24755704402923584,0.2613624930381775,0.24451209604740143,0.36643797159194946,0.11752022802829742,0.1438390016555786,-0.028991393744945526,0.40576374530792236,0.2749227285385132,0.18679019808769226,0.1870293766260147
brazil,0.12747052311897278,0.24294866621494293,0.18917173147201538,0.11557886004447937,0.008763361722230911,0.6164700388908386,-0.059233035892248154,0.23529648780822754,0.12002179026603699,0.06011756882071495,0.14306876063346863
",",0.22659391164779663,0.40610817074775696,0.24394330382347107,0.24384500086307526,0.09681109338998795,0.2776586711406708,-0.037358131259679794,0.5201468467712402,0.3045167922973633,0.2669545114040375,0.31091248989105225
with,0.3525622487068176,0.35744401812553406,0.2591147720813751,0.3116915822029114,0.08974023163318634,0.20909704267978668,0.07907696813344955,0.4080928862094879,0.4258328378200531,0.21162480115890503,0.2433311939239502
