,in,what,month,and,year,was,the,as-258,scheduled,to,launch,?
its,0.3793783485889435,0.30393704771995544,0.16083824634552002,0.3841775357723236,0.15338382124900818,0.3518870174884796,0.559237003326416,0.10677800327539444,0.23476426303386688,0.3691340684890747,0.2549111843109131,0.15103481709957123
saturn,0.16002382338047028,0.12153393030166626,0.17996756732463837,0.18160289525985718,0.25959208607673645,0.24932558834552765,0.24189656972885132,0.1570698618888855,0.18859931826591492,0.18787172436714172,0.3429482877254486,0.1619711071252823
ib,0.11213688552379608,0.13645219802856445,0.1787160038948059,0.18893977999687195,0.12051096558570862,0.12603223323822021,0.14590691030025482,0.23175084590911865,0.18780285120010376,0.13712158799171448,0.24724899232387543,0.23230938613414764
was,0.45514053106307983,0.22111038863658905,0.25208011269569397,0.3740963041782379,0.3209837079048157,1.0000001192092896,0.48711544275283813,0.14027386903762817,0.28737300634384155,0.3636345863342285,0.22367219626903534,0.18412111699581146
allocated,0.2639060914516449,0.2210150808095932,0.1638338416814804,0.27311187982559204,0.1108415275812149,0.19672416150569916,0.35371720790863037,0.029727507382631302,0.27184808254241943,0.2885535657405853,0.1854834407567978,0.17195001244544983
to,0.45010748505592346,0.455847829580307,0.24505755305290222,0.48971283435821533,0.23523004353046417,0.3636345863342285,0.535392165184021,0.2262529879808426,0.25710105895996094,1.0,0.25276505947113037,0.29463258385658264
the,0.6662389636039734,0.42745697498321533,0.2821349799633026,0.5171257257461548,0.3609684407711029,0.48711544275283813,1.0,0.17412622272968292,0.23960356414318085,0.535392165184021,0.2628649175167084,0.22068053483963013
dual,0.1443561315536499,0.19368243217468262,0.054451894015073776,0.2248772829771042,0.12432562559843063,0.11013288050889969,0.18420051038265228,0.19283713400363922,0.12218912690877914,0.15537963807582855,0.045131757855415344,0.14500975608825684
mission,0.2224319875240326,0.2317502647638321,0.17682379484176636,0.16932862997055054,0.1476016789674759,0.20951420068740845,0.22673439979553223,0.2130030244588852,0.10290086269378662,0.26700642704963684,0.4293753504753113,0.19506393373012543
",",0.5201468467712402,0.3087472915649414,0.24291303753852844,0.6633074283599854,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.17582957446575165,0.2531873285770416,0.44245919585227966,0.19433410465717316,0.31091248989105225
now,0.3619694113731384,0.4903225302696228,0.17812708020210266,0.35309651494026184,0.1497349739074707,0.35876134037971497,0.38266420364379883,0.12051332741975784,0.22267845273017883,0.3925153911113739,0.12570010125637054,0.29641881585121155
redesignated,0.22135327756404877,0.13557083904743195,0.22253255546092987,0.13649411499500275,0.21393023431301117,0.29087385535240173,0.2596462666988373,0.17226025462150574,0.29173263907432556,0.23339490592479706,0.3085871934890747,0.2064211070537567
as-205/208,0.09860991686582565,0.25526300072669983,0.3879645764827728,0.14411035180091858,0.27276355028152466,0.10855025798082352,0.19282132387161255,0.5732030272483826,0.18290111422538757,0.21464380621910095,0.21964026987552643,0.3086338937282562
or,0.3586423695087433,0.33867141604423523,0.23960383236408234,0.4713204801082611,0.21137036383152008,0.2330796718597412,0.4174870550632477,0.21049290895462036,0.13640624284744263,0.38921234011650085,0.1656630039215088,0.32389625906944275
as-258,0.11518184095621109,0.1684066355228424,0.24688397347927094,0.15157777070999146,0.2401699274778366,0.14027386903762817,0.17412622272968292,1.0000001192092896,0.11919969320297241,0.2262529879808426,0.2610510587692261,0.20682428777217865
",",0.5201468467712402,0.3087472915649414,0.24291303753852844,0.6633074283599854,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.17582957446575165,0.2531873285770416,0.44245919585227966,0.19433410465717316,0.31091248989105225
planned,0.2658644914627075,0.21141068637371063,0.22196480631828308,0.28036394715309143,0.1802033931016922,0.3590250015258789,0.3010992109775543,0.12988580763339996,0.39223209023475647,0.309917151927948,0.39902910590171814,0.16188396513462067
for,0.4322226941585541,0.3017193675041199,0.23262934386730194,0.5064792633056641,0.29294124245643616,0.3863949179649353,0.4739971458911896,0.1714508831501007,0.18816711008548737,0.4451248347759247,0.25149083137512207,0.264628142118454
august,0.24307909607887268,0.2305731326341629,0.3139227330684662,0.2596009075641632,0.29198065400123596,0.42620858550071716,0.22689028084278107,0.15369997918605804,0.24849608540534973,0.2269229143857956,0.1777748465538025,0.3006744682788849
1967,0.004017085302621126,-0.0218155886977911,-0.07014195621013641,-0.056995928287506104,0.027806339785456657,0.059212569147348404,-0.012038951739668846,-0.018214156851172447,-0.14353510737419128,-0.0018660398200154305,-0.10934481024742126,0.017933469265699387
.,0.5591574311256409,0.3567904531955719,0.25738951563835144,0.588965117931366,0.32538118958473206,0.40146201848983765,0.5934505462646484,0.23938286304473877,0.19395571947097778,0.4645031690597534,0.20541822910308838,0.4130953550338745
