,for,most,organisms,",",what,is,the,dominant,system,of,defense,?
the,0.4739971458911896,0.47635307908058167,0.22463196516036987,0.4933079481124878,0.42745697498321533,0.5823672413825989,1.0,0.3743239641189575,0.3233085572719574,0.733189046382904,0.2604767382144928,0.22068053483963013
innate,0.20307894051074982,0.2190636694431305,0.44892990589141846,0.16148243844509125,0.2683543860912323,0.1780463606119156,0.2196919023990631,0.26948949694633484,0.3689802289009094,0.255485475063324,0.38780567049980164,0.16386382281780243
immune,0.1448224037885666,0.21448755264282227,0.3922001123428345,0.15102852880954742,0.2410416603088379,0.2092347890138626,0.21364226937294006,0.17827913165092468,0.3962631821632385,0.16620753705501556,0.3479399085044861,0.16080476343631744
system,0.2630598843097687,0.1998981088399887,0.2424149215221405,0.18439900875091553,0.23557309806346893,0.2282046526670456,0.3233085572719574,0.199202761054039,1.0000001192092896,0.25597915053367615,0.15304578840732574,0.15556083619594574
is,0.43268078565597534,0.41165053844451904,0.1773757040500641,0.4691906273365021,0.28837618231773376,1.0,0.5823672413825989,0.2622844874858856,0.2282046526670456,0.4854315221309662,0.17166511714458466,0.22961433231830597
the,0.4739971458911896,0.47635307908058167,0.22463196516036987,0.4933079481124878,0.42745697498321533,0.5823672413825989,1.0,0.3743239641189575,0.3233085572719574,0.733189046382904,0.2604767382144928,0.22068053483963013
dominant,0.21235959231853485,0.35191428661346436,0.3021993339061737,0.23045329749584198,0.21783894300460815,0.2622844874858856,0.3743239641189575,1.0000001192092896,0.199202761054039,0.3018357455730438,0.14871741831302643,0.07625212520360947
system,0.2630598843097687,0.1998981088399887,0.2424149215221405,0.18439900875091553,0.23557309806346893,0.2282046526670456,0.3233085572719574,0.199202761054039,1.0000001192092896,0.25597915053367615,0.15304578840732574,0.15556083619594574
of,0.4185989499092102,0.4178851246833801,0.23870134353637695,0.4946078956127167,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3018357455730438,0.25597915053367615,1.0,0.27720823884010315,0.1826142966747284
host,0.2458597868680954,0.2599598467350006,0.24273774027824402,0.26840344071388245,0.12779991328716278,0.18300022184848785,0.26909032464027405,0.214297816157341,0.18655748665332794,0.1709926575422287,0.1850162148475647,0.1021634042263031
