,what,is,often,misunderstood,as,the,cause,of,matter,rigidity,?
it,0.45803478360176086,0.6328473687171936,0.3385609984397888,0.36341696977615356,0.4461488723754883,0.6251175999641418,0.26461511850357056,0.38761502504348755,0.30816566944122314,0.22636674344539642,0.25732165575027466
is,0.28837618231773376,1.0,0.3856629431247711,0.300585001707077,0.43216490745544434,0.5823672413825989,0.218277707695961,0.4854315221309662,0.2508554756641388,0.2465856522321701,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.3930865228176117,0.30075618624687195,0.39550232887268066,0.5829201340675354,0.2715701162815094,0.5052502155303955,0.25967463850975037,0.25333544611930847,0.23916715383529663
common,0.19989867508411407,0.2952355444431305,0.4435911774635315,0.28004544973373413,0.2140667736530304,0.2705984115600586,0.30202189087867737,0.2949881851673126,0.1733497679233551,0.2830440402030945,0.20434872806072235
misconception,0.3791692852973938,0.33160698413848877,0.34293946623802185,0.48474547266960144,0.2937770187854767,0.270608127117157,0.3499149978160858,0.2795083820819855,0.36702853441238403,0.41022980213165283,0.3021541237831116
to,0.455847829580307,0.42745086550712585,0.4351843297481537,0.29236891865730286,0.42092081904411316,0.535392165184021,0.3172815442085266,0.41548454761505127,0.27089571952819824,0.2602946162223816,0.29463258385658264
ascribe,0.2805919945240021,0.1824004203081131,0.3649021089076996,0.24629361927509308,0.24045535922050476,0.21600580215454102,0.24966765940189362,0.22229506075382233,0.22010213136672974,0.2832750082015991,0.24891336262226105
the,0.42745697498321533,0.5823672413825989,0.38004449009895325,0.2757038176059723,0.48381632566452026,1.0,0.2551237642765045,0.733189046382904,0.2957161068916321,0.2413882315158844,0.22068053483963013
stiffness,0.26625362038612366,0.21647614240646362,0.4060323238372803,0.22888924181461334,0.23329393565654755,0.24603256583213806,0.47063174843788147,0.2556358873844147,0.2987697422504425,0.6432609558105469,0.15242542326450348
and,0.31309178471565247,0.3859752118587494,0.42465832829475403,0.22873345017433167,0.49487000703811646,0.5171257257461548,0.2858448028564453,0.5116966962814331,0.26431259512901306,0.24335427582263947,0.20544172823429108
rigidity,0.2756235599517822,0.2465856522321701,0.3711177110671997,0.2570382058620453,0.19333969056606293,0.2413882315158844,0.33498474955558777,0.2539977729320526,0.2918113172054291,1.0000001192092896,0.15990972518920898
of,0.33290785551071167,0.4854315221309662,0.3351972997188568,0.18082661926746368,0.3886612355709076,0.733189046382904,0.25979894399642944,1.0,0.2804143726825714,0.2539977729320526,0.1826142966747284
solid,0.2455693930387497,0.22751952707767487,0.25482648611068726,0.22806744277477264,0.21379776298999786,0.21678750216960907,0.19314797222614288,0.23000986874103546,0.35876724123954773,0.3615047037601471,0.2297065705060959
matter,0.41697224974632263,0.2508554756641388,0.2690221965312958,0.3256010115146637,0.2596532106399536,0.2957161068916321,0.3062663674354553,0.2804143726825714,0.9999999403953552,0.2918113172054291,0.269619345664978
to,0.455847829580307,0.42745086550712585,0.4351843297481537,0.29236891865730286,0.42092081904411316,0.535392165184021,0.3172815442085266,0.41548454761505127,0.27089571952819824,0.2602946162223816,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,0.38004449009895325,0.2757038176059723,0.48381632566452026,1.0,0.2551237642765045,0.733189046382904,0.2957161068916321,0.2413882315158844,0.22068053483963013
repulsion,0.23687821626663208,0.13979318737983704,0.2566128671169281,0.19575347006320953,0.22187739610671997,0.2441996932029724,0.3158269226551056,0.21611708402633667,0.21569094061851501,0.3702293038368225,0.11726266890764236
of,0.33290785551071167,0.4854315221309662,0.3351972997188568,0.18082661926746368,0.3886612355709076,0.733189046382904,0.25979894399642944,1.0,0.2804143726825714,0.2539977729320526,0.1826142966747284
like,0.4320242702960968,0.29710376262664795,0.46653681993484497,0.3253902494907379,0.4175155460834503,0.32912567257881165,0.31871506571769714,0.3244853615760803,0.32708677649497986,0.26337331533432007,0.3268813192844391
charges,0.17791177332401276,0.16845335066318512,0.1750345677137375,0.13370086252689362,0.14219383895397186,0.1916651725769043,0.22673365473747253,0.19712421298027039,0.3200363516807556,0.21180027723312378,0.12376176565885544
under,0.20154598355293274,0.21294879913330078,0.19278492033481598,0.1271296739578247,0.29018887877464294,0.3348022699356079,0.1506238579750061,0.32766106724739075,0.21753299236297607,0.15459388494491577,0.18233340978622437
the,0.42745697498321533,0.5823672413825989,0.38004449009895325,0.2757038176059723,0.48381632566452026,1.0,0.2551237642765045,0.733189046382904,0.2957161068916321,0.2413882315158844,0.22068053483963013
influence,0.2790174186229706,0.19989071786403656,0.2877159118652344,0.20633074641227722,0.27443522214889526,0.3039984107017517,0.2444261908531189,0.3608979284763336,0.26521989703178406,0.33613479137420654,0.14200882613658905
of,0.33290785551071167,0.4854315221309662,0.3351972997188568,0.18082661926746368,0.3886612355709076,0.733189046382904,0.25979894399642944,1.0,0.2804143726825714,0.2539977729320526,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.38004449009895325,0.2757038176059723,0.48381632566452026,1.0,0.2551237642765045,0.733189046382904,0.2957161068916321,0.2413882315158844,0.22068053483963013
electromagnetic,0.263467937707901,0.220349982380867,0.26036667823791504,0.18995773792266846,0.23101453483104706,0.22307927906513214,0.27992913126945496,0.23840996623039246,0.399257630109787,0.404310017824173,0.16735313832759857
force,0.16915984451770782,0.22036980092525482,0.13566474616527557,0.09137453138828278,0.19216643273830414,0.2800885736942291,0.24342986941337585,0.27094775438308716,0.238060861825943,0.25728705525398254,0.1650998443365097
.,0.3567904531955719,0.4569662809371948,0.30710849165916443,0.2830444276332855,0.515582263469696,0.5934505462646484,0.267557293176651,0.5352458953857422,0.2540481984615326,0.19063948094844818,0.4130953550338745
