,to,which,trading,route,did,genghis,khan,bring,a,stable,political,climate,?
genghis,0.2294713407754898,0.26472097635269165,0.209161639213562,0.16135966777801514,0.18339850008487701,1.0,0.5896923542022705,0.18510334193706512,0.194350928068161,0.07735194265842438,0.24072107672691345,0.17168520390987396,0.18813461065292358
khan,0.18221943080425262,0.19211235642433167,0.1826147735118866,0.14075739681720734,0.155345618724823,0.5896923542022705,1.0,0.12762579321861267,0.1743650734424591,0.08508086204528809,0.19103257358074188,0.14442433416843414,0.12862591445446014
is,0.42745086550712585,0.4457404911518097,0.2091524600982666,0.2375296801328659,0.19247472286224365,0.1866190880537033,0.20103248953819275,0.22834256291389465,0.658733606338501,0.24228155612945557,0.15203817188739777,0.26601269841194153,0.22961433231830597
credited,0.0971369668841362,0.15506739914417267,0.19116541743278503,0.15166150033473969,0.2554740309715271,0.1403534859418869,0.12931033968925476,0.11191067844629288,0.185069277882576,0.13600485026836395,0.1724475622177124,0.13678929209709167,0.06334620714187622
with,0.4239959120750427,0.46403205394744873,0.22851133346557617,0.14512334764003754,0.25472134351730347,0.18149495124816895,0.12498863786458969,0.2854280173778534,0.3783375024795532,0.2730250954627991,0.19677042961120605,0.19627727568149567,0.2433311939239502
bringing,0.3548927307128906,0.2977605164051056,0.2535117566585541,0.05700499936938286,0.2473924607038498,0.17682640254497528,0.08280615508556366,0.7072166800498962,0.27043405175209045,0.11143457889556885,0.18887005746364594,0.1772174835205078,0.24553225934505463
the,0.535392165184021,0.6521818041801453,0.27514398097991943,0.22322526574134827,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.31620702147483826,0.5829201340675354,0.19243422150611877,0.20477235317230225,0.2693597674369812,0.22068053483963013
silk,0.24740532040596008,0.2773924171924591,0.30681610107421875,0.2776713967323303,0.13654546439647675,0.2720244526863098,0.20709441602230072,0.12406802177429199,0.20000329613685608,0.14395125210285187,0.06805670261383057,0.0927121490240097,0.04509759321808815
road,0.21026462316513062,0.1865592896938324,0.20356518030166626,0.4983763098716736,0.10854122787714005,0.16190175712108612,0.15559715032577515,0.13199929893016815,0.19391928613185883,0.121558777987957,0.12209243327379227,0.2051718682050705,0.10894691944122314
under,0.27177539467811584,0.3235377371311188,0.11244649440050125,0.12371161580085754,0.20815621316432953,0.2402999848127365,0.18593889474868774,0.22629323601722717,0.18317826092243195,0.18734963238239288,0.13468164205551147,0.11544034630060196,0.18233340978622437
one,0.4025384783744812,0.510688066482544,0.24651625752449036,0.18253184854984283,0.27659472823143005,0.22989769279956818,0.208477184176445,0.25676268339157104,0.4910551905632019,0.28726741671562195,0.24292153120040894,0.19367924332618713,0.2673267424106598
cohesive,0.2915097773075104,0.35599780082702637,0.1422349214553833,0.12047514319419861,0.0992697924375534,0.10279577225446701,0.12067349255084991,0.21437543630599976,0.28407272696495056,0.30826014280319214,0.2534848153591156,0.16825050115585327,0.22970373928546906
political,0.2065112292766571,0.15920867025852203,0.1899574100971222,0.132721409201622,0.21022029221057892,0.24072107672691345,0.19103257358074188,0.20657561719417572,0.21418654918670654,0.147600919008255,1.0000001192092896,0.23149718344211578,0.17130474746227264
environment,0.274095743894577,0.301195353269577,0.15919767320156097,0.08739109337329865,0.10747723281383514,0.09291728585958481,0.0966147780418396,0.23162506520748138,0.25667375326156616,0.3496093451976776,0.2827967405319214,0.40844660997390747,0.19478057324886322
.,0.4645031690597534,0.45942068099975586,0.21561670303344727,0.25726518034935,0.35288307070732117,0.25373268127441406,0.19819748401641846,0.2875753343105316,0.50484299659729,0.2419736087322235,0.24802669882774353,0.22208234667778015,0.4130953550338745
