,how,many,doctors,were,in,kenya,in,2011,?
according,0.29424387216567993,0.23689699172973633,0.15335305035114288,0.25184938311576843,0.29259276390075684,0.0890609622001648,0.29259276390075684,0.11540110409259796,0.21173474192619324
to,0.44169697165489197,0.40243685245513916,0.2947743237018585,0.31913647055625916,0.45010748505592346,0.17769291996955872,0.45010748505592346,0.03410811722278595,0.29463258385658264
the,0.33890387415885925,0.4335206151008606,0.24499839544296265,0.3906462490558624,0.6662389636039734,0.21657514572143555,0.6662389636039734,0.07811610400676727,0.22068053483963013
kenya,0.17591707408428192,0.21882791817188263,0.14658871293067932,0.15519973635673523,0.23621977865695953,1.0,0.23621977865695953,0.021052585914731026,0.17197901010513306
national,0.13248363137245178,0.21160955727100372,0.1469580978155136,0.13822269439697266,0.28915393352508545,0.3120550811290741,0.28915393352508545,-0.05180918425321579,0.15643028914928436
bureau,0.18994398415088654,0.167403906583786,0.10063289105892181,0.1594405174255371,0.23286110162734985,0.16658398509025574,0.23286110162734985,0.022332478314638138,0.12716132402420044
of,0.2480744868516922,0.37253960967063904,0.18925178050994873,0.34038281440734863,0.5696388483047485,0.22226637601852417,0.5696388483047485,0.09709474444389343,0.1826142966747284
statistics,0.3022109866142273,0.2383744865655899,0.17312993109226227,0.14250414073467255,0.2433752715587616,0.13290517032146454,0.2433752715587616,0.017761996015906334,0.22886884212493896
",",0.22659391164779663,0.40610817074775696,0.18616431951522827,0.36755475401878357,0.5201468467712402,0.23432263731956482,0.5201468467712402,0.08851227909326553,0.31091248989105225
in,0.2601168751716614,0.41474202275276184,0.1817551702260971,0.3815755248069763,1.0,0.23621977865695953,1.0,0.08290185779333115,0.20430970191955566
2011,0.05300373584032059,0.17145752906799316,0.09524089097976685,0.08528410643339157,0.08290185779333115,0.021052585914731026,0.08290185779333115,1.0,0.005212190095335245
there,0.3328511416912079,0.4993700683116913,0.26043692231178284,0.4359818994998932,0.5361666083335876,0.20241674780845642,0.5361666083335876,0.09869915246963501,0.29405656456947327
were,0.2082374095916748,0.4804460406303406,0.2462945580482483,1.0000001192092896,0.3815755248069763,0.15519973635673523,0.3815755248069763,0.08528410643339157,0.17890112102031708
"65,000",0.0893305242061615,0.0717088133096695,0.19719438254833221,0.08510743081569672,0.19221806526184082,0.00037174185854382813,0.19221806526184082,-0.031127145513892174,0.06065279245376587
qualified,0.16855981945991516,0.166122704744339,0.32737866044044495,0.23203399777412415,0.21319082379341125,0.15358348190784454,0.21319082379341125,0.02424442209303379,0.1370558738708496
nurses,0.2564146816730499,0.2751011252403259,0.5069189667701721,0.2116675078868866,0.21417583525180817,0.16249294579029083,0.21417583525180817,0.046244218945503235,0.21394968032836914
registered,0.19916783273220062,0.22357608377933502,0.18164357542991638,0.23260313272476196,0.193543940782547,0.12250503152608871,0.193543940782547,0.025202270597219467,0.24155336618423462
in,0.2601168751716614,0.41474202275276184,0.1817551702260971,0.3815755248069763,1.0,0.23621977865695953,1.0,0.08290185779333115,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.24499839544296265,0.3906462490558624,0.6662389636039734,0.21657514572143555,0.6662389636039734,0.07811610400676727,0.22068053483963013
country,0.17206698656082153,0.26946935057640076,0.14122498035430908,0.19303756952285767,0.3040012717247009,0.2935680150985718,0.3040012717247009,0.041623424738645554,0.12647280097007751
;,0.07230665534734726,0.11763367056846619,-0.003619732102379203,0.14040996134281158,0.092739537358284,0.0019817061256617308,0.092739537358284,-0.037105780094861984,0.10349778085947037
"8,600",0.005096269305795431,-0.06725488603115082,0.0019258902175351977,-0.002906619571149349,0.014679879881441593,0.03021950274705887,0.014679879881441593,-0.07761958986520767,0.10776998847723007
clinical,0.2206733226776123,0.2064843475818634,0.5523127913475037,0.16599637269973755,0.25644800066947937,0.13667690753936768,0.25644800066947937,0.18837763369083405,0.1678651124238968
officers,0.19844265282154083,0.23738780617713928,0.38866904377937317,0.31935229897499084,0.23425941169261932,0.16846109926700592,0.23425941169261932,0.06081101670861244,0.14072641730308533
and,0.33647966384887695,0.5296266674995422,0.22853690385818481,0.42175528407096863,0.4954058527946472,0.20742860436439514,0.4954058527946472,0.0998905599117279,0.20544172823429108
"7,000",0.012593911960721016,0.07235731929540634,0.1268790364265442,0.004154509864747524,0.14251409471035004,-0.014394856058061123,0.14251409471035004,-0.06780578196048737,0.00799624901264906
doctors,0.3169460594654083,0.34454771876335144,1.0,0.2462945580482483,0.1817551702260971,0.14658871293067932,0.1817551702260971,0.09524089097976685,0.19305896759033203
for,0.3308170735836029,0.40972793102264404,0.18746568262577057,0.33592689037323,0.4322226941585541,0.22047242522239685,0.4322226941585541,0.10438573360443115,0.264628142118454
the,0.33890387415885925,0.4335206151008606,0.24499839544296265,0.3906462490558624,0.6662389636039734,0.21657514572143555,0.6662389636039734,0.07811610400676727,0.22068053483963013
