,if,an,extraordinary,election,is,held,within,less,than,six,months,before,the,date,of,an,ordinary,election,",",what,does,it,do,to,the,ordinary,election,?
extraordinary,0.20254702866077423,0.2315310388803482,1.0,0.13350333273410797,0.18123672902584076,0.15258309245109558,0.26610347628593445,0.1973121166229248,0.21402420103549957,0.08318957686424255,0.15366363525390625,0.10382964462041855,0.23438787460327148,0.09380694478750229,0.292976438999176,0.2315310388803482,0.5996886491775513,0.13350333273410797,0.2103504091501236,0.19568221271038055,0.19329246878623962,0.1635316014289856,0.18597647547721863,0.11696390807628632,0.23438787460327148,0.5996886491775513,0.13350333273410797,0.1933874785900116
general,0.18856973946094513,0.16276395320892334,0.14476542174816132,0.34865012764930725,0.20144300162792206,0.17221853137016296,0.2165386825799942,0.14504089951515198,0.13724775612354279,0.12383328378200531,0.18298576772212982,0.1992262303829193,0.28634732961654663,0.14010679721832275,0.28352999687194824,0.16276395320892334,0.23571187257766724,0.34865012764930725,0.3022127151489258,0.24928055703639984,0.15178900957107544,0.21158641576766968,0.20145048201084137,0.24755197763442993,0.28634732961654663,0.23571187257766724,0.34865012764930725,0.1972234547138214
elections,0.22187229990959167,0.11446139961481094,0.13511855900287628,0.9175549745559692,0.15343375504016876,0.380016028881073,0.22091785073280334,0.16411420702934265,0.16344638168811798,0.1650363653898239,0.2935585081577301,0.22148028016090393,0.23646192252635956,0.21962176263332367,0.25554418563842773,0.11446139961481094,0.12023915350437164,0.9175549745559692,0.2606843113899231,0.2432289719581604,0.1325477510690689,0.20681452751159668,0.18452391028404236,0.23835663497447968,0.23646192252635956,0.12023915350437164,0.9175549745559692,0.2319818139076233
are,0.32547882199287415,0.1556541919708252,0.1632993519306183,0.12703801691532135,0.5330929756164551,0.18270234763622284,0.3069663643836975,0.37797531485557556,0.39206281304359436,0.32657361030578613,0.20248989760875702,0.21243946254253387,0.40399202704429626,0.1222395971417427,0.39081433415412903,0.1556541919708252,0.2885158956050873,0.12703801691532135,0.4062570035457611,0.29724663496017456,0.3126322329044342,0.3617996573448181,0.41111594438552856,0.3504326641559601,0.40399202704429626,0.2885158956050873,0.12703801691532135,0.24591213464736938
in,0.2589588761329651,0.2605783939361572,0.2312799096107483,0.2450414001941681,0.5394441485404968,0.3127288818359375,0.40576374530792236,0.2661931812763214,0.3270052373409271,0.3013422191143036,0.27186378836631775,0.4155850410461426,0.6662389636039734,0.21362407505512238,0.5696388483047485,0.2605783939361572,0.2512589395046234,0.2450414001941681,0.5201468467712402,0.30808621644973755,0.214483380317688,0.5130809545516968,0.23402775824069977,0.45010748505592346,0.6662389636039734,0.2512589395046234,0.2450414001941681,0.20430970191955566
addition,0.30837035179138184,0.25149449706077576,0.26704132556915283,0.11653663963079453,0.2727152407169342,0.16432170569896698,0.24620594084262848,0.2668941915035248,0.289747029542923,0.3131648898124695,0.21033337712287903,0.19085471332073212,0.32955414056777954,0.1528252214193344,0.27503931522369385,0.25149449706077576,0.25177210569381714,0.11653663963079453,0.3040202856063843,0.20643717050552368,0.29091760516166687,0.267532616853714,0.2532966136932373,0.29394859075546265,0.32955414056777954,0.25177210569381714,0.11653663963079453,0.19187232851982117
to,0.4559597074985504,0.3138085603713989,0.11696390807628632,0.20867465436458588,0.42745086550712585,0.22177374362945557,0.34980177879333496,0.38397523760795593,0.3192550539970398,0.2762264311313629,0.2831858992576599,0.4190867841243744,0.535392165184021,0.2530132532119751,0.41548454761505127,0.3138085603713989,0.2614358067512512,0.20867465436458588,0.44245919585227966,0.455847829580307,0.4391997456550598,0.513711154460907,0.38876664638519287,1.0,0.535392165184021,0.2614358067512512,0.20867465436458588,0.29463258385658264
ordinary,0.2743615508079529,0.24658697843551636,0.5996886491775513,0.12621992826461792,0.2577972412109375,0.12651172280311584,0.2278299629688263,0.3299981951713562,0.3454291522502899,0.14666810631752014,0.13041849434375763,0.18540669977664948,0.2741096615791321,0.06040700525045395,0.3156825006008148,0.24658697843551636,1.0000001192092896,0.12621992826461792,0.2568533420562744,0.29406803846359253,0.2965717017650604,0.2746547758579254,0.3683397173881531,0.2614358067512512,0.2741096615791321,1.0000001192092896,0.12621992826461792,0.22565332055091858
general,0.18856973946094513,0.16276395320892334,0.14476542174816132,0.34865012764930725,0.20144300162792206,0.17221853137016296,0.2165386825799942,0.14504089951515198,0.13724775612354279,0.12383328378200531,0.18298576772212982,0.1992262303829193,0.28634732961654663,0.14010679721832275,0.28352999687194824,0.16276395320892334,0.23571187257766724,0.34865012764930725,0.3022127151489258,0.24928055703639984,0.15178900957107544,0.21158641576766968,0.20145048201084137,0.24755197763442993,0.28634732961654663,0.23571187257766724,0.34865012764930725,0.1972234547138214
elections,0.22187229990959167,0.11446139961481094,0.13511855900287628,0.9175549745559692,0.15343375504016876,0.380016028881073,0.22091785073280334,0.16411420702934265,0.16344638168811798,0.1650363653898239,0.2935585081577301,0.22148028016090393,0.23646192252635956,0.21962176263332367,0.25554418563842773,0.11446139961481094,0.12023915350437164,0.9175549745559692,0.2606843113899231,0.2432289719581604,0.1325477510690689,0.20681452751159668,0.18452391028404236,0.23835663497447968,0.23646192252635956,0.12023915350437164,0.9175549745559692,0.2319818139076233
