,what,did,tesla,spend,astor,'s,money,on,?
instead,0.4104403555393219,0.34208473563194275,0.16731514036655426,0.311757355928421,0.17328327894210815,0.025141391903162003,0.3197117745876312,0.3444349467754364,0.2942638397216797
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.2790883779525757,0.3132045865058899,-0.0016132977325469255,0.24156853556632996,0.49057599902153015,0.31091248989105225
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.03899729624390602,0.14406681060791016,0.06449045985937119,0.1636640876531601,0.16159376502037048,0.10250775516033173
used,0.27546408772468567,0.30443844199180603,0.226042702794075,0.12239830195903778,0.09354479610919952,0.00600846204906702,0.19211451709270477,0.24785758554935455,0.22430120408535004
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.21215185523033142,0.2178436517715454,-0.01540423184633255,0.2699695825576782,0.5107308030128479,0.22068053483963013
money,0.2704482674598694,0.3498571217060089,0.1636640876531601,0.41021090745925903,0.09219232201576233,0.11903500556945801,0.9999998807907104,0.20461611449718475,0.2069680541753769
to,0.455847829580307,0.4452643394470215,0.17548894882202148,0.2814787030220032,0.20034965872764587,0.03782717138528824,0.3124290704727173,0.41031414270401,0.29463258385658264
fund,0.14864346385002136,0.14910931885242462,0.15612992644309998,0.21661914885044098,0.22920270264148712,0.04831458255648613,0.453401118516922,0.21186517179012299,0.1883198469877243
his,0.26976513862609863,0.3546801507472992,0.1580733060836792,0.28552481532096863,0.21492549777030945,0.047556519508361816,0.3251928687095642,0.32064297795295715,0.18075084686279297
colorado,0.1414678543806076,0.16166602075099945,0.17255069315433502,0.12387392669916153,0.22178466618061066,0.0016019933391362429,0.1736263483762741,0.1674119234085083,0.15461322665214539
springs,0.1694866269826889,0.10978550463914871,0.18937155604362488,0.13312967121601105,0.20062313973903656,0.0013089408166706562,0.11075923591852188,0.20432116091251373,0.0950024425983429
experiments,0.3106561601161957,0.2717590034008026,0.29793205857276917,0.20312979817390442,0.052573833614587784,-0.0008199171279557049,0.2177957147359848,0.2562560439109802,0.14564716815948486
.,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.26459771394729614,0.30079877376556396,-0.003708066651597619,0.2570818066596985,0.49257001280784607,0.4130953550338745
