,besides,viniculture,",",what,'s,a,dominant,economic,sector,of,the,middle,rhine,?
the,0.367077499628067,0.35468438267707825,0.4933079481124878,0.42745697498321533,-0.01540423184633255,0.5829201340675354,0.3743239641189575,0.282455176115036,0.27798449993133545,0.733189046382904,1.0,0.3405749201774597,0.30735138058662415,0.22068053483963013
dominant,0.22372163832187653,0.32243508100509644,0.23045329749584198,0.21783894300460815,0.04393111169338226,0.252237468957901,1.0000001192092896,0.23097962141036987,0.28220707178115845,0.3018357455730438,0.3743239641189575,0.24053801596164703,0.08235464990139008,0.07625212520360947
economic,0.16649998724460602,0.4170462191104889,0.2340485155582428,0.18082544207572937,0.0034841743763536215,0.2234611213207245,0.23097962141036987,0.9999999403953552,0.3977937400341034,0.3030148148536682,0.282455176115036,0.22097447514533997,0.15747639536857605,0.1206481084227562
sectors,0.22787874937057495,0.2982393801212311,0.22403916716575623,0.2103491723537445,0.052230898290872574,0.21780632436275482,0.27909210324287415,0.38403671979904175,0.698563277721405,0.30364930629730225,0.33230820298194885,0.20354847609996796,0.2742234468460083,0.08638603240251541
in,0.3447916507720947,0.3375008702278137,0.5201468467712402,0.30808621644973755,-0.037580832839012146,0.539380669593811,0.26107057929039,0.22027181088924408,0.2731133699417114,0.5696388483047485,0.6662389636039734,0.26767921447753906,0.24648422002792358,0.20430970191955566
the,0.367077499628067,0.35468438267707825,0.4933079481124878,0.42745697498321533,-0.01540423184633255,0.5829201340675354,0.3743239641189575,0.282455176115036,0.27798449993133545,0.733189046382904,1.0,0.3405749201774597,0.30735138058662415,0.22068053483963013
middle,0.20630532503128052,0.22313514351844788,0.24847112596035004,0.18312302231788635,-0.017355401068925858,0.23820361495018005,0.24053801596164703,0.22097447514533997,0.15456987917423248,0.2799445688724518,0.3405749201774597,0.9999998807907104,0.23721498250961304,0.13139553368091583
rhine,0.19046513736248016,0.22355683147907257,0.167837992310524,0.16475653648376465,0.0778765007853508,0.1823403388261795,0.08235464990139008,0.15747639536857605,0.30141523480415344,0.2548927664756775,0.30735138058662415,0.23721498250961304,1.0,0.13754533231258392
area,0.23497521877288818,0.33959949016571045,0.2664283812046051,0.21965408325195312,-0.002423585159704089,0.2782127559185028,0.18956905603408813,0.24347907304763794,0.35533013939857483,0.3409860134124756,0.37834644317626953,0.21394044160842896,0.30314889550209045,0.12640461325645447
are,0.4436670243740082,0.2502489387989044,0.4062570035457611,0.29724663496017456,-0.008927806280553341,0.265255331993103,0.26953843235969543,0.17979218065738678,0.18541370332241058,0.39081433415412903,0.40399202704429626,0.16648951172828674,0.13834848999977112,0.24591213464736938
viniculture,0.2232426255941391,0.9999999403953552,0.33515167236328125,0.2430523782968521,0.021047011017799377,0.3300240933895111,0.32243508100509644,0.4170462191104889,0.35962048172950745,0.3555377721786499,0.35468438267707825,0.22313514351844788,0.22355683147907257,0.17115247249603271
and,0.3610946238040924,0.28712883591651917,0.6633074283599854,0.31309178471565247,0.06895173341035843,0.3739250600337982,0.3049371540546417,0.2707010805606842,0.3108142912387848,0.5116966962814331,0.5171257257461548,0.2514324486255646,0.22029656171798706,0.20544172823429108
tourism,0.23849532008171082,0.44839349389076233,0.18920621275901794,0.09624189138412476,0.0231227558106184,0.2051146775484085,0.13086582720279694,0.43369153141975403,0.3934839963912964,0.2838558554649353,0.26230889558792114,0.10505713522434235,0.20747879147529602,0.08465105295181274
.,0.28636154532432556,0.32587090134620667,0.6812511086463928,0.3567904531955719,-0.003708066651597619,0.50484299659729,0.20357714593410492,0.22435031831264496,0.2173098623752594,0.5352458953857422,0.5934505462646484,0.2989427447319031,0.2089352011680603,0.4130953550338745
