,on,what,date,did,henry,kissinger,negotiate,an,israeli,troop,withdrawal,from,the,sinai,peninsula,?
by,0.33887791633605957,0.2455483376979828,0.1930214762687683,0.18574509024620056,0.23741036653518677,0.24618059396743774,0.15877382457256317,0.2719563841819763,0.19080610573291779,0.27946725487709045,0.15426865220069885,0.3373257517814636,0.4408751428127289,0.16512584686279297,0.1717061996459961,0.17966607213020325
january,0.3576357066631317,0.19257698953151703,0.17253874242305756,0.23508968949317932,0.19491450488567352,0.3091095983982086,0.21939224004745483,0.247449591755867,0.16841022670269012,0.14407137036323547,0.22905318439006805,0.20058557391166687,0.2467057853937149,0.14711587131023407,0.14832986891269684,0.28608936071395874
18,-0.049966923892498016,-0.09284763038158417,-0.05218334496021271,-0.16295963525772095,-0.04304829239845276,0.0009936990682035685,-0.16427713632583618,-0.04713568091392517,0.03773677349090576,0.020045531913638115,0.02266765758395195,0.020899292081594467,-0.07796193659305573,-0.06577079743146896,-0.0560721680521965,-0.04919438064098358
",",0.49057599902153015,0.3087472915649414,0.2279704213142395,0.3015086054801941,0.25662001967430115,0.3574298322200775,0.16973349452018738,0.3581022024154663,0.1885737180709839,0.17087635397911072,0.1805243343114853,0.39760664105415344,0.4933079481124878,0.2662917375564575,0.23118335008621216,0.31091248989105225
1974,0.049748875200748444,-0.05855642259120941,-0.05507058650255203,-0.07115182280540466,0.11389576643705368,0.05680295452475548,0.09998562932014465,-0.047612957656383514,-0.04388108849525452,0.04215935617685318,-0.060919709503650665,0.01169129554182291,0.07901259511709213,0.0571141242980957,0.16813236474990845,-0.17742674052715302
",",0.49057599902153015,0.3087472915649414,0.2279704213142395,0.3015086054801941,0.25662001967430115,0.3574298322200775,0.16973349452018738,0.3581022024154663,0.1885737180709839,0.17087635397911072,0.1805243343114853,0.39760664105415344,0.4933079481124878,0.2662917375564575,0.23118335008621216,0.31091248989105225
us,0.2646999955177307,0.32081687450408936,0.22167427837848663,0.23250600695610046,0.1029970794916153,0.17770971357822418,0.14813220500946045,0.1722210943698883,0.17127187550067902,0.2210945188999176,0.11877495795488358,0.24183706939220428,0.25727739930152893,0.20374345779418945,0.08299554139375687,0.2742428481578827
secretary,0.18767742812633514,0.14278742671012878,0.11623769998550415,0.18588460981845856,0.25089189410209656,0.4199121594429016,0.3200345039367676,0.15813331305980682,0.1942252516746521,0.2660377323627472,0.16082614660263062,0.1959937959909439,0.23160062730312347,0.09351745247840881,0.11430178582668304,0.10113837569952011
of,0.3966929316520691,0.33290785551071167,0.19568462669849396,0.2513895630836487,0.2390729784965515,0.2343144565820694,0.20997712016105652,0.32280945777893066,0.07325319200754166,0.1970508098602295,0.23345902562141418,0.4249346852302551,0.733189046382904,0.21369516849517822,0.2414405792951584,0.1826142966747284
state,0.18138433992862701,0.24273863434791565,0.1798696517944336,0.152080237865448,0.15999531745910645,0.29352062940597534,0.249110609292984,0.2181641161441803,0.1758098602294922,0.15184049308300018,0.16809037327766418,0.29024070501327515,0.3097178041934967,0.14817674458026886,0.2679133117198944,0.1160883978009224
henry,0.214147686958313,0.1911626160144806,0.13680718839168549,0.22827239334583282,1.0,0.3770841658115387,0.19621874392032623,0.1634841114282608,0.15977349877357483,0.14174295961856842,0.11842967569828033,0.16907568275928497,0.2542637586593628,0.15665630996227264,0.15686404705047607,0.16836383938789368
kissinger,0.2046005129814148,0.2272820770740509,0.1878069043159485,0.2023489773273468,0.3770841658115387,1.0,0.24727317690849304,0.10551603138446808,0.2526353597640991,0.25264278054237366,0.22531677782535553,0.1945854127407074,0.23669348657131195,0.14444220066070557,0.1783464103937149,0.21159520745277405
