,what,special,was,created,for,the,show,'s,30th,anniversary,?
in,0.30808621644973755,0.2897285223007202,0.45514053106307983,0.2843434810638428,0.4322226941585541,0.6662389636039734,0.27595704793930054,-0.037580832839012146,0.1858179271221161,0.25491592288017273,0.20430970191955566
1993,0.13556112349033356,-0.061264943331480026,0.06596994400024414,0.045524999499320984,0.03299114480614662,-0.03424737602472305,-0.06886498630046844,-0.013939977623522282,-0.07351811975240707,0.055500682443380356,0.14008748531341553
",",0.3087472915649414,0.23880577087402344,0.45456063747406006,0.2755771577358246,0.4464869201183319,0.4933079481124878,0.31928569078445435,-0.0016132977325469255,0.1899278610944748,0.20396199822425842,0.31091248989105225
for,0.3017193675041199,0.311454176902771,0.3863949179649353,0.25684574246406555,0.9999999403953552,0.4739971458911896,0.3141973614692688,-0.07241261005401611,0.16724558174610138,0.24768374860286713,0.264628142118454
the,0.42745697498321533,0.3027077615261078,0.48711544275283813,0.3539263904094696,0.4739971458911896,1.0,0.319829523563385,-0.01540423184633255,0.2819302976131439,0.29318708181381226,0.22068053483963013
franchise,0.1852455735206604,0.14009594917297363,0.25208672881126404,0.24965520203113556,0.2779812812805176,0.30872398614883423,0.2352820783853531,-0.032248400151729584,0.09984545409679413,0.15329641103744507,0.13445523381233215
's,0.02692362666130066,-0.03405539691448212,0.008974763564765453,-0.015766004100441933,-0.07241261005401611,-0.01540423184633255,6.513196422019973e-05,0.9999999403953552,0.11903931200504303,-0.008144883438944817,-0.023395681753754616
30th,0.14554515480995178,0.12527358531951904,0.2303590625524521,0.07322388142347336,0.16724558174610138,0.2819302976131439,0.2238028198480606,0.11903931200504303,1.0,0.2913655638694763,0.08402163535356522
anniversary,0.15616674721240997,0.3297252953052521,0.28924626111984253,0.18098556995391846,0.24768374860286713,0.29318708181381226,0.20774516463279724,-0.008144883438944817,0.2913655638694763,1.0,0.1981802135705948
",",0.3087472915649414,0.23880577087402344,0.45456063747406006,0.2755771577358246,0.4464869201183319,0.4933079481124878,0.31928569078445435,-0.0016132977325469255,0.1899278610944748,0.20396199822425842,0.31091248989105225
another,0.4190070629119873,0.2489054799079895,0.34961897134780884,0.2722811996936798,0.36770403385162354,0.5019711852073669,0.23874609172344208,0.026405371725559235,0.20360803604125977,0.131978839635849,0.295511931180954
charity,0.2074352502822876,0.2125212550163269,0.21781642735004425,0.184285968542099,0.2896091938018799,0.21295595169067383,0.1574200689792633,0.055543091148138046,0.20382386445999146,0.21525487303733826,0.17256353795528412
special,0.24134232103824615,1.0000001192092896,0.1585642695426941,0.2282373607158661,0.311454176902771,0.3027077615261078,0.2602277398109436,-0.03405539691448212,0.12527358531951904,0.3297252953052521,0.29623302817344666
",",0.3087472915649414,0.23880577087402344,0.45456063747406006,0.2755771577358246,0.4464869201183319,0.4933079481124878,0.31928569078445435,-0.0016132977325469255,0.1899278610944748,0.20396199822425842,0.31091248989105225
