,what,has,recent,testing,of,kuznets,theory,with,superior,data,show,it,to,be,?
however,0.4480680823326111,0.3999234735965729,0.3953709602355957,0.3164236843585968,0.3800618350505829,0.22036083042621613,0.29465192556381226,0.44603243470191956,0.243564635515213,0.22707876563072205,0.29957813024520874,0.467002272605896,0.5474119186401367,0.5002188086509705,0.2152075469493866
",",0.3087472915649414,0.3734780251979828,0.26883119344711304,0.18808996677398682,0.4946078956127167,0.3423115313053131,0.18095813691616058,0.4120737314224243,0.2323935180902481,0.22224515676498413,0.31928569078445435,0.48329564929008484,0.44245919585227966,0.39254459738731384,0.31091248989105225
more,0.3484537899494171,0.3442428410053253,0.4081309139728546,0.23583734035491943,0.30478984117507935,0.14972040057182312,0.23122718930244446,0.3535402715206146,0.22685647010803223,0.20878423750400543,0.21705856919288635,0.42550966143608093,0.47084665298461914,0.5445363521575928,0.27894994616508484
recent,0.24256184697151184,0.3722807466983795,1.0,0.2507283687591553,0.2896444797515869,0.0897548720240593,0.25776350498199463,0.2035779356956482,0.16356191039085388,0.2542383670806885,0.21223393082618713,0.229965478181839,0.31205716729164124,0.2750273644924164,0.2544887959957123
testing,0.30686378479003906,0.20857380330562592,0.2507283687591553,1.0000001192092896,0.2067517340183258,0.13922370970249176,0.3066687285900116,0.1938811093568802,0.11459275335073471,0.24965515732765198,0.19745978713035583,0.22399258613586426,0.21781665086746216,0.2693830132484436,0.20438756048679352
of,0.33290785551071167,0.3909035325050354,0.2896444797515869,0.2067517340183258,1.0,0.15314316749572754,0.23506702482700348,0.41827285289764404,0.3148541748523712,0.20013196766376495,0.21383242309093475,0.38761502504348755,0.41548454761505127,0.33904364705085754,0.1826142966747284
this,0.5489566326141357,0.4198763072490692,0.3860568106174469,0.3268128037452698,0.45148900151252747,0.15371811389923096,0.2884212136268616,0.36358317732810974,0.21716737747192383,0.24432523548603058,0.30299413204193115,0.6107783317565918,0.5759071707725525,0.566177248954773,0.3155723512172699
theory,0.297923743724823,0.19130924344062805,0.25776350498199463,0.3066687285900116,0.23506702482700348,0.25614598393440247,0.9999999403953552,0.21627245843410492,0.15650953352451324,0.24078306555747986,0.17699362337589264,0.19945570826530457,0.21947365999221802,0.2076098620891571,0.1387292891740799
with,0.2464839518070221,0.44092974066734314,0.2035779356956482,0.1938811093568802,0.41827285289764404,0.24366825819015503,0.21627245843410492,0.9999999403953552,0.19354882836341858,0.1658894121646881,0.3004990220069885,0.3369046747684479,0.4239959120750427,0.36101722717285156,0.2433311939239502
superior,0.2175816148519516,0.16037099063396454,0.16356191039085388,0.11459275335073471,0.3148541748523712,0.09514469653367996,0.15650953352451324,0.19354882836341858,1.0,0.1524210423231125,0.11051900684833527,0.1819739192724228,0.21410112082958221,0.20722660422325134,0.08769503235816956
panel,0.20197252929210663,0.17453089356422424,0.23932459950447083,0.20703667402267456,0.16366299986839294,0.16371947526931763,0.10867960005998611,0.1593940109014511,0.09977863729000092,0.16449415683746338,0.28178220987319946,0.15230363607406616,0.1690487116575241,0.21649880707263947,0.1475982517004013
data,0.23453554511070251,0.1715058982372284,0.2542383670806885,0.24965515732765198,0.20013196766376495,0.15487153828144073,0.24078306555747986,0.1658894121646881,0.1524210423231125,1.0,0.15339085459709167,0.16321566700935364,0.24776634573936462,0.20036695897579193,0.17909851670265198
has,0.20338068902492523,1.0,0.3722807466983795,0.20857380330562592,0.3909035325050354,0.16584984958171844,0.19130924344062805,0.44092974066734314,0.16037099063396454,0.1715058982372284,0.2685723900794983,0.41962623596191406,0.3619994819164276,0.3863394856452942,0.15994466841220856
shown,0.2601207196712494,0.2676315903663635,0.23025484383106232,0.25132042169570923,0.24332952499389648,0.11102116852998734,0.1146344393491745,0.2707523703575134,0.14633126556873322,0.13945606350898743,0.6074616312980652,0.27352818846702576,0.23958280682563782,0.3122435212135315,0.2433658242225647
it,0.45803478360176086,0.41962623596191406,0.229965478181839,0.22399258613586426,0.38761502504348755,0.14779038727283478,0.19945570826530457,0.3369046747684479,0.1819739192724228,0.16321566700935364,0.2669452726840973,0.9999999403953552,0.513711154460907,0.5203388929367065,0.25732165575027466
to,0.455847829580307,0.3619994819164276,0.31205716729164124,0.21781665086746216,0.41548454761505127,0.16331002116203308,0.21947365999221802,0.4239959120750427,0.21410112082958221,0.24776634573936462,0.29833272099494934,0.513711154460907,1.0,0.4972836375236511,0.29463258385658264
be,0.3929833769798279,0.3863394856452942,0.2750273644924164,0.2693830132484436,0.33904364705085754,0.185211643576622,0.2076098620891571,0.36101722717285156,0.20722660422325134,0.20036695897579193,0.29246196150779724,0.5203388929367065,0.4972836375236511,1.0,0.3324260413646698
very,0.37053924798965454,0.3807820975780487,0.2754082679748535,0.18052756786346436,0.34437474608421326,0.19885270297527313,0.23015332221984863,0.3860565423965454,0.18006841838359833,0.14972953498363495,0.2486025094985962,0.4389229118824005,0.3902553617954254,0.4292002320289612,0.20864155888557434
weak,0.2838204503059387,0.16062675416469574,0.08660291880369186,0.1690695881843567,0.19737732410430908,0.12176094204187393,0.28241249918937683,0.2621496915817261,0.1890019029378891,0.09047545492649078,0.1592041701078415,0.30678901076316833,0.2679104804992676,0.26515641808509827,0.1458035111427307
.,0.3567904531955719,0.4105546176433563,0.25904062390327454,0.23063190281391144,0.5352458953857422,0.29673638939857483,0.18047811090946198,0.4446153938770294,0.2191634327173233,0.24345596134662628,0.3016606271266937,0.5593622326850891,0.4645031690597534,0.4383580684661865,0.4130953550338745
