,how,many,residents,of,seville,died,of,plague,in,1649,?
the,0.33890387415885925,0.4335206151008606,0.28274044394493103,0.733189046382904,0.21216851472854614,0.18710990250110626,0.733189046382904,0.2537761330604553,0.6662389636039734,0.030273692682385445,0.22068053483963013
plague,0.16610242426395416,0.2661729156970978,0.23378653824329376,0.27455615997314453,0.2528778314590454,0.3328428268432617,0.27455615997314453,0.9999999403953552,0.2488756626844406,-0.07899771630764008,0.11872942000627518
of,0.2480744868516922,0.37253960967063904,0.28795862197875977,1.0,0.20886343717575073,0.25637882947921753,1.0,0.27455615997314453,0.5696388483047485,-0.012630579993128777,0.1826142966747284
1649,0.00035814419970847666,-0.045273058116436005,0.006183197721838951,-0.012630579993128777,0.0353899821639061,0.08342117071151733,-0.012630579993128777,-0.07899771630764008,0.013488035649061203,0.9999999403953552,-0.009313966147601604
probably,0.3665387034416199,0.33076614141464233,0.21488189697265625,0.29024845361709595,0.12271110713481903,0.19720321893692017,0.29024845361709595,0.28538596630096436,0.29636839032173157,0.015378613956272602,0.3524723947048187
reduced,0.17844697833061218,0.2752341032028198,0.19480639696121216,0.30275818705558777,0.1219867542386055,0.14412569999694824,0.30275818705558777,0.1936488151550293,0.2766173183917999,0.07757524400949478,0.10234767943620682
the,0.33890387415885925,0.4335206151008606,0.28274044394493103,0.733189046382904,0.21216851472854614,0.18710990250110626,0.733189046382904,0.2537761330604553,0.6662389636039734,0.030273692682385445,0.22068053483963013
population,0.1651063710451126,0.2201971709728241,0.45314475893974304,0.3060894012451172,0.1343563199043274,0.2137834131717682,0.3060894012451172,0.28463682532310486,0.3268454372882843,-0.05273054167628288,0.14449454843997955
of,0.2480744868516922,0.37253960967063904,0.28795862197875977,1.0,0.20886343717575073,0.25637882947921753,1.0,0.27455615997314453,0.5696388483047485,-0.012630579993128777,0.1826142966747284
seville,0.15942777693271637,0.18275292217731476,0.13139818608760834,0.20886343717575073,1.0,0.2253943681716919,0.20886343717575073,0.2528778314590454,0.18998342752456665,0.0353899821639061,0.13922859728336334
by,0.34370526671409607,0.3409687578678131,0.18912309408187866,0.3646814823150635,0.1252361387014389,0.14783190190792084,0.3646814823150635,0.22066086530685425,0.370934396982193,0.012568356469273567,0.17966607213020325
half,0.19052551686763763,0.2529585361480713,0.18484915792942047,0.2784358561038971,0.15120865404605865,0.11989367753267288,0.2784358561038971,0.14465662837028503,0.25644969940185547,0.05287691578269005,0.07471233606338501
.,0.3287222981452942,0.3974229395389557,0.2494935691356659,0.5352458953857422,0.18797077238559723,0.24093139171600342,0.5352458953857422,0.2547653317451477,0.5591574311256409,0.1026415228843689,0.4130953550338745
