,what,is,to,blame,for,the,burdens,in,health,care,in,kenya,?
preventable,0.35777997970581055,0.2765895128250122,0.3274454176425934,0.31577393412590027,0.3545692265033722,0.2666250765323639,0.24567881226539612,0.1579561084508896,0.32246747612953186,0.3268462121486664,0.1579561084508896,0.03221176564693451,0.3220236599445343
diseases,0.276649534702301,0.18949109315872192,0.27645206451416016,0.2500850260257721,0.26087135076522827,0.2655201852321625,0.28707563877105713,0.22360654175281525,0.5068143010139465,0.313086599111557,0.22360654175281525,0.1333756297826767,0.1916700154542923
like,0.4320242702960968,0.29710376262664795,0.35482415556907654,0.309267520904541,0.35140180587768555,0.32912567257881165,0.17660292983055115,0.31010183691978455,0.17509593069553375,0.2965819537639618,0.31010183691978455,0.12862162292003632,0.3268813192844391
malaria,0.22301892936229706,0.19805718958377838,0.2790931165218353,0.16718168556690216,0.26200011372566223,0.2339317500591278,0.23276646435260773,0.268545001745224,0.28510311245918274,0.20026344060897827,0.268545001745224,0.22059012949466705,0.2527943551540375
",",0.3087472915649414,0.4691906273365021,0.44245919585227966,0.23327811062335968,0.4464869201183319,0.4933079481124878,0.21889357268810272,0.5201468467712402,0.2331448197364807,0.25498491525650024,0.5201468467712402,0.23432263731956482,0.31091248989105225
hiv/aids,0.21726994216442108,0.19234536588191986,0.24389971792697906,0.2296259105205536,0.30587586760520935,0.24184156954288483,0.2554143965244293,0.27512046694755554,0.5034027099609375,0.33678361773490906,0.27512046694755554,0.26896387338638306,0.18364624679088593
",",0.3087472915649414,0.4691906273365021,0.44245919585227966,0.23327811062335968,0.4464869201183319,0.4933079481124878,0.21889357268810272,0.5201468467712402,0.2331448197364807,0.25498491525650024,0.5201468467712402,0.23432263731956482,0.31091248989105225
pneumonia,0.09324188530445099,0.19147032499313354,0.15205666422843933,0.12382128834724426,0.1731799989938736,0.15454815328121185,0.14368514716625214,0.25202676653862,0.3116176426410675,0.18577764928340912,0.25202676653862,0.09178385138511658,0.148961141705513
",",0.3087472915649414,0.4691906273365021,0.44245919585227966,0.23327811062335968,0.4464869201183319,0.4933079481124878,0.21889357268810272,0.5201468467712402,0.2331448197364807,0.25498491525650024,0.5201468467712402,0.23432263731956482,0.31091248989105225
diarrhoea,0.26761069893836975,0.23725520074367523,0.19410164654254913,0.2778566777706146,0.1808735430240631,0.17245317995548248,0.3260001540184021,0.18301838636398315,0.398410826921463,0.29592567682266235,0.18301838636398315,0.12436814606189728,0.23198358714580536
and,0.31309178471565247,0.3859752118587494,0.48971283435821533,0.23162296414375305,0.5064792633056641,0.5171257257461548,0.26908254623413086,0.4954058527946472,0.3215619623661041,0.32680341601371765,0.4954058527946472,0.20742860436439514,0.20544172823429108
malnutrition,0.2853657007217407,0.23728662729263306,0.27891403436660767,0.24793918430805206,0.30475935339927673,0.27412959933280945,0.3631283640861511,0.25296059250831604,0.5567672252655029,0.398567259311676,0.25296059250831604,0.23834294080734253,0.247996985912323
are,0.29724663496017456,0.5330929756164551,0.3504326641559601,0.15949253737926483,0.3895993232727051,0.40399202704429626,0.20452933013439178,0.3841303884983063,0.19031372666358948,0.2662802040576935,0.3841303884983063,0.1597108691930771,0.24591213464736938
the,0.42745697498321533,0.5823672413825989,0.535392165184021,0.1959904432296753,0.4739971458911896,1.0,0.19935747981071472,0.6662389636039734,0.2340974360704422,0.1663842648267746,0.6662389636039734,0.21657514572143555,0.22068053483963013
biggest,0.1501782387495041,0.3216690123081207,0.20095665752887726,0.19262085855007172,0.1842430830001831,0.3799763321876526,0.13005566596984863,0.33434951305389404,0.14077270030975342,0.05559621378779411,0.33434951305389404,0.14455613493919373,0.11438456177711487
burden,0.26935645937919617,0.1678629368543625,0.25716230273246765,0.3424607217311859,0.313365638256073,0.18522068858146667,0.7606787085533142,0.13208407163619995,0.2893907129764557,0.33453571796417236,0.13208407163619995,0.20706729590892792,0.24832278490066528
",",0.3087472915649414,0.4691906273365021,0.44245919585227966,0.23327811062335968,0.4464869201183319,0.4933079481124878,0.21889357268810272,0.5201468467712402,0.2331448197364807,0.25498491525650024,0.5201468467712402,0.23432263731956482,0.31091248989105225
major,0.21026742458343506,0.19079607725143433,0.19240309298038483,0.11339836567640305,0.23592928051948547,0.31775903701782227,0.0548318475484848,0.3249945342540741,0.18062514066696167,0.11926411092281342,0.3249945342540741,0.14446626603603363,0.19788557291030884
child-killers,0.311758816242218,0.2530297636985779,0.3169267475605011,0.289610356092453,0.28321173787117004,0.291012167930603,0.23045630753040314,0.24048809707164764,0.2948978543281555,0.2627924382686615,0.24048809707164764,0.16344474256038666,0.22179146111011505
",",0.3087472915649414,0.4691906273365021,0.44245919585227966,0.23327811062335968,0.4464869201183319,0.4933079481124878,0.21889357268810272,0.5201468467712402,0.2331448197364807,0.25498491525650024,0.5201468467712402,0.23432263731956482,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.48971283435821533,0.23162296414375305,0.5064792633056641,0.5171257257461548,0.26908254623413086,0.4954058527946472,0.3215619623661041,0.32680341601371765,0.4954058527946472,0.20742860436439514,0.20544172823429108
responsible,0.26869386434555054,0.24123810231685638,0.19470079243183136,0.3541888892650604,0.35061514377593994,0.3305104374885559,0.21466892957687378,0.24309778213500977,0.29186078906059265,0.26764988899230957,0.24309778213500977,0.1879190355539322,0.11367333680391312
for,0.3017193675041199,0.43268078565597534,0.4451248347759247,0.24851137399673462,0.9999999403953552,0.4739971458911896,0.3242797553539276,0.4322226941585541,0.31610164046287537,0.2908017933368683,0.4322226941585541,0.22047242522239685,0.264628142118454
much,0.45316147804260254,0.3156087100505829,0.40610215067863464,0.27958688139915466,0.2994346022605896,0.35023224353790283,0.27548855543136597,0.2725222110748291,0.21859803795814514,0.28983697295188904,0.2725222110748291,0.08246253430843353,0.23442231118679047
morbidity,0.30113857984542847,0.2545695900917053,0.29163962602615356,0.307532399892807,0.22759628295898438,0.2359696924686432,0.3133825361728668,0.2272125780582428,0.3602817952632904,0.2363540530204773,0.2272125780582428,0.07927120476961136,0.26111432909965515
;,0.10986888408660889,0.05324986204504967,0.0979827418923378,-0.06906682252883911,0.0293948445469141,0.09152708947658539,0.03511465713381767,0.092739537358284,-0.017096634954214096,-0.07488974183797836,0.092739537358284,0.0019817061256617308,0.10349778085947037
weak,0.2838204503059387,0.21422678232192993,0.2679104804992676,0.23143917322158813,0.1396307349205017,0.19635674357414246,0.2100132703781128,0.19598926603794098,0.2733149528503418,0.18382328748703003,0.19598926603794098,0.05807461589574814,0.1458035111427307
policies,0.37312451004981995,0.1406831294298172,0.31011244654655457,0.37426599860191345,0.2570570409297943,0.22566401958465576,0.34337666630744934,0.12669669091701508,0.3283790051937103,0.3133675158023834,0.12669669091701508,0.12461596727371216,0.2969106435775757
",",0.3087472915649414,0.4691906273365021,0.44245919585227966,0.23327811062335968,0.4464869201183319,0.4933079481124878,0.21889357268810272,0.5201468467712402,0.2331448197364807,0.25498491525650024,0.5201468467712402,0.23432263731956482,0.31091248989105225
