,which,member,of,parliament,explained,how,the,museum,would,preserve,the,collection,and,keep,it,available,to,the,public,?
the,0.6521818041801453,0.2806392312049866,0.733189046382904,0.26521381735801697,0.2738569974899292,0.33890387415885925,1.0,0.24861779808998108,0.4133751392364502,0.2541806697845459,1.0,0.25281965732574463,0.5171257257461548,0.22379513084888458,0.6251175999641418,0.26723232865333557,0.535392165184021,1.0,0.22857438027858734,0.22068053483963013
answer,0.2681359052658081,0.12902966141700745,0.17047110199928284,0.18366143107414246,0.4112488031387329,0.3717343211174011,0.24840699136257172,0.11493590474128723,0.377984881401062,0.16341641545295715,0.24840699136257172,0.16632819175720215,0.23021690547466278,0.26865601539611816,0.25213345885276794,0.24213574826717377,0.31252485513687134,0.24840699136257172,0.15635348856449127,0.367276668548584
",",0.3658004403114319,0.25757819414138794,0.4946078956127167,0.25442883372306824,0.26507580280303955,0.22659391164779663,0.4933079481124878,0.20741747319698334,0.32586824893951416,0.1484125256538391,0.4933079481124878,0.2277175933122635,0.6633074283599854,0.29710182547569275,0.48329564929008484,0.2614012062549591,0.44245919585227966,0.4933079481124878,0.2588968276977539,0.31091248989105225
from,0.38755592703819275,0.24533385038375854,0.4249346852302551,0.18214061856269836,0.20262768864631653,0.22939439117908478,0.40150508284568787,0.20791949331760406,0.26231399178504944,0.15939642488956451,0.40150508284568787,0.2754948139190674,0.3601827025413513,0.22448134422302246,0.325604110956192,0.21971632540225983,0.4069952368736267,0.40150508284568787,0.22383596003055573,0.19969791173934937
bryan,0.15581399202346802,0.18441590666770935,0.14389215409755707,0.14328306913375854,0.14582721889019012,0.12605756521224976,0.18238765001296997,0.07631459087133408,0.20397980511188507,0.07324760407209396,0.18238765001296997,0.17017410695552826,0.22057272493839264,0.21114416420459747,0.13822652399539948,0.07680635154247284,0.15075109899044037,0.18238765001296997,0.17407484352588654,0.11294149607419968
davies,0.17035946249961853,0.2223551720380783,0.22032342851161957,0.21285896003246307,0.1257215291261673,0.21635110676288605,0.22865624725818634,0.13514672219753265,0.17488892376422882,0.11122798919677734,0.22865624725818634,0.20552973449230194,0.29916054010391235,0.1308305561542511,0.17556782066822052,0.17698541283607483,0.18868300318717957,0.22865624725818634,0.13027450442314148,0.12641099095344543
was,0.2830964922904968,0.31559354066848755,0.4069072902202606,0.24742799997329712,0.3052760064601898,0.16678167879581451,0.48711544275283813,0.21266788244247437,0.41663143038749695,0.08616841584444046,0.48711544275283813,0.1743653565645218,0.3740963041782379,0.1940363496541977,0.4577186405658722,0.1657772958278656,0.3636345863342285,0.48711544275283813,0.2513592839241028,0.18412111699581146
that,0.6894589066505432,0.17725452780723572,0.41498205065727234,0.17629513144493103,0.4389038383960724,0.557814359664917,0.5473989248275757,0.1994490772485733,0.5895259380340576,0.2798400819301605,0.5473989248275757,0.22439968585968018,0.4731321930885315,0.45155078172683716,0.5921133160591125,0.2840282618999481,0.5436353087425232,0.5473989248275757,0.2622828185558319,0.32716336846351624
the,0.6521818041801453,0.2806392312049866,0.733189046382904,0.26521381735801697,0.2738569974899292,0.33890387415885925,1.0,0.24861779808998108,0.4133751392364502,0.2541806697845459,1.0,0.25281965732574463,0.5171257257461548,0.22379513084888458,0.6251175999641418,0.26723232865333557,0.535392165184021,1.0,0.22857438027858734,0.22068053483963013
museum,0.22731433808803558,0.11785271763801575,0.23314370214939117,0.20607618987560272,0.1002698540687561,0.08534817397594452,0.24861779808998108,1.0000001192092896,0.09068617969751358,0.28501155972480774,0.24861779808998108,0.4441815912723541,0.21554097533226013,0.10901112854480743,0.18497297167778015,0.1268225908279419,0.1640389859676361,0.24861779808998108,0.27653977274894714,0.14128351211547852
intended,0.3715127408504486,0.14300519227981567,0.24364815652370453,0.16128581762313843,0.33568090200424194,0.31725823879241943,0.29853108525276184,0.08836307376623154,0.5337143540382385,0.22758135199546814,0.29853108525276184,0.15347015857696533,0.21507462859153748,0.25217825174331665,0.28129705786705017,0.3223688304424286,0.48327770829200745,0.29853108525276184,0.2828686535358429,0.21823447942733765
to,0.5345056653022766,0.19456195831298828,0.41548454761505127,0.20290622115135193,0.2741650342941284,0.44169697165489197,0.535392165184021,0.1640389859676361,0.5965728163719177,0.29399949312210083,0.535392165184021,0.15417452156543732,0.48971283435821533,0.31550586223602295,0.513711154460907,0.2394571453332901,1.0,0.535392165184021,0.2672370672225952,0.29463258385658264
preserve,0.2889659106731415,0.04749684035778046,0.2157810926437378,0.11784079670906067,0.17664407193660736,0.23200668394565582,0.2541806697845459,0.28501155972480774,0.18824990093708038,1.0,0.2541806697845459,0.25388839840888977,0.22660569846630096,0.302170991897583,0.2748822271823883,0.1892147809267044,0.29399949312210083,0.2541806697845459,0.24446280300617218,0.11936275660991669
and,0.506277859210968,0.28606608510017395,0.5116966962814331,0.26227831840515137,0.2517392039299011,0.33647966384887695,0.5171257257461548,0.21554097533226013,0.34921059012413025,0.22660569846630096,0.5171257257461548,0.2379438579082489,1.0,0.2533072531223297,0.40957894921302795,0.24201975762844086,0.48971283435821533,0.5171257257461548,0.3227643668651581,0.20544172823429108
